src1.lognorm src1.logkT src1.lognH
-3.809991063453993299e+00 1.773092127353990133e-01 2.090399698261608208e+01
-3.833691358011547479e+00 2.263916689146854289e-01 2.028388369828913085e+01
-3.813756422409371183e+00 1.999950854517489329e-01 1.996545116896320948e+01
-3.896005866793975869e+00 1.199031565259842669e-01 2.069876631632008213e+01
-3.890240737491419409e+00 7.265312327410655691e-02 2.094652220115382235e+01
-3.952887284600791418e+00 1.573911662673594947e-01 2.054284709710537982e+01
-3.728318535984016968e+00 1.443047727766717525e-01 2.126331228582335697e+01
-3.701300661791906421e+00 2.577444762904903541e-01 1.951137588142815105e+01
-3.865623351358662418e+00 2.060264633571393667e-01 1.918783020677572182e+01
-3.875443714988638710e+00 1.878518334627219399e-01 1.950924440563753492e+01
-3.778699149384957323e+00 2.578250744482084578e-01 2.076340084298280075e+01
-3.755049560631430694e+00 3.057762076544789931e-01 2.039020899464373215e+01
-3.832476157168796860e+00 1.788410614645505881e-01 2.103651290706824284e+01
-3.807279736406300685e+00 2.534507301961066439e-01 1.979474362849151348e+01
-3.667890285325057675e+00 2.090599428714357000e-01 2.116736620257938384e+01
-3.829276154521189746e+00 2.439024315219651129e-01 1.972560745494578427e+01
-3.798149265708872235e+00 2.527360799232609700e-01 2.081635397679785626e+01
-3.744867829365372103e+00 2.996938801558968191e-01 2.089700044905966436e+01
-3.716435446760544714e+00 1.110409332638857549e-01 2.138449750500664237e+01
-3.852817645263069579e+00 1.403623626780066136e-01 2.105637594261927248e+01
-3.829410242911999163e+00 1.487707674763623089e-01 2.115700949852889323e+01
-3.795822186542559429e+00 4.559235087579109891e-01 1.966889387413053214e+01
-3.883681886996237509e+00 2.428162892919785154e-01 1.994201986423733075e+01
-3.831989250998784513e+00 1.776163338169756134e-01 1.995379354962975782e+01
-3.834624723437499938e+00 1.978513199574876147e-01 2.043164838375388825e+01
-3.872787904079581622e+00 1.781829393038016907e-01 2.099900894291003794e+01
-3.888182889239318207e+00 1.279142502207895049e-01 2.076521091173955469e+01
-3.792730579976983485e+00 5.600148668460314116e-01 1.997050689877302787e+01
-3.776366097757966500e+00 7.434293038845773971e-02 2.126960536844640615e+01
-3.908239068646701675e+00 1.458631575911377709e-01 2.067055409557569234e+01
-4.046760707010347957e+00 1.068752401067540880e-02 2.097545009371352265e+01
-3.908822650093096485e+00 1.723270054153585029e-01 2.041539931611112735e+01
-3.970707669515113558e+00 9.109991125226013509e-02 2.079049916545621457e+01
-3.768702210541214903e+00 1.627119021547815958e-01 2.105723471230338362e+01
-3.842687601890379057e+00 5.995600883768559264e-02 2.123811427697079779e+01
-3.768722942308430746e+00 2.186922515646188003e-01 2.116222300588449201e+01
-3.825794601104758108e+00 2.286591920705340897e-01 1.927744999147508409e+01
-3.867184024591195701e+00 1.522659096792147171e-01 2.048060691417893153e+01
-3.871568862839236402e+00 4.516589251962144225e-02 2.051479559995870261e+01
-3.961410643150209410e+00 2.179047934007951604e-01 1.946518896366578488e+01
-3.809874580205885763e+00 1.511052765098048756e-01 2.069357799193120684e+01
-4.020354929442733649e+00 1.370836907970049978e-01 2.031478646731878968e+01
-3.877114195135940022e+00 2.096651340050448287e-01 1.936469764938614091e+01
-3.840015616164158097e+00 2.828624482206805180e-01 2.113519430049410985e+01
-3.778398872871999714e+00 2.133500628220226236e-01 2.116631521745205546e+01
-3.788954803043654174e+00 1.904651474382768050e-01 2.095414821597532296e+01
-3.648031283523538448e+00 2.059979637819082665e-01 2.128128025344638274e+01
-3.834527124386807984e+00 1.576069076564721172e-01 2.101413199296541379e+01
-3.788470339234997653e+00 1.960661773666043661e-01 2.108005315588704320e+01
-3.793041196482199062e+00 1.736659374161046987e-01 1.938053169315198687e+01
-3.877306285046579148e+00 1.359653574644261731e-01 1.975705608848431893e+01
-3.881778753447127528e+00 1.456624178622956123e-01 2.010035857304499984e+01
-3.833015563429080785e+00 1.564115733109598949e-01 2.063655744973418749e+01
-3.764672976100612800e+00 3.095134904399969855e-01 2.047350511099589454e+01
-3.858404135942748781e+00 2.212435248964570444e-01 1.905027725561189200e+01
-3.891137429414035509e+00 6.011386831397791397e-02 2.077307369342788590e+01
-3.784616250409608362e+00 1.572553685185513750e-01 2.123704506504587641e+01
-3.915871353054155790e+00 4.750397401375927586e-02 2.113912744392668941e+01
-3.915750302930083748e+00 2.546377774851042997e-01 1.976502577851168851e+01
-3.840836352047455549e+00 9.674265171044393874e-02 2.136759543121786109e+01
-3.747759925819492466e+00 1.574930630268127629e-01 2.001526147785111220e+01
-3.999733535512880245e+00 1.122609790682038700e-02 2.109546731529422559e+01
-3.870047178828822432e+00 1.568686060640425151e-01 2.106213101278416389e+01
-3.685166095102881734e+00 3.110138908157784599e-01 2.077894712991984250e+01
-3.878087583653931247e+00 2.150034466189802984e-01 1.903186539091275620e+01
-3.957570132862316292e+00 1.411696482512803108e-01 1.996749217216227024e+01
-3.851249092360654380e+00 2.184621236611374862e-01 2.069468002523458594e+01
-3.909760285251800305e+00 1.822325437969047890e-01 1.988435764743739398e+01
-3.645251666941801361e+00 8.540274633416755634e-02 2.154144971472490511e+01
-3.936012435271077692e+00 1.455259948557781069e-01 2.078747644772887426e+01
-3.755616268115546497e+00 9.699820738301601075e-02 2.126769432371397528e+01
-3.778368683480541002e+00 7.002826240246351475e-02 2.123898674965846212e+01
-3.813431067070234270e+00 2.126513052806253690e-01 2.010271176281273142e+01
-3.787920668871811891e+00 1.694884442624966514e-01 2.054295855989971997e+01
-3.827418534964837527e+00 3.737542743900141851e-01 1.939689535134026599e+01
-3.858858318241022545e+00 1.449566934091865988e-01 1.993355662916682292e+01
-3.744613499766424880e+00 2.217845546206891338e-01 2.111957351625826007e+01
-3.692764775992394277e+00 1.493915174761726306e-01 2.143217409665648532e+01
-3.777655515886943149e+00 1.237804464400571458e-01 2.120245785719149012e+01
-3.837775428601694294e+00 1.399195748616153256e-01 2.118182390423325145e+01
-3.769811923943406029e+00 1.918814581941363784e-01 2.070292424231843142e+01
-3.798149265708872235e+00 2.527360799232609700e-01 2.081635397679785626e+01
-3.865623351358662418e+00 2.060264633571393667e-01 1.918783020677572182e+01
-3.847285191508170499e+00 1.788320646390257895e-01 2.011730473173898304e+01
-3.803765871073284011e+00 2.117616785388150014e-01 2.004605001681490251e+01
-3.876735830231635482e+00 1.426189585931223469e-01 2.036037410556264504e+01
-3.783512734081127427e+00 1.513407868706544424e-01 2.082821948078375129e+01
-3.848415126251769180e+00 1.257290453850181677e-01 2.081081041480876692e+01
-3.829410242911999163e+00 1.487707674763623089e-01 2.115700949852889323e+01
-3.845020527467188920e+00 2.034734534407434126e-01 2.088941187951197165e+01
-3.892548356446820179e+00 1.508975481945615815e-01 2.018541557181155710e+01
-3.836572294404386518e+00 2.413735018117941777e-01 1.907302014432143622e+01
-3.763769203220712178e+00 2.009170212220368068e-01 2.088705499226805529e+01
-3.832046211311271655e+00 2.571537176122189461e-01 2.054873406515734757e+01
-3.883681886996237509e+00 2.428162892919785154e-01 1.994201986423733075e+01
-3.841802836090533191e+00 1.311431059656300580e-01 2.089105241711671468e+01
-3.807279736406300685e+00 2.534507301961066439e-01 1.979474362849151348e+01
-3.738444145364397286e+00 1.270582090738021641e-01 2.133542606134334108e+01
-3.936577480118305772e+00 1.083135531972563292e-01 2.107100608563509780e+01
-3.836194749377910718e+00 2.101064578313303066e-01 2.053411706893943389e+01
-3.818966423353225892e+00 2.014731219161385312e-01 2.002662602427419003e+01
-3.746631338877179473e+00 1.326546683054754538e-01 2.108197998404074269e+01
-3.786007585274210108e+00 3.082293362020087635e-01 2.072212638075958324e+01
-3.868742122693274332e+00 8.487727062153926916e-02 2.005744008057340366e+01
-3.836829284469261303e+00 1.763320333202060830e-01 2.044436333066297706e+01
-3.790194369683804965e+00 2.166109656724219956e-01 2.092412872215473030e+01
-3.811365724478442019e+00 2.066211535771569352e-01 2.088884140317821902e+01
-3.816548375725732356e+00 9.904778070559405734e-02 2.110461633648576907e+01
-3.823167588527687677e+00 1.976122556134936037e-01 2.029637985137532041e+01
-3.751090923546823497e+00 1.872216316033716854e-01 2.037171669574595612e+01
-3.657222982262946509e+00 1.290650378253792585e-01 2.125223718843885123e+01
-3.856295115161753273e+00 2.002116390919408406e-01 1.940104507991852500e+01
-3.710809312985609232e+00 1.613704116429961477e-01 2.120352619645445102e+01
-3.951431558402395794e+00 8.678268140117695317e-02 1.918700368858431915e+01
-3.853097967676904823e+00 3.199431740429996562e-01 1.955241672938464603e+01
-3.792462338691501067e+00 3.366831166349966153e-01 2.044374688754809100e+01
-3.909929090988897293e+00 1.276013536312261554e-01 2.048456615169159889e+01
-3.915871353054155790e+00 4.750397401375927586e-02 2.113912744392668941e+01
-3.637801291365963863e+00 3.125524301625361989e-01 2.120790282689746675e+01
-3.779063325762313852e+00 3.486941046225335850e-01 2.073376146902917938e+01
-3.938523077907245984e+00 1.085723480481795011e-01 2.106552602149427500e+01
-3.808170003719878238e+00 1.358517915518602237e-01 2.109181809642547023e+01
-3.854075179423876563e+00 1.731947060967868879e-01 2.043081077621019404e+01
-3.933145773992636762e+00 1.068329368116427425e-01 1.968499591689530703e+01
-3.915241118289495503e+00 1.581193172022783422e-01 2.007879362740624174e+01
-3.689988786445207225e+00 2.416235932891832583e-01 2.033800912509877890e+01
-3.923878564024361637e+00 1.166580327537896089e-01 2.075729307378380639e+01
-3.910637754799702215e+00 2.017929003751697259e-01 2.044608058456762478e+01
-3.823683242182291053e+00 3.109537876960530856e-01 1.995811278003056444e+01
-3.851052126189915548e+00 2.178441310992382807e-01 1.945026259458002471e+01
-3.884623469220039205e+00 1.139683171357097624e-01 2.097550181135132874e+01
-3.851967512263903437e+00 1.359332807372135576e-01 1.972922842435282931e+01
-3.899417833607161654e+00 2.796617716454923297e-01 2.088811854114426581e+01
-3.715716582608360241e+00 2.743289853597326022e-01 2.025985747177112728e+01
-3.818273242780466425e+00 2.565787125030136728e-01 2.059331538932361383e+01
-3.855427373271736791e+00 1.122626968453781515e-01 2.103704297259159617e+01
-3.805646348733693785e+00 2.069588516722582483e-01 1.925060661450557120e+01
-3.751788274240586141e+00 2.152135817796230199e-01 2.073422487697227368e+01
-3.846243566875400255e+00 2.245076550618121392e-01 1.967888152116012179e+01
-3.704411918350552391e+00 1.680813168070220964e-01 2.115256900306246735e+01
-3.875207348780159933e+00 1.608608548573522423e-01 1.994191000427880311e+01
-3.745422297848048032e+00 1.569783824595050170e-01 1.981041914541200910e+01
-3.769275086993704171e+00 2.498890576004602071e-01 2.106402249038503882e+01
-3.850177185140452707e+00 1.382328972621780228e-01 2.041347610177268379e+01
-3.892701383408250670e+00 1.148846439754063198e-01 2.014663261551200080e+01
-3.819042588072806055e+00 1.666915914696336376e-01 2.093066854528249010e+01
-3.884680317667851490e+00 1.704491224880424483e-01 2.046797793252314790e+01
-3.807750282850354218e+00 2.068233242754757839e-01 2.056862017780930074e+01
-3.831820331894914666e+00 1.247588023676753366e-01 2.105040946351628151e+01
-3.823522414772910771e+00 2.750585433506669286e-01 1.937160836698917876e+01
-3.809085422781850916e+00 1.929435578772533688e-01 1.951390454478017844e+01
-3.669152235339086410e+00 3.260616705631640411e-01 2.126690911676848117e+01
-3.758607979051157955e+00 4.351695346519488528e-01 1.945718999577303165e+01
-3.745563864165340817e+00 1.366947552599429017e-01 2.130953316533447506e+01
-3.938156674104083876e+00 1.299933359218121698e-01 2.012697277020511422e+01
-3.867385957182035483e+00 1.353573018146090323e-01 2.075519535283348560e+01
