weight logl src1.lognorm src1.logkT src1.lognH
0.000000000000000000e+00 -1.205977624096974544e+07 1.120026670389925982e+00 7.542125013742602135e-01 1.939366140015270901e+01
0.000000000000000000e+00 -7.396946053794251755e+06 8.390609672565041421e-01 9.898358925794741303e-01 2.306279494878064895e+01
0.000000000000000000e+00 -5.073844200171640143e+06 1.552389151512873156e+00 2.999264373400305494e-01 2.093698715045725578e+01
0.000000000000000000e+00 -1.919669188698862214e+06 4.837054561607363468e-01 7.554980824910773052e-01 2.276002842072013266e+01
0.000000000000000000e+00 -1.009758490748771233e+06 1.542641723662084630e+00 3.549837050299498031e-02 2.119351398831459932e+01
0.000000000000000000e+00 -6.076382166583007202e+05 1.537914367705885965e+00 -1.573134565151645958e-02 2.179462527308606568e+01
0.000000000000000000e+00 -2.746815346896567498e+05 1.450716066077495370e+00 -1.112743512490150799e-01 2.132394955933271774e+01
0.000000000000000000e+00 -1.957728509450746642e+05 9.833641037954503616e-01 -2.113799515568626219e-02 2.028915977445574015e+01
0.000000000000000000e+00 -9.714279656442825217e+04 1.328545581538991271e+00 -2.138151268207857392e-01 2.090212878471754721e+01
0.000000000000000000e+00 -5.077495623637106473e+04 -1.417310261962879459e+00 8.790586784693892319e-01 1.926350604156858992e+01
0.000000000000000000e+00 -3.521545529539912968e+04 -3.734145301549745000e-01 4.286038064989581287e-01 2.339148765111458417e+01
0.000000000000000000e+00 -3.244202639716580234e+04 -1.070004563049188562e+00 5.319409336950458034e-01 2.150064566975634150e+01
0.000000000000000000e+00 -3.102144798625110343e+04 -1.567472833077100169e+00 8.382810501014059668e-01 2.098169274721190547e+01
0.000000000000000000e+00 -2.740752232580579221e+04 -1.226491481720202614e+00 6.855407916285249925e-01 2.282377224464267584e+01
0.000000000000000000e+00 -2.365819578712171642e+04 1.447142414787078835e+00 -3.310368741271125792e-01 2.210555902589615229e+01
0.000000000000000000e+00 -2.101388723066019156e+04 -1.561604055756402154e+00 7.149037579878800841e-01 2.026469652537791788e+01
0.000000000000000000e+00 -1.942491517862259207e+04 -1.145790664428166572e+00 4.499457208804980013e-01 2.121200615693290814e+01
0.000000000000000000e+00 -1.497291542275832035e+04 -1.751767922994781124e+00 7.511348398214718891e-01 2.097585054805848870e+01
0.000000000000000000e+00 -1.433259255825139917e+04 -6.102797577863547929e-01 8.711195318086790707e-01 2.416506766660590344e+01
0.000000000000000000e+00 -1.333984283069225967e+04 -3.756503169668423681e-01 6.673446566922258683e-02 2.154926202054488726e+01
0.000000000000000000e+00 -8.135503905404334546e+03 -8.332713857625630993e-01 1.454855895322508808e-01 1.907906383782000148e+01
0.000000000000000000e+00 -7.003394437420924078e+03 -1.402617680948306855e+00 4.169338766848511568e-01 2.241523290545880087e+01
0.000000000000000000e+00 -5.145904133319089851e+03 1.219051355468709019e+00 -4.795783140859510851e-01 2.140265157497431758e+01
0.000000000000000000e+00 -4.871125140683020618e+03 -6.592467116996907350e-01 1.988737503275808116e-01 2.329860548746895788e+01
