14:54:08 [ultranest] [DEBUG] ReactiveNestedSampler: dims=3+0, resume=False, log_dir=/home/orion51/Desktop/Research/spectral_fitting/FGL_spectral_fitting/Individual_sources/2CXOJ073717.0+653557/mekal_out_, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
14:54:08 [ultranest] [INFO] Sampling 400 live points from prior ...
14:54:10 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.1000, min_ess=400
14:54:10 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
14:54:10 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
14:54:10 [ultranest] [DEBUG] iteration=0, ncalls=401, regioncalls=40, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-6302820849.95, Lmax=-370.28
14:54:11 [ultranest] [DEBUG] iteration=11, ncalls=413, regioncalls=520, ndraw=40, logz=-608755041.01, remainder_fraction=100.0000%, Lmin=-327157042.79, Lmax=-370.28
14:54:11 [ultranest] [DEBUG] iteration=22, ncalls=426, regioncalls=1040, ndraw=40, logz=-103266867.09, remainder_fraction=100.0000%, Lmin=-73209272.01, Lmax=-370.28
14:54:11 [ultranest] [DEBUG] iteration=34, ncalls=440, regioncalls=1600, ndraw=40, logz=-32521056.87, remainder_fraction=100.0000%, Lmin=-32132182.13, Lmax=-370.28
14:54:11 [ultranest] [DEBUG] iteration=40, ncalls=447, regioncalls=1880, ndraw=40, logz=-19948832.76, remainder_fraction=100.0000%, Lmin=-18050419.38, Lmax=-370.28
14:54:11 [ultranest] [DEBUG] iteration=51, ncalls=460, regioncalls=2400, ndraw=40, logz=-10747912.90, remainder_fraction=100.0000%, Lmin=-10747247.01, Lmax=-370.28
14:54:11 [ultranest] [DEBUG] iteration=64, ncalls=473, regioncalls=2920, ndraw=40, logz=-4485841.95, remainder_fraction=100.0000%, Lmin=-4033154.28, Lmax=-370.28
14:54:11 [ultranest] [DEBUG] iteration=75, ncalls=486, regioncalls=3440, ndraw=40, logz=-2159983.61, remainder_fraction=100.0000%, Lmin=-2017517.55, Lmax=-370.28
14:54:11 [ultranest] [DEBUG] iteration=80, ncalls=491, regioncalls=3640, ndraw=40, logz=-989044.81, remainder_fraction=100.0000%, Lmin=-986409.20, Lmax=-370.28
14:54:11 [ultranest] [DEBUG] iteration=90, ncalls=502, regioncalls=4080, ndraw=40, logz=-584997.51, remainder_fraction=100.0000%, Lmin=-579890.33, Lmax=-370.28
14:54:11 [ultranest] [DEBUG] iteration=101, ncalls=515, regioncalls=4600, ndraw=40, logz=-277002.97, remainder_fraction=100.0000%, Lmin=-262776.11, Lmax=-370.28
14:54:11 [ultranest] [DEBUG] iteration=112, ncalls=527, regioncalls=5080, ndraw=40, logz=-161107.90, remainder_fraction=100.0000%, Lmin=-151921.71, Lmax=-370.28
14:54:12 [ultranest] [DEBUG] iteration=120, ncalls=535, regioncalls=5400, ndraw=40, logz=-105428.26, remainder_fraction=100.0000%, Lmin=-103552.78, Lmax=-370.28
14:54:12 [ultranest] [DEBUG] iteration=132, ncalls=548, regioncalls=5920, ndraw=40, logz=-41321.53, remainder_fraction=100.0000%, Lmin=-40735.17, Lmax=-370.28
14:54:12 [ultranest] [DEBUG] iteration=143, ncalls=561, regioncalls=6440, ndraw=40, logz=-16447.80, remainder_fraction=100.0000%, Lmin=-14360.82, Lmax=-370.28
14:54:12 [ultranest] [DEBUG] iteration=154, ncalls=574, regioncalls=6960, ndraw=40, logz=-9930.76, remainder_fraction=100.0000%, Lmin=-9917.33, Lmax=-370.28
14:54:12 [ultranest] [DEBUG] iteration=160, ncalls=581, regioncalls=7240, ndraw=40, logz=-7040.13, remainder_fraction=100.0000%, Lmin=-6945.82, Lmax=-370.28
14:54:12 [ultranest] [DEBUG] iteration=171, ncalls=595, regioncalls=7800, ndraw=40, logz=-4965.94, remainder_fraction=100.0000%, Lmin=-4927.73, Lmax=-370.28
14:54:12 [ultranest] [DEBUG] iteration=182, ncalls=606, regioncalls=8240, ndraw=40, logz=-4117.11, remainder_fraction=100.0000%, Lmin=-4110.30, Lmax=-370.28
14:54:12 [ultranest] [DEBUG] Plateau detected at L=-4.106501e+03, not replacing live point.
14:54:12 [ultranest] [DEBUG] Plateau detected at L=-4.106501e+03, not replacing live point.
14:54:12 [ultranest] [DEBUG] Plateau detected at L=-4.106501e+03, not replacing live point.
14:54:12 [ultranest] [DEBUG] Plateau detected at L=-4.106501e+03, not replacing live point.
14:54:12 [ultranest] [DEBUG] Plateau detected at L=-4.106501e+03, not replacing live point.
14:54:12 [ultranest] [DEBUG] Plateau detected at L=-4.106501e+03, not replacing live point.
14:54:12 [ultranest] [DEBUG] Plateau detected at L=-4.106501e+03, not replacing live point.
14:54:12 [ultranest] [DEBUG] Plateau detected at L=-4.106501e+03, not replacing live point.
14:54:12 [ultranest] [DEBUG] Plateau detected at L=-4.106501e+03, not replacing live point.
14:54:12 [ultranest] [DEBUG] Plateau detected at L=-4.106501e+03, not replacing live point.
14:54:12 [ultranest] [DEBUG] Plateau detected at L=-4.106501e+03, not replacing live point.
14:54:12 [ultranest] [DEBUG] Plateau detected at L=-4.106501e+03, not replacing live point.
14:54:12 [ultranest] [DEBUG] Plateau detected at L=-4.106501e+03, not replacing live point.
14:54:12 [ultranest] [DEBUG] Plateau detected at L=-4.106501e+03, not replacing live point.
14:54:12 [ultranest] [DEBUG] Plateau detected at L=-4.106501e+03, not replacing live point.
14:54:12 [ultranest] [DEBUG] Plateau detected at L=-4.106501e+03, not replacing live point.
14:54:12 [ultranest] [DEBUG] Plateau detected at L=-4.106501e+03, not replacing live point.
14:54:12 [ultranest] [DEBUG] Plateau detected at L=-4.106501e+03, not replacing live point.
14:54:12 [ultranest] [DEBUG] Plateau detected at L=-4.106501e+03, not replacing live point.
14:54:12 [ultranest] [DEBUG] Plateau detected at L=-4.106501e+03, not replacing live point.
14:54:12 [ultranest] [DEBUG] Plateau detected at L=-4.106501e+03, not replacing live point.
14:54:12 [ultranest] [DEBUG] Plateau detected at L=-4.106501e+03, not replacing live point.
14:54:12 [ultranest] [DEBUG] Plateau detected at L=-4.106501e+03, not replacing live point.
14:54:12 [ultranest] [DEBUG] Plateau detected at L=-4.106501e+03, not replacing live point.
14:54:12 [ultranest] [DEBUG] Plateau detected at L=-4.106501e+03, not replacing live point.
14:54:12 [ultranest] [DEBUG] Plateau detected at L=-4.106501e+03, not replacing live point.
14:54:12 [ultranest] [DEBUG] Plateau detected at L=-4.106501e+03, not replacing live point.
14:54:12 [ultranest] [DEBUG] Plateau detected at L=-4.106501e+03, not replacing live point.
14:54:12 [ultranest] [DEBUG] Plateau detected at L=-4.106501e+03, not replacing live point.
14:54:12 [ultranest] [DEBUG] Plateau detected at L=-4.106501e+03, not replacing live point.
14:54:12 [ultranest] [DEBUG] Plateau detected at L=-4.106501e+03, not replacing live point.
14:54:12 [ultranest] [DEBUG] Plateau detected at L=-4.106501e+03, not replacing live point.
