src1.lognorm src2.lognorm src3.lognorm src1.logkT src1.lognH
-4.503963267499294432e+00 -4.416755540985292328e+00 -4.497308389167811171e+00 6.910282093938278081e-01 2.061145802645059177e+01
-4.508363679689844972e+00 -4.439511595738093064e+00 -4.507242684676231903e+00 6.248010723667338784e-01 1.903397592706728503e+01
-4.468811395005499065e+00 -4.413919656689220261e+00 -4.485933119726142060e+00 7.302580085120760067e-01 1.989981966395558288e+01
-4.474678839726852431e+00 -4.422582938835371458e+00 -4.452760454195143325e+00 7.122641600204944190e-01 2.022906460625382863e+01
-4.562288110834216148e+00 -4.408162585588548232e+00 -4.542569833252112055e+00 7.700842330642454492e-01 1.930302217697070333e+01
-4.496728731584407335e+00 -4.399556773313611835e+00 -4.570735132019951408e+00 6.691728971036570162e-01 2.049526009972784379e+01
-4.499609299565851650e+00 -4.398470825295261122e+00 -4.486040446886474520e+00 6.058393848031882190e-01 2.052696796861609485e+01
-4.516686276371816966e+00 -4.416932782487165809e+00 -4.521208710617542259e+00 7.296284677835811472e-01 1.990198872478389447e+01
-4.513999188269323781e+00 -4.419250585164474998e+00 -4.466453104399174201e+00 6.884737373516516268e-01 2.033066115127780904e+01
-4.489075822283351336e+00 -4.405119397742308429e+00 -4.489695234063794338e+00 6.244922492855564666e-01 2.075778999934690816e+01
-4.517806025273021220e+00 -4.435103611519755518e+00 -4.526837328287609985e+00 6.783195203260823369e-01 1.933013366194412797e+01
-4.563962030632621847e+00 -4.433401291227170304e+00 -4.533038717660510031e+00 6.092959913744884215e-01 1.997283966706364211e+01
-4.536825022301844257e+00 -4.378935900900207123e+00 -4.514190769161389838e+00 7.346091429880039492e-01 1.945869430044033876e+01
-4.535454423052703632e+00 -4.388728181894018476e+00 -4.510838328450594403e+00 6.503587227145399829e-01 1.972918511734863145e+01
-4.520530989853721593e+00 -4.411712524253806222e+00 -4.509751870775268401e+00 6.344970578051090104e-01 2.005929112849643658e+01
-4.503968073945221917e+00 -4.405290824888227874e+00 -4.537835811440650957e+00 6.274340642916094168e-01 2.038538711373622547e+01
-4.496681288670398402e+00 -4.407716786209881832e+00 -4.496046636346255454e+00 6.449128431167017172e-01 1.956130211097778471e+01
-4.503981657648998826e+00 -4.378190334301772069e+00 -4.496048584375261115e+00 6.289758453020224405e-01 2.058328291365629070e+01
-4.535969781556207892e+00 -4.394789423948312290e+00 -4.545963523283057306e+00 7.352434584654086169e-01 2.009544570289649101e+01
-4.488673827678382189e+00 -4.413982862972822829e+00 -4.527668898214457727e+00 6.336919659054598419e-01 1.955399663140249444e+01
-4.482095406707174767e+00 -4.398453830468270098e+00 -4.543624276586027300e+00 7.586340921859131559e-01 1.934785780380886422e+01
-4.517579444661502741e+00 -4.435438516716081025e+00 -4.500182101318126016e+00 7.717833692501514520e-01 1.951732977490011578e+01
-4.502448224593180726e+00 -4.404172429746640915e+00 -4.529391143174382961e+00 7.299077942690064269e-01 2.003485460187407341e+01
-4.536324062458256812e+00 -4.376054129931125303e+00 -4.500081023675586600e+00 6.648886770616808661e-01 1.962414805730043810e+01
-4.499444341000895520e+00 -4.425518366027244355e+00 -4.501977156788414369e+00 7.283355247345468797e-01 1.928901518433389484e+01
-4.514681628372132494e+00 -4.438594150450436260e+00 -4.477936086713331321e+00 7.602357315547598748e-01 1.902514561190002240e+01
-4.550905555631532096e+00 -4.431313010416023879e+00 -4.527783550221849751e+00 7.445757336057272635e-01 1.925361067825609496e+01
-4.472793508308098964e+00 -4.405548277653940303e+00 -4.498776319417256531e+00 6.902419303658862137e-01 1.941984497117224961e+01
-4.504513375564344280e+00 -4.399000902355301612e+00 -4.515957733443364042e+00 7.771704916275457009e-01 1.927351263841896056e+01
-4.506532714615774537e+00 -4.389006850926699954e+00 -4.514692076778072050e+00 6.431004313406041284e-01 2.015875947559209536e+01
-4.497532970635744753e+00 -4.379278427178673994e+00 -4.519225015003623724e+00 6.855112186297045440e-01 1.916614759210315100e+01
-4.569440698072561702e+00 -4.384396225239238554e+00 -4.537624219884937915e+00 6.387270539423461901e-01 2.033297949872776655e+01
-4.508363679689844972e+00 -4.439511595738093064e+00 -4.507242684676231903e+00 6.248010723667338784e-01 1.903397592706728503e+01
-4.493756424006485339e+00 -4.446144382064751710e+00 -4.551511892421401306e+00 6.266829512469971331e-01 1.950571918170044938e+01
-4.511242821644682266e+00 -4.415740027379579935e+00 -4.560693462554723965e+00 8.304392182128319533e-01 1.966455065059260576e+01
-4.471896311773591037e+00 -4.396069869919153383e+00 -4.516364151602491717e+00 6.855275583358775293e-01 2.007835451555325434e+01
-4.459977083229372141e+00 -4.383790530544769304e+00 -4.509343373327768134e+00 7.636827870172122612e-01 1.916695274791080195e+01
-4.602201693754273570e+00 -4.372978379313948061e+00 -4.492430075426472769e+00 6.889072439743519904e-01 1.909375278130927356e+01
-4.507400188013971132e+00 -4.456779473692943583e+00 -4.519710201985978060e+00 6.904665796551883172e-01 1.929768160624960416e+01
-4.517359489789836147e+00 -4.398256544297076687e+00 -4.547112721665605761e+00 5.453498210244995814e-01 2.047165847532110305e+01
-4.532810813537108352e+00 -4.435922542000358959e+00 -4.514387523063707164e+00 7.152111865368813159e-01 1.967526651198130949e+01
-4.520957252082888900e+00 -4.422248870565452350e+00 -4.546337009418802921e+00 6.763060120806654307e-01 1.971427133516065311e+01
-4.487597539833232396e+00 -4.422126865451438960e+00 -4.507420242169723146e+00 7.829948206557890700e-01 2.029472673240890401e+01
-4.506357305237973065e+00 -4.399263576776020201e+00 -4.507057698446709892e+00 7.654450955534739531e-01 2.006905050596106932e+01
-4.534673908543432219e+00 -4.434847852126916123e+00 -4.546420113923890227e+00 7.036593056597715279e-01 2.004965362948790286e+01
-4.456386388171598156e+00 -4.410082234954431968e+00 -4.528834500462821211e+00 6.618083340159623962e-01 2.069546957159946743e+01
-4.523572026549993907e+00 -4.431082728127651471e+00 -4.523547984473342609e+00 6.950600461979710154e-01 1.964120010447447839e+01
-4.533458508754250715e+00 -4.400203548158297728e+00 -4.538463000391438129e+00 6.904656448767791943e-01 1.922551251674265416e+01
-4.519945204825683405e+00 -4.403086193330934428e+00 -4.534149281097247908e+00 7.619044159848680220e-01 1.920617907099185473e+01
-4.520869191576009527e+00 -4.384862192444380469e+00 -4.496474765607588964e+00 6.384984917009473016e-01 2.034331721859436826e+01
-4.501266568071166319e+00 -4.403146602206786220e+00 -4.507859256949421578e+00 6.720628942065574041e-01 1.939146714195208077e+01
-4.519074609606888338e+00 -4.411139758117220921e+00 -4.530857549128223916e+00 7.026761793900899722e-01 2.068072273435709718e+01
-4.560950452403213617e+00 -4.454387338180733735e+00 -4.486200219099139019e+00 7.054879766824460052e-01 1.915019389922715121e+01
-4.500334872238470396e+00 -4.438003979623351469e+00 -4.510410870478612111e+00 6.703233206867815763e-01 1.992075414000941080e+01
-4.511509938236814676e+00 -4.423395944932939194e+00 -4.495173820127334352e+00 5.100476145999517374e-01 2.008425554069809493e+01
-4.576286854501057988e+00 -4.442997798332239512e+00 -4.500164919139287178e+00 6.432969736640410385e-01 1.931053036129123868e+01
-4.537762463216751918e+00 -4.428919271922286072e+00 -4.523158324294158206e+00 7.762060099937060365e-01 1.957413921009037239e+01
-4.504414652934569219e+00 -4.369073040751300319e+00 -4.476307945298165336e+00 7.231966385944537112e-01 1.987901873480036130e+01
-4.507179657612486068e+00 -4.402822115707625272e+00 -4.492485714197693270e+00 7.260151753059000956e-01 2.045285165297178764e+01
-4.494312568484298609e+00 -4.355615864668578752e+00 -4.545527990976385269e+00 6.411406844980336306e-01 1.926036913223725833e+01
-4.499096637258583442e+00 -4.394560023888160138e+00 -4.539942145919271255e+00 6.523299618713920278e-01 2.020200411725786793e+01
-4.507781044265336767e+00 -4.430617154370494859e+00 -4.520540214538792512e+00 7.257972757500259497e-01 2.040819781350321804e+01
-4.508243995684979133e+00 -4.428143813328783374e+00 -4.538576264611558386e+00 6.750222037800011066e-01 1.993506714443646999e+01
-4.486095928554644452e+00 -4.437951186308424667e+00 -4.538255865432117453e+00 6.804081557728818286e-01 1.920840283954351690e+01
-4.523205838268895995e+00 -4.441871611999564706e+00 -4.487061337120593407e+00 7.381666580388677179e-01 1.980245794145443483e+01
-4.537156340863579551e+00 -4.417929813633540093e+00 -4.518025441412840237e+00 7.602982539328797529e-01 2.000562622772146781e+01
-4.514069192472708991e+00 -4.455564953434633324e+00 -4.491189914196773714e+00 7.172260273798469754e-01 1.986731200147418264e+01
-4.504506600551676954e+00 -4.392334360482767153e+00 -4.516910182662195794e+00 6.639739065220902070e-01 2.019396778275894277e+01
-4.551093261828000891e+00 -4.398054714855067715e+00 -4.543144408198806161e+00 7.053666638095623664e-01 1.911452479641489433e+01
-4.511033944872941959e+00 -4.412871428285813025e+00 -4.524611422784567516e+00 5.959745691179347826e-01 1.969562700772995356e+01
-4.576122726219062464e+00 -4.399753553573064302e+00 -4.478244644917505290e+00 6.417774455809177603e-01 1.928133264537520830e+01
-4.528144076257259343e+00 -4.449197915803260628e+00 -4.535890388104110826e+00 6.872608318998181254e-01 1.939471624755605461e+01
-4.547008211663099431e+00 -4.411820616853062482e+00 -4.498395681517442846e+00 6.637182197199071876e-01 1.901134617339565480e+01
-4.484383268182662086e+00 -4.429318935860598216e+00 -4.481902313505177204e+00 6.933895819926354509e-01 1.921539651051960362e+01
-4.505417630144835428e+00 -4.420827433932144501e+00 -4.564083510707626523e+00 6.777470880583418289e-01 1.994844518441468750e+01
-4.507827720652412218e+00 -4.424175356442828999e+00 -4.490898547918969363e+00 7.456548317847588869e-01 1.955996114000685182e+01
-4.552042178744240886e+00 -4.437071672399001798e+00 -4.552204359330499273e+00 6.738465854457389437e-01 1.932102641237671747e+01
-4.536948757459764892e+00 -4.430356347683122031e+00 -4.494863516402020309e+00 7.334845200661193054e-01 1.938560307252579662e+01
-4.538091642881640908e+00 -4.475945614510912662e+00 -4.523544104468236959e+00 7.472969183225701695e-01 2.043923977588517360e+01
-4.553713987448531064e+00 -4.410636760181922966e+00 -4.531026337191025988e+00 7.004037948430783533e-01 1.979869147439675459e+01
-4.527410594190010684e+00 -4.405724974489973356e+00 -4.537367916244294364e+00 6.041474962299924201e-01 1.979210176415641698e+01
-4.563153542371006566e+00 -4.392743416231382980e+00 -4.467223139966794321e+00 6.624426743681359753e-01 2.041422375282540358e+01
-4.529173826559846461e+00 -4.398356921946365183e+00 -4.518154812161466083e+00 6.975893244340578558e-01 1.990665203909922454e+01
-4.515414425152110667e+00 -4.424709742092904463e+00 -4.532590641182604685e+00 6.929512218706368465e-01 1.988982479968462869e+01
-4.512502254582956063e+00 -4.349663153511590608e+00 -4.537040928484819879e+00 6.951213412211167952e-01 2.058751163486586222e+01
-4.497148712441515706e+00 -4.381349930747827415e+00 -4.507156830915665324e+00 7.159338544275666294e-01 1.998971728368900358e+01
-4.515498006328625635e+00 -4.394151116091888909e+00 -4.550025584318218463e+00 8.275742149949865123e-01 1.914710629419596444e+01
-4.524194235324753066e+00 -4.388591657233674503e+00 -4.518656347976721221e+00 5.935949893018179768e-01 2.063630086480732473e+01
-4.546727796883022421e+00 -4.415079914033269937e+00 -4.561637733087641422e+00 7.398640640566156446e-01 2.023756574126053565e+01
-4.499023708583740344e+00 -4.396227242357648279e+00 -4.489285886238639556e+00 7.157169135077008360e-01 2.067358353004388150e+01
-4.544001021251988348e+00 -4.411464157976762834e+00 -4.503483663363197387e+00 6.520165195603615516e-01 2.007839845661350253e+01
-4.538605472797785367e+00 -4.420255032758106495e+00 -4.537280480501420854e+00 7.077545384275012452e-01 1.911549017407225293e+01
-4.504148602919835653e+00 -4.401347915062007843e+00 -4.493992619556292922e+00 6.032752215715668775e-01 2.078332139125641120e+01
-4.540455781155636750e+00 -4.387835064510467120e+00 -4.477267751911998772e+00 5.987820173594309292e-01 2.053723229506447723e+01
-4.539805204035502584e+00 -4.461992560541637509e+00 -4.517851717829071134e+00 6.988405121783674012e-01 1.914399578614199271e+01
-4.510215400527441076e+00 -4.429755603217874871e+00 -4.574599598094443387e+00 7.457178792224354869e-01 1.999425364061786681e+01
-4.555103727780307032e+00 -4.427121483137349323e+00 -4.503005823777906258e+00 7.895321374528259106e-01 2.013824251750263983e+01
-4.511288626350771658e+00 -4.391438077024401920e+00 -4.550847665668557696e+00 6.704697844125326878e-01 1.996014299922112656e+01
-4.550875286286711230e+00 -4.399226948053448716e+00 -4.549919917861156904e+00 6.812449823640129853e-01 1.982791516772378415e+01
-4.486716626017930309e+00 -4.416801640475409130e+00 -4.530372512517346628e+00 6.479919115827443843e-01 1.934680824340480498e+01
-4.532498670263203522e+00 -4.431047129289509279e+00 -4.497493125960871474e+00 7.203576961285951263e-01 2.006829664933789559e+01
-4.560480905520247319e+00 -4.393413725719094387e+00 -4.527018821010260652e+00 6.957024351469656143e-01 1.964104843916508258e+01
-4.528157053333324633e+00 -4.405880995182108961e+00 -4.555911597729309648e+00 6.757619822759404205e-01 1.987672910385715142e+01
-4.529258860105076501e+00 -4.443468084592353762e+00 -4.487298323412965750e+00 7.413766997396966651e-01 1.993505042597264065e+01
-4.534486488532104786e+00 -4.360963246390166859e+00 -4.544802794716001237e+00 7.623660062645214452e-01 2.017452580914645921e+01
-4.525376623734280734e+00 -4.439966785781801484e+00 -4.565412702063328609e+00 6.288477075689220541e-01 1.926824060506728031e+01
-4.507875620731892852e+00 -4.384654409906712402e+00 -4.521658497643547214e+00 5.286475998859767600e-01 2.051500896934443574e+01
-4.536289391284109129e+00 -4.393866868921532998e+00 -4.484194681597221788e+00 7.518010124675076344e-01 2.026966029702484207e+01
-4.500120113736986838e+00 -4.434253033641871511e+00 -4.559230322467410446e+00 7.812141366845086754e-01 1.981339293510863797e+01
-4.500121215470153757e+00 -4.428806249114682458e+00 -4.515682130050138632e+00 6.528758712403333053e-01 1.939292118043864477e+01
-4.534651276805478304e+00 -4.433013906366358725e+00 -4.547968850502464910e+00 6.568627783619609417e-01 1.926670151023444788e+01
-4.502575223905789237e+00 -4.418035247222091400e+00 -4.504244001802352848e+00 5.938210252858968641e-01 2.047421614385971012e+01
-4.462909056740716807e+00 -4.414488861735138769e+00 -4.549030634623550284e+00 7.584474588986420684e-01 1.926888647181433711e+01
-4.509385756423466063e+00 -4.386451693499677340e+00 -4.538049285932636678e+00 7.640512074774190587e-01 1.984840697429158141e+01
-4.509314873116569089e+00 -4.432036810783181124e+00 -4.525019154029996216e+00 6.538514509015986853e-01 1.967954191362192873e+01
-4.516265836851324877e+00 -4.394118797569499080e+00 -4.531525973736155954e+00 7.060155904511913327e-01 1.913370485481044625e+01
-4.507893762986389774e+00 -4.413845128868091550e+00 -4.494772119625955575e+00 8.606410798935537620e-01 2.023258696543903667e+01
-4.530395199283677954e+00 -4.453949083517523277e+00 -4.538406864449447298e+00 6.649881213997723695e-01 1.977134244678417119e+01
