logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -1.297572276471912384e+11 -1.297572276531839600e+11 nan
-1.297572276531839600e+11 nan -2.500000000000000052e-03 4.000000000000000000e+02 -8.775073199470246887e+10 -8.775073200069767761e+10 nan
-8.775073200069767761e+10 nan -5.000000000000000104e-03 4.000000000000000000e+02 -5.951778262111103821e+10 -5.951778262710874939e+10 nan
-5.951778262710874939e+10 nan -7.499999999999999722e-03 4.000000000000000000e+02 -4.901828966173979187e+10 -4.901828966774000549e+10 nan
-4.901828966774000549e+10 3.912929997648157120e+09 -1.000000000000000021e-02 4.000000000000000000e+02 -4.623663369676162720e+10 -4.623663370276434326e+10 nan
-4.623663370276434326e+10 3.625079409099871159e+09 -1.250000000000000069e-02 4.000000000000000000e+02 -4.357183422910548401e+10 -4.357183423511069489e+10 nan
-4.357183423511069489e+10 2.073629010805041313e+09 -1.500000000000000118e-02 4.000000000000000000e+02 -3.503150095102323151e+10 -3.503150095703094482e+10 nan
-3.503150095703094482e+10 4.994167153728922844e+09 -1.750000000000000167e-02 4.000000000000000000e+02 -3.306441042503020096e+10 -3.306441043104041672e+10 nan
-3.306441043104041672e+10 3.591648695493724823e+09 -2.000000000000000042e-02 4.000000000000000000e+02 -3.275897333230774307e+10 -3.275897333832045746e+10 nan
-3.275897333832045746e+10 3.688139252592022419e+09 -2.249999999999999917e-02 4.000000000000000000e+02 -2.851291827404836273e+10 -2.851291828006357574e+10 nan
-2.851291828006357574e+10 4.972809991697429657e+09 -2.499999999999999792e-02 4.000000000000000000e+02 -2.663333656656956100e+10 -2.663333657258727646e+10 nan
-2.663333657258727646e+10 2.929638105671634197e+09 -2.749999999999999667e-02 4.000000000000000000e+02 -2.524836084623714447e+10 -2.524836085225735855e+10 nan
-2.524836085225735855e+10 2.126136136072443724e+09 -2.999999999999999542e-02 4.000000000000000000e+02 -2.102236199681586838e+10 -2.102236200283858109e+10 nan
-2.102236200283858109e+10 1.574936784176806211e+09 -3.249999999999999417e-02 4.000000000000000000e+02 -1.741783143534367752e+10 -1.741783144136889267e+10 nan
-1.741783144136889267e+10 2.362201728850049973e+09 -3.499999999999999639e-02 4.000000000000000000e+02 -1.351972077721766853e+10 -1.351972078324538231e+10 nan
-1.351972078324538231e+10 3.122122921346658707e+09 -3.749999999999999861e-02 4.000000000000000000e+02 -1.188810523222200584e+10 -1.188810523825222015e+10 nan
