src1.lognorm src1.logkT src1.lognH
-1.120071468313298624e+00 -1.560457196090601073e-01 2.175393977712109361e+01
-1.182528184097554558e+00 -1.446098874909043097e-01 2.168909942197438667e+01
-1.129216952764410919e+00 -1.590365688850270409e-01 2.185034990347335082e+01
-1.236856734505254352e+00 -1.296073597245186448e-01 2.178381577925057400e+01
-1.271808107119435149e+00 -1.284483768954070015e-01 2.171679649844864457e+01
-1.287145287913878278e+00 -1.197219606026833638e-01 2.170080886581280311e+01
-1.188750509338737160e+00 -1.368110645818738647e-01 2.178767358755034067e+01
-1.289931087584183622e+00 -1.220829888111998329e-01 2.165932020919008139e+01
-1.225512962746677204e+00 -1.352713350944321213e-01 2.168642703302699815e+01
-1.168505097668923298e+00 -1.427381310156867755e-01 2.177542071237017396e+01
-1.092287458661431288e+00 -1.686895090740900827e-01 2.178127378326577457e+01
-1.058005038261486064e+00 -1.718413062723582740e-01 2.182796610082580457e+01
-1.128100248779947634e+00 -1.461620670555650037e-01 2.186581308996235151e+01
-1.232688117579950671e+00 -1.254563861249002876e-01 2.168862514950694376e+01
-1.146985337896348156e+00 -1.506746978848756413e-01 2.186373821558604291e+01
-1.242759994467513174e+00 -1.272617627987724376e-01 2.169888074389067611e+01
-1.145474164019429253e+00 -1.510601507458675385e-01 2.183120921073712850e+01
-1.119843911633182643e+00 -1.617834863368221576e-01 2.178883459671646605e+01
-1.210752102216561710e+00 -1.365082882587755897e-01 2.171658868817523569e+01
-1.301015498947656113e+00 -1.179709308807175283e-01 2.165679377917988901e+01
-1.132182031909468201e+00 -1.486111101209619534e-01 2.179348900550964530e+01
-1.163103553720963745e+00 -1.530197225056300070e-01 2.176879825985480110e+01
-1.279208019422933162e+00 -1.300755809997609092e-01 2.165457718984913882e+01
-1.154359703640468915e+00 -1.487302157908798605e-01 2.176029758306163941e+01
-1.098207668822977823e+00 -1.596895656247845352e-01 2.188903148373711005e+01
-1.148113015658119629e+00 -1.520735078115547090e-01 2.180083025694803212e+01
-1.157775407931038281e+00 -1.456772464831423974e-01 2.179658974857052200e+01
-1.162125445305660421e+00 -1.480157825818375628e-01 2.175608371860028001e+01
-1.175229037037116342e+00 -1.560895485669249183e-01 2.169786441660178511e+01
-1.044380205959252628e+00 -1.753838896289812155e-01 2.189774187772338010e+01
-1.188137256728929003e+00 -1.403495977028645925e-01 2.178629653208058770e+01
-1.165130069895559117e+00 -1.454728189024256935e-01 2.183407093634133034e+01
-1.176309699595435632e+00 -1.425158165696904788e-01 2.174585160202372691e+01
-1.114642978614805102e+00 -1.550299790382028142e-01 2.184802890740886028e+01
-1.083756464093432292e+00 -1.689136921920333378e-01 2.179862031661177468e+01
-1.096364452770963283e+00 -1.611966364518209183e-01 2.182092984391035984e+01
-1.261139091592433203e+00 -1.305100625436801387e-01 2.165191185581372579e+01
-1.105054087905801730e+00 -1.543303761797569784e-01 2.185717479712023703e+01
-1.114121752526497033e+00 -1.622583488858420075e-01 2.175054049349719421e+01
-1.047875521928924414e+00 -1.693027876859174441e-01 2.195056446388616322e+01
-1.120628886050779371e+00 -1.551150480307939006e-01 2.181618894351160520e+01
-1.265716490294021668e+00 -1.263217479771077123e-01 2.174593926745405525e+01
-1.217902785197690463e+00 -1.329500731431849658e-01 2.175436363909178539e+01
-9.750212475566639725e-01 -1.830897696123643392e-01 2.191134100120583739e+01
-1.223694270673886031e+00 -1.351222413436543590e-01 2.163751963931276379e+01
-1.169592145754807078e+00 -1.381315715053932358e-01 2.173887050161176049e+01
-1.267847802361818488e+00 -1.297291552426238503e-01 2.166318261633100661e+01
-1.267051852201316997e+00 -1.238272586047037827e-01 2.171220327323099752e+01
-1.170161947600553809e+00 -1.450566483867898881e-01 2.177357096454761276e+01
-1.238082345830486375e+00 -1.348354081306202268e-01 2.168988162804334863e+01
-1.078707387346635294e+00 -1.659734315341698796e-01 2.183501064540957870e+01
-1.247634334991056804e+00 -1.284860170988708639e-01 2.177650227604389599e+01
-1.189148638186381390e+00 -1.458267850803460775e-01 2.167745684974736875e+01
-1.137712396940361081e+00 -1.574438715283208445e-01 2.177705108389054445e+01
-1.180678462898308467e+00 -1.421683153841559744e-01 2.171877148337299346e+01
-1.265013264758970024e+00 -1.278709899190424437e-01 2.169648114642266279e+01
-1.126193023768989221e+00 -1.488494585370334633e-01 2.185220975462656412e+01
-1.232688117579950671e+00 -1.254563861249002876e-01 2.168862514950694376e+01
-1.157320715940357125e+00 -1.505705315747847273e-01 2.181821209034633924e+01
-1.182740738078333465e+00 -1.426713571847764150e-01 2.173427484396223264e+01
-1.251705717209646629e+00 -1.295687954596069780e-01 2.172134170136380504e+01
-1.148287717345800374e+00 -1.463453428974119674e-01 2.178289424426714760e+01
-1.066966348630323580e+00 -1.687316549649042763e-01 2.180395445054446668e+01
-1.233329917452588020e+00 -1.406117375151372251e-01 2.166978488197626262e+01
-1.141191770767166602e+00 -1.578735932130794772e-01 2.182472460895776933e+01
-1.077219620389339383e+00 -1.664262765862973836e-01 2.188546762869765061e+01
-1.083708442168738628e+00 -1.606506147962227793e-01 2.188674735694847584e+01
-1.265716490294021668e+00 -1.263217479771077123e-01 2.174593926745405525e+01
-1.188215802224346973e+00 -1.397683885568383744e-01 2.180913101636815910e+01
-1.191791257415683702e+00 -1.344887183860472568e-01 2.181905517355926705e+01
-1.278134038108513337e+00 -1.183501998454636883e-01 2.172408197328296353e+01
-1.256700199168113485e+00 -1.324524493288152804e-01 2.165705234321450590e+01
-1.188215802224346973e+00 -1.397683885568383744e-01 2.180913101636815910e+01
-1.080644134784384924e+00 -1.696098355370292410e-01 2.183445631591487768e+01
-1.153253551349191497e+00 -1.585921224386983575e-01 2.179138807461956517e+01
-1.138343624495534279e+00 -1.500995148461790052e-01 2.172973855878670690e+01
-1.165573596732604855e+00 -1.411734059416307474e-01 2.172429467675948445e+01
-1.100191183252592353e+00 -1.597623273112134257e-01 2.188808447945135072e+01
