weight logl src1.lognorm src1.logkT src1.lognH
0.000000000000000000e+00 -1.429004124495916128e+09 1.916363702273704561e+00 -1.639977718083210911e-01 2.132351878329534145e+01
0.000000000000000000e+00 -1.153247749141463757e+09 1.942561677719778501e+00 4.117321164582359305e-01 2.089321700572510920e+01
0.000000000000000000e+00 -5.965533928204708099e+08 1.676479629031470964e+00 1.417349796520309457e+00 1.959266281011434074e+01
0.000000000000000000e+00 -4.858718481995379329e+08 1.628429943663475044e+00 -5.910359690741642247e-01 1.942336129931803157e+01
0.000000000000000000e+00 -4.447109556319793463e+08 1.716570671750993426e+00 6.676762275201473251e-01 2.183808702599830198e+01
0.000000000000000000e+00 -3.185151781930598021e+08 1.347435344572797788e+00 7.523554119995841116e-01 2.027737980929344985e+01
0.000000000000000000e+00 -3.117761617641705871e+08 1.860859807719952741e+00 8.900934518815795116e-01 2.252548318641581915e+01
0.000000000000000000e+00 -3.070582014676816463e+08 1.461558975238972380e+00 1.133207712771667541e+00 2.152971294928343227e+01
0.000000000000000000e+00 -2.943519703105508685e+08 1.711124403724619825e+00 3.287835271215644450e-01 2.205515417448649629e+01
0.000000000000000000e+00 -2.204791019879589379e+08 1.768253130210975854e+00 -7.832478529144996093e-01 1.977415188085310405e+01
0.000000000000000000e+00 -1.999375143364685476e+08 1.721490593009159298e+00 5.919223172027054947e-01 2.247160406863844884e+01
0.000000000000000000e+00 -1.769203409487745166e+08 1.216699083248085955e+00 3.939456777732426307e-01 2.143371317852284363e+01
0.000000000000000000e+00 -1.595373682719334960e+08 8.148467054540926569e-01 -2.700893401257287163e-01 2.004064790916853056e+01
0.000000000000000000e+00 -1.534690464207658768e+08 1.726914875828692075e+00 5.670493660143991477e-01 2.263632355049370304e+01
0.000000000000000000e+00 -1.377065568043076098e+08 9.621445544978488584e-01 2.597096011755342104e-01 1.978747856060844157e+01
0.000000000000000000e+00 -1.273927500443724990e+08 9.782106987092653583e-01 1.221425235213682736e+00 1.998857505765879949e+01
0.000000000000000000e+00 -1.125068151024118960e+08 9.065643367879498982e-01 2.667295122213140246e-01 2.076420649871342050e+01
0.000000000000000000e+00 -8.514164586126340926e+07 7.823082169913853079e-01 7.243736336122277297e-01 2.054723560316085340e+01
0.000000000000000000e+00 -8.331243744089932740e+07 1.625974359639089428e+00 1.056520422801280557e+00 2.313081452824108908e+01
0.000000000000000000e+00 -7.645701804497647285e+07 1.015931650882793136e+00 6.214768307059184149e-01 2.197198407289356936e+01
0.000000000000000000e+00 -5.100118653067327291e+07 6.865765209929683976e-01 9.324598788422389095e-01 2.159316760270583302e+01
0.000000000000000000e+00 -4.710395258549980074e+07 4.085329634663956710e-01 -4.289670529959108691e-01 2.003265465667826817e+01
0.000000000000000000e+00 -3.477223288461329788e+07 4.049381218924565928e-01 1.135516333751010354e+00 2.007723250047803987e+01
0.000000000000000000e+00 -3.355100529703969881e+07 4.896947743772308570e-01 1.448581219397536923e+00 2.121425207761321374e+01
0.000000000000000000e+00 -3.008891759500584379e+07 3.918673416607454385e-01 -5.642532479647232035e-01 2.019110733502543908e+01
0.000000000000000000e+00 -2.738635116523897648e+07 1.725472648284416266e+00 -5.944773526209226056e-01 2.213881825186801322e+01
0.000000000000000000e+00 -2.647247315497414768e+07 2.185308497625193525e-02 -2.329469545051388035e-01 2.008667508550182035e+01
0.000000000000000000e+00 -2.634774271337513253e+07 3.584426834463201317e-01 5.945293727584670673e-01 2.135465488954522684e+01
0.000000000000000000e+00 -2.310546648759509996e+07 2.772722981583584101e-01 -4.843392662104947233e-01 2.102625805353009980e+01
0.000000000000000000e+00 -2.244211552292678878e+07 1.397747496574023529e+00 -7.608042423213248195e-01 2.160839843407814698e+01
0.000000000000000000e+00 -2.190525945340707898e+07 1.245108212115493274e-01 4.462414769899081257e-02 2.122151946790290822e+01
0.000000000000000000e+00 -1.872982923214393109e+07 6.892233933034042082e-02 2.128692286616156171e-01 1.935851448143545994e+01
0.000000000000000000e+00 -1.814498723102799430e+07 1.788868187414010436e+00 -2.183606382316661820e-01 2.270505863281773884e+01
0.000000000000000000e+00 -1.457028809379261173e+07 9.036957247667523063e-01 1.457107919771418736e-01 2.253741433346064582e+01
0.000000000000000000e+00 -1.240369288114029914e+07 -9.105990624194504335e-02 7.792248920943944945e-02 2.126190572057360839e+01
0.000000000000000000e+00 -1.235586314596375078e+07 3.583354378099539161e-01 1.274311512597721574e+00 2.234773625544208642e+01
0.000000000000000000e+00 -1.078601646827634610e+07 7.804118577047010064e-01 6.573355038697474839e-01 2.300594311557569682e+01
0.000000000000000000e+00 -1.028377410960297473e+07 -1.765891483147754570e-01 1.905907443750558539e-01 2.063467232425834297e+01
0.000000000000000000e+00 -1.009919292945777066e+07 -9.849955010200872607e-02 1.351903521046394996e+00 2.032308502176348242e+01
0.000000000000000000e+00 -9.442046604976164177e+06 4.976997835393248693e-01 1.324045676334457688e-01 2.232908381310056711e+01
0.000000000000000000e+00 -8.957290985926432535e+06 1.008910304375477907e+00 1.047844748727176256e+00 2.354533902345725949e+01
0.000000000000000000e+00 -8.021382881391578354e+06 1.313664290480449637e-01 -3.595812313346761213e-01 2.178074774204505104e+01
