logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -3.372207595725496216e+11 -3.372207595785423584e+11 nan
-3.372207595785423584e+11 nan -2.500000000000000052e-03 4.000000000000000000e+02 -5.129000079561879730e+10 -5.129000080161401367e+10 nan
-5.129000080161401367e+10 nan -5.000000000000000104e-03 4.000000000000000000e+02 -5.082820548088948822e+10 -5.082820548688719940e+10 nan
-5.082820548688719940e+10 nan -7.499999999999999722e-03 4.000000000000000000e+02 -3.691326659449295044e+10 -3.691326660049316406e+10 nan
-3.691326660049316406e+10 nan -1.000000000000000021e-02 4.000000000000000000e+02 -2.832543380360217285e+10 -2.832543380960488892e+10 nan
-2.832543380960488892e+10 8.350076053914268494e+10 -1.250000000000000069e-02 4.000000000000000000e+02 -2.239034790532461166e+10 -2.239034791132982635e+10 nan
-2.239034791132982635e+10 1.132637354351289760e+00 -1.500000000000000118e-02 4.000000000000000000e+02 -2.132980943614817429e+10 -2.132980944215588760e+10 nan
-2.132980944215588760e+10 5.302692342692626119e+08 -1.750000000000000167e-02 4.000000000000000000e+02 -1.954250441968252182e+10 -1.954250442569273758e+10 nan
-1.954250442569273758e+10 9.601130661066303253e+08 -2.000000000000000042e-02 4.000000000000000000e+02 -1.760593221093279266e+10 -1.760593221694550705e+10 nan
-1.760593221694550705e+10 1.783169568239598036e+09 -2.249999999999999917e-02 4.000000000000000000e+02 -1.315208590522537041e+10 -1.315208591124058533e+10 nan
-1.315208591124058533e+10 2.919662395567248821e+09 -2.499999999999999792e-02 4.000000000000000000e+02 -9.510112351387214661e+09 -9.510112357404928207e+09 nan
-9.510112357404928207e+09 3.993103377487350941e+09 -2.749999999999999667e-02 4.000000000000000000e+02 -7.406971635533362389e+09 -7.406971641553576469e+09 nan
-7.406971641553576469e+09 2.346846941299326420e+09 -2.999999999999999542e-02 4.000000000000000000e+02 -5.960361072643020630e+09 -5.960361078665735245e+09 nan
-5.960361078665735245e+09 2.647056895758418560e+09 -3.249999999999999417e-02 4.000000000000000000e+02 -4.638329069777507782e+09 -4.638329075802721977e+09 nan
-4.638329075802721977e+09 2.302187265652139187e+09 -3.499999999999999639e-02 4.000000000000000000e+02 -4.206852311592875481e+09 -4.206852317620589733e+09 nan
-4.206852317620589733e+09 6.409981209885187149e+08 -3.749999999999999861e-02 4.000000000000000000e+02 -2.903212663373118401e+09 -2.903212669403332710e+09 nan
-2.903212669403332710e+09 9.556669024372124672e+08 -4.000000000000000083e-02 4.000000000000000000e+02 -2.899427172891027451e+09 -2.899427178923741817e+09 nan
-2.899427178923741817e+09 4.802298043495566249e+08 -4.250000000000000305e-02 4.000000000000000000e+02 -2.792187702885377407e+09 -2.792187708920591831e+09 nan
-2.792187708920591831e+09 5.394441682740198821e+07 -4.500000000000000527e-02 4.000000000000000000e+02 -2.756068163059320927e+09 -2.756068169097035408e+09 nan
-2.756068169097035408e+09 5.232876048177158833e+07 -4.750000000000000749e-02 4.000000000000000000e+02 -2.628366443059309959e+09 -2.628366449099524021e+09 nan
-2.628366449099524021e+09 5.482015817929255217e+07 -5.000000000000000971e-02 4.000000000000000000e+02 -2.461374445106418610e+09 -2.461374451149132729e+09 nan
-2.461374451149132729e+09 1.034329295915985256e+08 -5.250000000000001193e-02 4.000000000000000000e+02 -2.006463339408403397e+09 -2.006463345453617573e+09 nan
-2.006463345453617573e+09 1.969822866577502787e+08 -5.500000000000001416e-02 4.000000000000000000e+02 -1.414480018891051292e+09 -1.414480024938765526e+09 nan
-1.414480024938765526e+09 2.563362976081281304e+08 -5.750000000000001638e-02 4.000000000000000000e+02 -9.689449145101315975e+08 -9.689449205603458881e+08 nan
-9.689449205603458881e+08 3.113803985235305429e+08 -6.000000000000001860e-02 4.000000000000000000e+02 -9.566989663422573805e+08 -9.566989723949716091e+08 nan
-9.566989723949716091e+08 1.693133044695841670e+08 -6.250000000000001388e-02 4.000000000000000000e+02 -8.551197196222295761e+08 -8.551197256774438620e+08 nan
