logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -9.691318603116806746e+08 -9.691318663043949604e+08 nan
-9.691318663043949604e+08 nan -2.500000000000000052e-03 4.000000000000000000e+02 -6.668588244920719862e+08 -6.668588304872863293e+08 nan
-6.668588304872863293e+08 1.126505090704408735e+08 -5.000000000000000104e-03 4.000000000000000000e+02 -6.279816283585255146e+08 -6.279816343562397957e+08 nan
-6.279816343562397957e+08 1.448867594170359708e+07 -7.499999999999999722e-03 4.000000000000000000e+02 -5.850090992282333374e+08 -5.850091052284476757e+08 nan
-5.850091052284476757e+08 1.601491534352695197e+07 -1.000000000000000021e-02 4.000000000000000000e+02 -5.013674453075439930e+08 -5.013674513102582693e+08 nan
-5.013674513102582693e+08 3.942905427885925770e+07 -1.250000000000000069e-02 4.000000000000000000e+02 -4.873141980354967713e+08 -4.873142040407110453e+08 nan
-4.873142040407110453e+08 2.662522530340516567e+07 -1.500000000000000118e-02 4.000000000000000000e+02 -4.118007665363425612e+08 -4.118007725440568328e+08 nan
-4.118007725440568328e+08 5.262528539823865145e+07 -1.750000000000000167e-02 4.000000000000000000e+02 -3.237734951971343756e+08 -3.237735012073486447e+08 nan
-3.237735012073486447e+08 8.162585321989607811e+07 -2.000000000000000042e-02 4.000000000000000000e+02 -2.963657584034558535e+08 -2.963657644161701202e+08 nan
-2.963657644161701202e+08 1.292013120078799687e+07 -2.249999999999999917e-02 4.000000000000000000e+02 -2.953631686545869708e+08 -2.953631746698012352e+08 nan
-2.953631746698012352e+08 1.048420311129126139e+07 -2.499999999999999792e-02 4.000000000000000000e+02 -2.459379776983598471e+08 -2.459379837160741389e+08 nan
-2.459379837160741389e+08 1.860762803631596640e+07 -2.749999999999999667e-02 4.000000000000000000e+02 -2.305431750488832891e+08 -2.305431810690975785e+08 nan
-2.305431810690975785e+08 1.799490651208126172e+07 -2.999999999999999542e-02 4.000000000000000000e+02 -2.250565233378604054e+08 -2.250565293605746925e+08 nan
-2.250565293605746925e+08 1.516430468281556387e+06 -3.249999999999999417e-02 4.000000000000000000e+02 -2.240612936917736828e+08 -2.240612997169879675e+08 nan
-2.240612997169879675e+08 3.709003396321674227e+05 -3.499999999999999639e-02 4.000000000000000000e+02 -1.976045743270120919e+08 -1.976045803547263741e+08 nan
-1.976045803547263741e+08 1.247181616275463626e+07 -3.749999999999999861e-02 4.000000000000000000e+02 -1.813757221987080872e+08 -1.813757282289223671e+08 nan
-1.813757282289223671e+08 1.251088407278184779e+07 -4.000000000000000083e-02 4.000000000000000000e+02 -1.649245477684611678e+08 -1.649245538011754453e+08 nan
-1.649245538011754453e+08 1.048941860934443399e+07 -4.250000000000000305e-02 4.000000000000000000e+02 -1.450885683931148946e+08 -1.450885744283291698e+08 nan
-1.450885744283291698e+08 1.624640671349311620e+07 -4.500000000000000527e-02 4.000000000000000000e+02 -1.223805393687597513e+08 -1.223805454064740390e+08 nan
-1.223805454064740390e+08 2.285376213142176718e+07 -4.750000000000000749e-02 4.000000000000000000e+02 -1.115545902605697364e+08 -1.115545963007840216e+08 nan
-1.115545963007840216e+08 9.580051845119498670e+06 -5.000000000000000971e-02 4.000000000000000000e+02 -9.688159039431376755e+07 -9.688159643702805042e+07 nan
-9.688159643702805042e+07 1.356993804045775160e+07 -5.250000000000001193e-02 4.000000000000000000e+02 -8.093615986820882559e+07 -8.093616591342310607e+07 nan
-8.093616591342310607e+07 6.904573618329310790e+06 -5.500000000000001416e-02 4.000000000000000000e+02 -7.921435361480729282e+07 -7.921435966252158582e+07 nan
-7.921435966252158582e+07 4.838400777887025848e+06 -5.750000000000001638e-02 4.000000000000000000e+02 -7.635920565889923275e+07 -7.635921170911352336e+07 nan
-7.635921170911352336e+07 1.539298786367711378e+06 -6.000000000000001860e-02 4.000000000000000000e+02 -7.449085982213050127e+07 -7.449086587484478951e+07 nan
-7.449086587484478951e+07 1.305505464267210336e+06 -6.250000000000001388e-02 4.000000000000000000e+02 -6.437089605507707596e+07 -6.437090211029136181e+07 nan
-6.437090211029136181e+07 5.589626983871088363e+06 -6.500000000000001610e-02 4.000000000000000000e+02 -5.745619182279755175e+07 -5.745619788051183522e+07 nan
-5.745619788051183522e+07 5.053246708036428317e+06 -6.750000000000001832e-02 4.000000000000000000e+02 -5.591126147229191661e+07 -5.591126753250620514e+07 nan
-5.591126753250620514e+07 7.282871481183046708e+05 -7.000000000000002054e-02 4.000000000000000000e+02 -5.228104523888970166e+07 -5.228105130160398781e+07 nan
-5.228105130160398781e+07 1.932364562289488502e+06 -7.250000000000002276e-02 4.000000000000000000e+02 -5.127456716126223654e+07 -5.127457322647652030e+07 nan
-5.127457322647652030e+07 1.279753661316618090e+06 -7.500000000000002498e-02 4.000000000000000000e+02 -4.781520626173200458e+07 -4.781521232944629341e+07 nan
-4.781521232944629341e+07 2.541944716705319472e+06 -7.750000000000002720e-02 4.000000000000000000e+02 -4.727042642271409184e+07 -4.727043249292837828e+07 nan
-4.727043249292837828e+07 1.852448035324990749e+06 -8.000000000000002942e-02 4.000000000000000000e+02 -4.009286657045791298e+07 -4.009287264317219704e+07 nan
-4.009287264317219704e+07 4.508517704020444304e+06 -8.250000000000003164e-02 4.000000000000000000e+02 -3.832184750720664859e+07 -3.832185358242093772e+07 nan
-3.832185358242093772e+07 4.495669175194178708e+06 -8.500000000000003386e-02 4.000000000000000000e+02 -3.310193008805976808e+07 -3.310193616577405483e+07 nan
-3.310193616577405483e+07 4.166784747312323656e+06 -8.750000000000003608e-02 4.000000000000000000e+02 -2.874642309630957618e+07 -2.874642917652386427e+07 nan
-2.874642917652386427e+07 5.761032929077233188e+06 -9.000000000000003830e-02 4.000000000000000000e+02 -2.698606338465083390e+07 -2.698606946736511961e+07 nan
-2.698606946736511961e+07 6.125080785849112086e+06 -9.250000000000004052e-02 4.000000000000000000e+02 -2.641483392629715800e+07 -2.641484001151144505e+07 nan
-2.641484001151144505e+07 5.667908858757143840e+06 -9.500000000000004274e-02 4.000000000000000000e+02 -2.610244671599927545e+07 -2.610245280371356383e+07 nan
-2.610245280371356383e+07 5.818131081920113415e+06 -9.750000000000004496e-02 4.000000000000000000e+02 -2.560622761446477100e+07 -2.560623370467905700e+07 nan
-2.560623370467905700e+07 4.252193510738363257e+05 -1.000000000000000472e-01 4.000000000000000000e+02 -2.546528744803934544e+07 -2.546529354075363278e+07 nan
-2.546529354075363278e+07 3.201673505931755644e+05 -1.025000000000000494e-01 4.000000000000000000e+02 -2.171884361811857298e+07 -2.171884971333285794e+07 nan
-2.171884971333285794e+07 1.927924888004508102e+06 -1.050000000000000516e-01 4.000000000000000000e+02 -1.840601115996531770e+07 -1.840601725767960399e+07 nan
-1.840601725767960399e+07 3.162262436127973720e+06 -1.075000000000000538e-01 4.000000000000000000e+02 -1.267459943374487013e+07 -1.267460553395915590e+07 nan
-1.267460553395915590e+07 5.397094213364299387e+06 -1.100000000000000561e-01 4.000000000000000000e+02 -1.145131616025959514e+07 -1.145132226297388226e+07 nan
-1.145132226297388226e+07 5.271051849664793350e+06 -1.125000000000000583e-01 4.000000000000000000e+02 -1.112980845390974358e+07 -1.112981455912403017e+07 nan
-1.112981455912403017e+07 4.223330204878147691e+06 -1.150000000000000605e-01 4.000000000000000000e+02 -1.081971152838283777e+07 -1.081971763609712385e+07 nan
-1.081971763609712385e+07 4.028451334842082113e+06 -1.175000000000000627e-01 4.000000000000000000e+02 -1.066975343689010479e+07 -1.066975954710439220e+07 nan
-1.066975954710439220e+07 4.063481599615547806e+06 -1.200000000000000649e-01 4.000000000000000000e+02 -9.323872350631063804e+06 -9.323878463345350698e+06 nan
-9.323878463345350698e+06 5.304069562788276235e+05 -1.225000000000000672e-01 4.000000000000000000e+02 -9.108588765713062137e+06 -9.108594880927348509e+06 nan
-9.108594880927348509e+06 4.620568561758556170e+05 -1.250000000000000555e-01 4.000000000000000000e+02 -8.948290554634615779e+06 -8.948296672348901629e+06 nan
-8.948296672348901629e+06 1.407700131714165909e+05 -1.275000000000000577e-01 4.000000000000000000e+02 -6.783688840848360211e+06 -6.783694961062646471e+06 nan
-6.783694961062646471e+06 1.040066125868059346e+06 -1.300000000000000600e-01 4.000000000000000000e+02 -6.073084494039515965e+06 -6.073090616753802635e+06 nan
-6.073090616753802635e+06 1.374859900080224732e+06 -1.325000000000000622e-01 4.000000000000000000e+02 -5.674476704522312619e+06 -5.674482829736599699e+06 nan
-5.674482829736599699e+06 1.190115816060345853e+06 -1.350000000000000644e-01 4.000000000000000000e+02 -3.822586198338069022e+06 -3.822592326052355580e+06 nan
-3.822592326052355580e+06 1.539349098175041610e+06 -1.375000000000000666e-01 4.000000000000000000e+02 -3.130666495991499629e+06 -3.130672626205786131e+06 nan
-3.130672626205786131e+06 3.261739867286263034e+05 -1.400000000000000688e-01 4.000000000000000000e+02 -3.101410543274332769e+06 -3.101416675988619681e+06 nan
-3.101416675988619681e+06 2.657770494311387301e+05 -1.425000000000000711e-01 4.000000000000000000e+02 -3.073072947755498812e+06 -3.073079082969785668e+06 nan
-3.073079082969785668e+06 1.847056324856467836e+04 -1.450000000000000733e-01 4.000000000000000000e+02 -2.762606363295312040e+06 -2.762612501009598840e+06 nan
-2.762612501009598840e+06 1.532534201300347631e+05 -1.475000000000000755e-01 4.000000000000000000e+02 -2.645817556995930150e+06 -2.645823697210216895e+06 nan
-2.645823697210216895e+06 1.272642016202212835e+05 -1.500000000000000777e-01 4.000000000000000000e+02 -2.456466515154965688e+06 -2.456472657869252376e+06 nan
-2.456472657869252376e+06 1.901799060915939626e+05 -1.525000000000000799e-01 4.000000000000000000e+02 -2.345221559963450767e+06 -2.345227705177737400e+06 nan
-2.345227705177737400e+06 2.161912805603840970e+05 -1.550000000000000822e-01 4.000000000000000000e+02 -2.121132806194516830e+06 -2.121138953908803407e+06 nan
-2.121138953908803407e+06 1.696953420954590256e+05 -1.575000000000000844e-01 4.000000000000000000e+02 -2.036090850898327073e+06 -2.036097001112613827e+06 nan
-2.036097001112613827e+06 8.695077604422433069e+04 -1.600000000000000866e-01 4.000000000000000000e+02 -1.960633261414842913e+06 -1.960639414129129611e+06 nan
-1.960639414129129611e+06 1.046495984831590467e+05 -1.625000000000000888e-01 4.000000000000000000e+02 -1.770743018221730599e+06 -1.770749173436017241e+06 nan
-1.770749173436017241e+06 1.183681678985078906e+05 -1.650000000000000910e-01 4.000000000000000000e+02 -1.729616020107378252e+06 -1.729622177821664838e+06 nan
-1.729622177821664838e+06 6.322998221993819607e+04 -1.675000000000000933e-01 4.000000000000000000e+02 -1.698002143523123115e+06 -1.698008303737409879e+06 nan
-1.698008303737409879e+06 8.737643746103009107e+03 -1.700000000000000955e-01 4.000000000000000000e+02 -1.648234296210431028e+06 -1.648240458924717735e+06 nan
-1.648240458924717735e+06 2.831265587122203215e+04 -1.725000000000000977e-01 4.000000000000000000e+02 -1.585667666715925792e+06 -1.585673831930212444e+06 nan
-1.585673831930212444e+06 4.365661232541727804e+04 -1.750000000000000999e-01 4.000000000000000000e+02 -1.566177603594076820e+06 -1.566183771308363415e+06 nan
-1.566183771308363415e+06 8.439512819302368371e+03 -1.775000000000001021e-01 4.000000000000000000e+02 -1.555300665900214342e+06 -1.555306836114501115e+06 nan
-1.555306836114501115e+06 8.514718309554045845e+03 -1.800000000000001044e-01 4.000000000000000000e+02 -1.337991277580493828e+06 -1.337997450294780545e+06 nan
-1.337997450294780545e+06 1.050512616189363907e+05 -1.825000000000001066e-01 4.000000000000000000e+02 -1.125359361303896643e+06 -1.125365536518183304e+06 nan
-1.125365536518183304e+06 1.393409035510750255e+05 -1.850000000000001088e-01 4.000000000000000000e+02 -1.091762010890219593e+06 -1.091768188604506198e+06 nan
-1.091768188604506198e+06 1.306058286618833663e+05 -1.875000000000001110e-01 4.000000000000000000e+02 -1.069604649092249107e+06 -1.069610829306535888e+06 nan
-1.069610829306535888e+06 1.346053734412692429e+05 -1.900000000000001132e-01 4.000000000000000000e+02 -9.220509825235096505e+05 -9.220571652377963765e+05 nan
-9.220571652377963765e+05 8.165411024153030303e+04 -1.925000000000001155e-01 4.000000000000000000e+02 -8.693117223783023655e+05 -8.693179075925890356e+05 nan
-8.693179075925890356e+05 1.965441823297883093e+04 -1.950000000000001177e-01 4.000000000000000000e+02 -7.671555146483244607e+05 -7.671617023626111913e+05 nan
-7.671617023626111913e+05 5.588490946459502447e+04 -1.975000000000001199e-01 4.000000000000000000e+02 -7.144588820379975950e+05 -7.144650722522842698e+05 nan
