weight logl src1.lognorm pl1.PhoIndex src1.lognH
0.000000000000000000e+00 -2.104993848206493835e+11 9.558540202487957327e-01 2.879023739132346993e-02 3.261586278396183536e-01
0.000000000000000000e+00 -3.299362914635915375e+10 9.162763407400741356e-01 3.805218744875271675e-03 6.992826640360756407e-01
0.000000000000000000e+00 -2.668160178989452744e+10 8.737642270685556101e-01 2.599804895796498094e-02 5.596175390453846932e-01
0.000000000000000000e+00 -2.094675852408574677e+10 9.628219594383673474e-01 9.560403145348538301e-01 1.172294770692553501e-01
0.000000000000000000e+00 -1.828250572319212341e+10 9.085315859014614359e-01 9.574298773633149739e-02 1.342336729900018844e-01
0.000000000000000000e+00 -1.086042739924209213e+10 9.408708051531328165e-01 1.520892144060496110e-01 4.901150528906815795e-01
0.000000000000000000e+00 -9.939671324447044373e+09 8.671431383053689324e-01 7.839042960749054156e-02 2.023537825218285624e-01
0.000000000000000000e+00 -7.515423260703099251e+09 8.066277520783353694e-01 2.083177113861711671e-02 4.745390850542999805e-01
0.000000000000000000e+00 -5.683760153040920258e+09 8.179988988267122840e-01 5.026583515585703044e-02 2.863560504317685940e-02
0.000000000000000000e+00 -4.083771357590157986e+09 9.837316943060402386e-01 1.627548475023014030e-01 6.975398746189366284e-01
0.000000000000000000e+00 -3.380219938381104469e+09 9.163791200187120234e-01 8.751236069622896352e-01 3.054585022957712059e-02
0.000000000000000000e+00 -3.140784589174525738e+09 9.456529089095984109e-01 2.487407581334644124e-01 1.805414372819186264e-01
0.000000000000000000e+00 -2.566901528444602013e+09 9.844361595074956339e-01 6.397142815549704542e-01 1.500141092875642013e-01
0.000000000000000000e+00 -2.401344628279580593e+09 8.337083900403402525e-01 1.112601777294021099e-01 2.615441493614653057e-01
0.000000000000000000e+00 -2.269857195232678890e+09 8.661302788781954920e-01 7.088799192087524847e-02 6.972353099015612399e-01
0.000000000000000000e+00 -2.132831995169087172e+09 9.711299943490940834e-01 8.105314081359311640e-01 3.187402576640671059e-01
0.000000000000000000e+00 -2.116381497851209164e+09 9.405389101146038877e-01 2.036766795346559578e-01 6.093102696099040871e-01
0.000000000000000000e+00 -1.987027019846299171e+09 8.112831359336477588e-01 1.763172136154467218e-02 7.027941904978215470e-01
0.000000000000000000e+00 -1.696480371341892958e+09 9.532884311427701762e-01 6.952780211461997428e-01 1.590216768676074865e-01
0.000000000000000000e+00 -1.331351611322858572e+09 9.577585524091468683e-01 6.201107787328410392e-01 5.025425536256955539e-04
0.000000000000000000e+00 -1.126089932983711958e+09 7.528584046621241699e-01 5.606464782655706802e-02 1.720608949983004621e-02
0.000000000000000000e+00 -9.384919783750599623e+08 9.347658924434634198e-01 8.937097736481219856e-01 3.458333024136116540e-01
0.000000000000000000e+00 -8.384986276319646835e+08 9.100509309669951863e-01 7.290746516493236129e-01 7.164209450118541600e-02
0.000000000000000000e+00 -6.654085125577697754e+08 7.111526769939341408e-01 3.457298170368117152e-02 3.367710076517371753e-01
0.000000000000000000e+00 -5.035034649343500137e+08 9.631867528005636503e-01 5.003944804847841876e-01 3.715640792684190563e-01
0.000000000000000000e+00 -4.873952399214258194e+08 9.933607724735742384e-01 5.555862308438276331e-01 4.166272028339615963e-01
0.000000000000000000e+00 -4.628691490548424125e+08 7.890205467491462343e-01 1.443307642058773155e-01 5.187110823420937322e-02
0.000000000000000000e+00 -4.619811723925156593e+08 8.975516880684886178e-01 2.027138774872978555e-01 6.575625888076129799e-01
0.000000000000000000e+00 -4.537676621470716000e+08 9.159988640478252675e-01 6.219406302502168415e-01 2.045966395395507620e-01
0.000000000000000000e+00 -4.048473196624844670e+08 9.849007775938547482e-01 5.939882745198816760e-01 4.086225750072516316e-01
0.000000000000000000e+00 -3.911320169619485140e+08 8.715242721645680701e-01 7.718831350505254152e-01 2.130393453117614966e-01
0.000000000000000000e+00 -3.146870659906053543e+08 7.767892242264722302e-01 1.500496303967802092e-01 4.224085491574003370e-02
0.000000000000000000e+00 -3.016974841192306876e+08 7.018539777746753971e-01 6.304811142596666862e-02 9.310996666500614971e-02
0.000000000000000000e+00 -2.821772907042896748e+08 9.796337478482397554e-01 3.467105344151192314e-01 6.107534280396436088e-01
0.000000000000000000e+00 -2.742916739474869967e+08 9.021186015962584515e-01 5.305379760789611376e-01 1.018141201799696027e-01
