src1.lognorm src1.logkT src1.lognH
-3.818570169478497256e+00 4.137506104246286842e-01 1.906170415778920102e+01
-3.859663031474818595e+00 5.059856853302426849e-01 1.911921732966371934e+01
-3.755991807337853317e+00 3.341833594965806231e-01 2.007522138589003546e+01
-3.846143708687978169e+00 4.488996079326710298e-01 2.061870879673537615e+01
-3.794167855546686674e+00 4.581625095063397435e-01 1.918389110625824401e+01
-3.781393584167924260e+00 4.488320346675780392e-01 2.052576388658621553e+01
-3.822670145825846078e+00 4.070799055453291349e-01 2.031524547215878584e+01
-3.782607516833683903e+00 4.427816004753810653e-01 1.948030558751226948e+01
-3.820456894615746890e+00 3.996695265411658315e-01 1.968727083820914459e+01
-3.774013867790598553e+00 5.147809412200152757e-01 1.920128803722261068e+01
-3.803432144367352663e+00 3.282843968848629945e-01 1.937757638323741105e+01
-3.849601629611560938e+00 3.959558935984823780e-01 2.032264419144063794e+01
-3.757783864444981248e+00 4.588221318346605848e-01 2.107752853032217288e+01
-3.785625250977289191e+00 4.635462524932016937e-01 1.912868402607573159e+01
-3.776669101268185891e+00 6.352110830468038483e-01 2.096027394309180636e+01
-3.826912969420684263e+00 3.319432985470021080e-01 1.983184536022260147e+01
-3.849828362781082980e+00 5.985359072370912692e-01 1.997680952015592126e+01
-3.794520231865452509e+00 4.418253710287305402e-01 2.007147806937084766e+01
-3.771602109288538784e+00 4.178238529817690505e-01 1.999167790078575635e+01
-3.813617592489874752e+00 4.716839321623018666e-01 1.976975657638109141e+01
-3.864180308854526125e+00 7.380074296189229610e-01 1.961395038858550777e+01
-3.720251759869218411e+00 4.516041104824004560e-01 2.100200821778866000e+01
-3.865916995609182116e+00 5.487943454207371285e-01 2.021968796427591641e+01
-3.773075190227707765e+00 4.813076989396407601e-01 2.039377346944862879e+01
-3.737676938535173576e+00 4.779535740106790609e-01 2.009055754786415093e+01
-3.743492888857561596e+00 6.178091340552405164e-01 2.114260064241546644e+01
-3.751022055494941831e+00 4.039611027135399102e-01 2.076940783889426356e+01
-3.882902568208617566e+00 5.240780139474867649e-01 1.994691462440702523e+01
-3.785350518066674219e+00 5.191930223875871331e-01 2.062005247774818883e+01
-3.880544771450041175e+00 6.278113106248950359e-01 1.910295153369497712e+01
-3.808987892670519848e+00 4.839728778863712222e-01 1.971293938009008784e+01
-3.885730023685838752e+00 6.462813476651074751e-01 2.005818205861343628e+01
-3.837155565081193487e+00 4.151699056313034042e-01 1.928870379147739200e+01
-3.788277574242962409e+00 3.825975921873177032e-01 1.928926097571459763e+01
-3.803858989127396839e+00 5.841462266280834648e-01 1.923503890357918777e+01
-3.832520621618446199e+00 3.548846153559270800e-01 1.905130645281641932e+01
-3.842296691832714828e+00 4.564923109805127943e-01 2.046708403133316168e+01
-3.810634462760261520e+00 4.864172220580409434e-01 1.917148557934332942e+01
-3.855700160560648015e+00 4.073492124359707756e-01 1.992573283703925213e+01
-3.894919131896672937e+00 6.015543359039416949e-01 1.948297193055427101e+01
-3.865916995609182116e+00 5.487943454207371285e-01 2.021968796427591641e+01
-3.826106668824787782e+00 3.768856609588144835e-01 1.917427404580586625e+01
-3.822440287419857086e+00 4.733561654216855707e-01 1.922545018475175027e+01
-3.854834535789460226e+00 5.108297372846186679e-01 1.968961948879240964e+01
-3.798270091734857523e+00 4.658599677168131503e-01 2.019132467530510411e+01
-3.768021757944588046e+00 5.225599695182892024e-01 1.994982599901469911e+01
-3.821544929790783307e+00 4.398469704612983922e-01 1.958068903378131864e+01
-3.899340805085272699e+00 7.318089279473922737e-01 1.919294659139622183e+01
-3.750748965838599958e+00 4.962606317317126425e-01 2.014841929357799089e+01
-3.747919060163948934e+00 5.029530139981273074e-01 2.070238603362008334e+01
-3.781432221731084731e+00 4.103386254812428913e-01 1.979844589548057954e+01
-3.797455956130601606e+00 4.938176446407229747e-01 1.922828383065428781e+01
-3.803764066377956610e+00 4.078314056961140910e-01 2.031470900338668883e+01
-3.778118081899348724e+00 4.327092887429238033e-01 1.984304193181669618e+01
-3.770350040619208087e+00 4.976329296175923123e-01 1.972293818384196484e+01
-3.814124180244857776e+00 4.559801681812609697e-01 2.058634798718414771e+01
-3.778118081899348724e+00 4.327092887429238033e-01 1.984304193181669618e+01
-3.842910583957690918e+00 3.185251136579012599e-01 1.950499501814255865e+01
-3.814927329226385666e+00 4.236544703431455172e-01 1.956877663948327850e+01
-3.734988082653530661e+00 3.454403174075755256e-01 2.116503151510245573e+01
-3.774013867790598553e+00 5.147809412200152757e-01 1.920128803722261068e+01
-3.787550148185548693e+00 3.935315733652695602e-01 2.072368207296468512e+01
-3.816119495183287746e+00 6.048280199255300360e-01 2.041502570009981810e+01
-3.900378623286158586e+00 3.709747993213805550e-01 1.934999057252426269e+01
-3.923831008418053656e+00 3.441426918987888772e-01 2.029897112785581470e+01
-3.793149219437832009e+00 3.794991413287920334e-01 2.077058810579102754e+01
-3.803437191057864375e+00 4.100492519281737636e-01 1.993442958666008380e+01
-3.770334913854194170e+00 4.784864141853173436e-01 2.079608388484556514e+01
-3.733112080529390475e+00 3.488894348676236934e-01 2.070774882338816525e+01
-3.820566292905873240e+00 5.357760627918384255e-01 2.064434985338192519e+01
-3.832133151102856239e+00 5.357060195496878841e-01 2.063905331936501142e+01
-3.810856382845893009e+00 5.808998447159148260e-01 1.948474656262452598e+01
-3.818124507965077186e+00 4.828672738703576606e-01 1.941103720217122941e+01
-3.828224938023786272e+00 6.626497552965358029e-01 2.081105682906999732e+01
-3.878398581006330836e+00 6.566079406819378406e-01 1.901488882814118142e+01
-3.855527225679264980e+00 4.176741859395018963e-01 2.083475410129485184e+01
-3.814436036093898252e+00 2.977434476221285653e-01 2.006058282159663264e+01
-3.818152302709124868e+00 5.063153873552921347e-01 2.061153674846725892e+01
-3.772933297115305784e+00 3.872227465685997849e-01 2.104696411060638184e+01
-3.864143552675232129e+00 6.193582783034985439e-01 1.934195989100365409e+01
-3.821237309483344724e+00 4.215375365093390059e-01 2.068579122242753598e+01
-3.834782246988262422e+00 3.934017710472197393e-01 1.914063508402186642e+01
-3.720499880572852192e+00 5.019113366169751789e-01 2.017665862797683474e+01
-3.803511408397627136e+00 4.593146705310844347e-01 2.041546381492881324e+01
-3.883449182867584781e+00 4.438671734249559631e-01 1.908028406127502308e+01
-3.863984159791798767e+00 5.257371336699938613e-01 1.926063480507425751e+01
-3.826919119323945573e+00 5.638702983621111109e-01 2.035671615817175706e+01
-3.830462355711598654e+00 3.511042282886938093e-01 2.044689599663570689e+01
-3.808264752304852507e+00 5.687812837939620891e-01 1.910034703373035114e+01
-3.892016638499837811e+00 7.406382446642294504e-01 1.994175068206740065e+01
-3.825835496837847849e+00 3.769818440575740670e-01 1.926289967157665117e+01
-3.813715539123260889e+00 4.832919830378628046e-01 2.027240378330684933e+01
-3.787840081599950892e+00 5.933651048229993119e-01 1.950550566564985644e+01
-3.809896482930123618e+00 4.541775924078428339e-01 1.996726237399071735e+01
-3.757041000960066768e+00 4.253678693734179728e-01 1.985462405660997831e+01
-3.850351962312554832e+00 4.162912490568775326e-01 1.941884724693702680e+01
-3.738868676845661376e+00 3.603975362110312108e-01 2.098981281845921743e+01
-3.817740037398738906e+00 5.158891575786741512e-01 1.953258075934405369e+01
-3.797067028714846693e+00 5.938861751161959024e-01 1.910235489846027335e+01
-3.822028302363259300e+00 4.852728134764996426e-01 2.068801475051861871e+01
-3.849318643419837649e+00 4.203811880078611729e-01 1.996457948653833370e+01
-3.849036443039612898e+00 5.299774534073433685e-01 2.056411093337904461e+01
-3.832391710277001096e+00 5.219468702938043769e-01 2.012017728736426392e+01
-3.835828904623293845e+00 4.901297674245401748e-01 2.024195739391831594e+01
-3.823473628390341439e+00 7.455972568794149158e-01 2.028702018891367231e+01
-3.916544993428258792e+00 6.030427789157919438e-01 1.964429536549801369e+01
-3.796686076948899036e+00 3.568564425108489147e-01 2.048791524158678357e+01
-3.805980448578305975e+00 3.563872717744369645e-01 1.974211611635935881e+01
-3.799713375358221512e+00 4.486752143458732078e-01 1.972569613900899199e+01
-3.824665989902967134e+00 5.100382667353515753e-01 2.015598814771750469e+01
-3.832687580130364147e+00 5.579591079413657173e-01 2.043446578676548597e+01
-3.802579074155193695e+00 4.029515144389568260e-01 1.914136606591586798e+01
-3.765168138611511672e+00 4.899456330969118589e-01 2.034598798249102458e+01
-3.800008912104505754e+00 4.766593187955285860e-01 2.021660724494809358e+01
-3.889485709606034014e+00 6.399544770938836447e-01 1.978198990785766398e+01
-3.842446110670469039e+00 4.470468783135321811e-01 1.969288079813193093e+01
-3.727396850172616460e+00 2.724861253089247981e-01 2.140399347751947801e+01
-3.855527225679264980e+00 4.176741859395018963e-01 2.083475410129485184e+01
-3.814854611153858599e+00 4.219149153252212958e-01 1.932536768909350755e+01
-3.896145030139171794e+00 4.706868223769091752e-01 1.907884949617059789e+01
-3.910105227724653076e+00 4.961743310980697430e-01 1.914113110589320854e+01
-3.798624369577314752e+00 4.592404823602740382e-01 2.060032588104393625e+01
-3.782680703458546567e+00 4.190393723604659559e-01 2.054847099203999505e+01
-3.760646469038904094e+00 2.981384260158213007e-01 2.103384857602022251e+01
-3.750026453453512154e+00 3.791487082872559977e-01 2.020552299720032607e+01
-3.791427905439303636e+00 4.994827818722114010e-01 1.936018270761041293e+01
-3.811123187893550757e+00 4.053245662774349611e-01 2.006308047695768693e+01
-3.753011689292665487e+00 5.043858873535767007e-01 2.095145459389772924e+01
-3.781639277114653197e+00 5.338454049146943436e-01 2.008568683806852917e+01
-3.758410850065380338e+00 3.103551225498581978e-01 2.066626969623325749e+01
-3.858435401945333076e+00 4.246407815243957717e-01 2.019880329586995771e+01
-3.857065870020821130e+00 3.977060399270568869e-01 1.970915116069593864e+01
-3.789779631863980924e+00 3.506643893591916417e-01 2.011331095884773390e+01
-3.771111411031510485e+00 5.045229813269866970e-01 2.016776052142689579e+01
-3.789561529491868086e+00 4.987634071210542697e-01 1.908828757020181754e+01
-3.810875966334057452e+00 4.355367712370599165e-01 1.963654128278101041e+01
-3.793840614805954026e+00 4.603022983974740523e-01 1.943330695360445404e+01
