src1.lognorm src1.logkT src1.lognH
-1.751552989729248111e+00 -2.328328662080809686e-01 1.969882069992277707e+01
-1.857716060910577838e+00 -2.115169518057977704e-01 1.987147893323160375e+01
-2.163747201930770636e+00 -1.174546124363167188e-01 1.915545860245407184e+01
-2.058335493219030532e+00 -1.651302725148071637e-01 2.009508690053877089e+01
-1.758005959923606198e+00 -2.364511548948851072e-01 2.101058039174506220e+01
-1.897424034375074342e+00 -2.071320798500169147e-01 1.988102963000092060e+01
-1.938261215522484093e+00 -1.946208816280665665e-01 1.960540085500464613e+01
-1.925419514112268082e+00 -1.621276700862743780e-01 1.976101845901527199e+01
-2.228337011320566496e+00 -8.440602202280045319e-02 1.969908627892941411e+01
-1.748374970226895364e+00 -2.274317179237086428e-01 2.092990203382275993e+01
-1.903968032487580508e+00 -2.030713733566229529e-01 1.914644520402453054e+01
-1.887089634709052000e+00 -2.076524096146128429e-01 2.095285491122604427e+01
-1.939083312323553798e+00 -1.857871826114627645e-01 1.920334825613959495e+01
-1.957895669382022419e+00 -1.935907865253674309e-01 1.961952245954043761e+01
-1.886060538470309744e+00 -1.973606633288693679e-01 1.949254364833978670e+01
-1.905017029345158264e+00 -1.865783762016022251e-01 2.055709024955011799e+01
-1.812412988664902969e+00 -2.383590348293913586e-01 2.019114775256890226e+01
-2.042968680227120082e+00 -1.428621206675955158e-01 1.953215574344883620e+01
-2.163747201930770636e+00 -1.174546124363167188e-01 1.915545860245407184e+01
-1.795640810450611191e+00 -2.291017361028879762e-01 1.917421058000423884e+01
-2.140211439943371374e+00 -1.502439978941980669e-01 2.094690959951101661e+01
-1.753075344140831326e+00 -2.183564520355476546e-01 1.945334463341712805e+01
-1.812863890868446681e+00 -2.238112503292541966e-01 2.008296292021537965e+01
-1.727003971947001837e+00 -2.581860938201638866e-01 2.033341430702241581e+01
-1.985761014527562374e+00 -1.661406805009066900e-01 1.922175790168597587e+01
-2.017448079514568171e+00 -1.846199246526274429e-01 1.976048731140539516e+01
-1.788797139243720302e+00 -2.441313887691731743e-01 1.997509396706144358e+01
-1.968917603275340156e+00 -1.748178373121711537e-01 2.023122544688138547e+01
-1.766752812258408412e+00 -2.384438680623892637e-01 2.014388125868246604e+01
-1.948335437220396926e+00 -1.999142084817213671e-01 1.959587824457797112e+01
-1.630360513145868495e+00 -2.595549355077069187e-01 1.936830224739755479e+01
-1.903921109536904410e+00 -1.902075573298054323e-01 1.910425963101193858e+01
-1.773211037536336576e+00 -2.468118562052969978e-01 1.985213556513242139e+01
-2.026474996608745194e+00 -1.770727443918200805e-01 1.999237088465990553e+01
-1.825628421469769336e+00 -2.115062169493540090e-01 1.951373950042074412e+01
-1.942875100805625976e+00 -1.881903888976137473e-01 2.002146953904067672e+01
-2.060497896518342031e+00 -1.602572267660176131e-01 1.920914639383341438e+01
-2.058335493219030532e+00 -1.651302725148071637e-01 2.009508690053877089e+01
-2.079375357216274089e+00 -1.390815949565387122e-01 1.946783331341985246e+01
-2.084570558225323111e+00 -1.449378366313123223e-01 1.911470557541060344e+01
-1.765591590235905173e+00 -2.280550642181822241e-01 1.953169048895933457e+01
-1.972071652503315065e+00 -1.783862302020988722e-01 1.947019739264031912e+01
-1.975320765119928268e+00 -1.625708219095693963e-01 1.933593163501249634e+01
-1.807988987303413175e+00 -2.273534397413796704e-01 2.061857308514909093e+01
-1.786435725998114066e+00 -2.259395885946116067e-01 1.922359877361221692e+01
-1.911172963419654813e+00 -1.965541531366952199e-01 1.905537185548249113e+01
-1.817374921951357081e+00 -2.190952220085184976e-01 1.953629487094504569e+01
-1.917593441101915985e+00 -1.929467013002703624e-01 1.908555759300446297e+01
-1.913460994786051472e+00 -2.067893761281820453e-01 1.902444495053647699e+01
-1.823629181325971516e+00 -2.067258828695823780e-01 2.030764481746019001e+01
-1.939209898474507199e+00 -2.153860499198123613e-01 2.026341050994968285e+01
-1.962017098539231341e+00 -1.872130250477712643e-01 1.953799861834821883e+01
-1.907405047405976717e+00 -2.202856681213409829e-01 1.951558134915915232e+01
-1.944156182000898347e+00 -2.155619069441883084e-01 1.938468780121560187e+01
-2.015508054073221089e+00 -1.554804661484872064e-01 2.044295326802971147e+01
-2.038262635030138270e+00 -1.534118529071735182e-01 1.942525592548642166e+01
-1.576975269045447270e+00 -2.942941420204152614e-01 1.990281719393176019e+01
-2.093600080960887233e+00 -1.723967764144420656e-01 1.962363757957511368e+01
-1.976758359864879466e+00 -1.905589132217606618e-01 2.050382558022363355e+01
-1.919745217756625877e+00 -1.806627473454653909e-01 1.983480620830929908e+01
-2.021270383498628753e+00 -1.534901906144638950e-01 1.965910350359500214e+01
-2.259704775681356637e+00 -1.079607320221702693e-01 2.007654970122137073e+01
-1.845155455455644855e+00 -2.610461458430433090e-01 2.027181290244870837e+01
-2.058671219136505748e+00 -1.620040241640885448e-01 1.921952333296224324e+01
-2.005424143507774204e+00 -1.727886426413580701e-01 2.033750550923305056e+01
-2.020070584860429896e+00 -1.619232093014506546e-01 1.921273304431514717e+01
-1.839490612951424353e+00 -2.145737444541002681e-01 1.973387680980047776e+01
-1.774630504002027820e+00 -2.376392556901860686e-01 2.002157745128383226e+01
-2.083698996572445949e+00 -1.296361790348838916e-01 1.934711667892248244e+01
-2.027638582452853555e+00 -1.697228972062210239e-01 2.027517359419234566e+01
-1.990216908890240610e+00 -1.729343330016797076e-01 1.927509628963624166e+01
-1.883376454997375049e+00 -2.244159362515785183e-01 1.942719358095249405e+01
-1.973206228917377736e+00 -2.003837612936067991e-01 1.932296994886448260e+01
-2.157382779026748132e+00 -1.413682581842405916e-01 1.954133147672825999e+01
-2.095070587314319610e+00 -1.319578926153202048e-01 1.932846064809860209e+01
-2.187513430522324498e+00 -1.320452232450444185e-01 1.940442855077114004e+01
-1.790173817785959187e+00 -2.471461372582606231e-01 1.991884783603369158e+01
-1.875305423781218117e+00 -2.144954897698823082e-01 1.903225724171075228e+01
-1.894805251158967252e+00 -2.316573720993422292e-01 1.933165457002895948e+01
-1.904992439827747575e+00 -2.081958853900793827e-01 1.941609454800517653e+01
-2.067031677230982467e+00 -1.538323749703160992e-01 1.997360033694842585e+01
-1.954963537907150162e+00 -2.066333127792456814e-01 1.916791202477175915e+01
-2.051498310864754870e+00 -1.569878391735977097e-01 1.988401642384395629e+01
-1.759089272239386048e+00 -2.470678905151317828e-01 1.997385919996102643e+01
-1.927101716750175164e+00 -2.023994885033317814e-01 1.999723799565343185e+01
-1.944816132904963801e+00 -2.205478810758529917e-01 1.978437427211540722e+01
-1.714127901044992797e+00 -2.626016228800858165e-01 1.921419219824245772e+01
-1.806201724642841455e+00 -2.387828380411023410e-01 1.959651862280924561e+01
-2.089627684649701500e+00 -1.482671393304095808e-01 1.957685546571577717e+01
-1.886808261241280427e+00 -2.231218202356348712e-01 2.006281477589719131e+01
-2.164105194948919397e+00 -1.325993222221453216e-01 1.975612013322656324e+01
-1.768854919806784665e+00 -2.253110131836666419e-01 2.057874581758452237e+01
-1.980253192066927070e+00 -1.603516901715833498e-01 1.956418515823765958e+01
-1.812412988664902969e+00 -2.383590348293913586e-01 2.019114775256890226e+01
-1.797051797986216393e+00 -2.286079173487665095e-01 2.088512919939737955e+01
