09:21:28 [ultranest] [DEBUG] ReactiveNestedSampler: dims=3+0, resume=True, log_dir=/home/orion51/Desktop/Research/spectral_fitting/FGL_spectral_fitting/Individual_sources/2CXOJ103145.7+573401/powerlaw_out_, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
09:21:28 [ultranest] [INFO] Sampling 400 live points from prior ...
09:21:29 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.1000, min_ess=400
09:21:29 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
09:21:29 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
09:21:29 [ultranest] [DEBUG] iteration=0, ncalls=401, regioncalls=40, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-118890630005.49, Lmax=-9.01
09:21:29 [ultranest] [DEBUG] iteration=28, ncalls=433, regioncalls=1320, ndraw=40, logz=-517794787.91, remainder_fraction=100.0000%, Lmin=-456557918.99, Lmax=-9.01
09:21:29 [ultranest] [DEBUG] iteration=40, ncalls=449, regioncalls=1960, ndraw=40, logz=-157615325.20, remainder_fraction=100.0000%, Lmin=-153163532.19, Lmax=-9.01
09:21:29 [ultranest] [DEBUG] iteration=70, ncalls=484, regioncalls=3360, ndraw=40, logz=-9835816.33, remainder_fraction=100.0000%, Lmin=-9088936.93, Lmax=-9.01
09:21:29 [ultranest] [DEBUG] iteration=80, ncalls=497, regioncalls=3880, ndraw=40, logz=-5585510.83, remainder_fraction=100.0000%, Lmin=-5415203.92, Lmax=-9.01
09:21:29 [ultranest] [DEBUG] iteration=90, ncalls=510, regioncalls=4400, ndraw=40, logz=-1660258.48, remainder_fraction=100.0000%, Lmin=-1410181.27, Lmax=-9.01
09:21:30 [ultranest] [DEBUG] iteration=118, ncalls=540, regioncalls=5600, ndraw=40, logz=-313192.21, remainder_fraction=100.0000%, Lmin=-302000.89, Lmax=-9.01
09:21:30 [ultranest] [DEBUG] iteration=120, ncalls=542, regioncalls=5680, ndraw=40, logz=-296275.41, remainder_fraction=100.0000%, Lmin=-280359.79, Lmax=-9.01
09:21:30 [ultranest] [DEBUG] iteration=151, ncalls=575, regioncalls=7000, ndraw=40, logz=-53854.38, remainder_fraction=100.0000%, Lmin=-51091.35, Lmax=-9.01
09:21:30 [ultranest] [DEBUG] iteration=160, ncalls=588, regioncalls=7520, ndraw=40, logz=-43496.75, remainder_fraction=100.0000%, Lmin=-36341.02, Lmax=-9.01
09:21:30 [ultranest] [DEBUG] iteration=183, ncalls=621, regioncalls=8840, ndraw=40, logz=-11348.12, remainder_fraction=100.0000%, Lmin=-10904.07, Lmax=-9.01
09:21:30 [ultranest] [DEBUG] iteration=200, ncalls=643, regioncalls=9720, ndraw=40, logz=-6422.93, remainder_fraction=100.0000%, Lmin=-6266.35, Lmax=-9.01
09:21:30 [ultranest] [DEBUG] iteration=228, ncalls=677, regioncalls=11080, ndraw=40, logz=-2651.38, remainder_fraction=100.0000%, Lmin=-2440.95, Lmax=-9.01
09:21:30 [ultranest] [DEBUG] iteration=240, ncalls=692, regioncalls=11680, ndraw=40, logz=-1527.12, remainder_fraction=100.0000%, Lmin=-1513.33, Lmax=-9.01
09:21:30 [ultranest] [DEBUG] iteration=269, ncalls=731, regioncalls=13240, ndraw=40, logz=-499.94, remainder_fraction=100.0000%, Lmin=-440.99, Lmax=-9.01
09:21:30 [ultranest] [DEBUG] iteration=280, ncalls=745, regioncalls=13800, ndraw=40, logz=-334.22, remainder_fraction=100.0000%, Lmin=-315.22, Lmax=-9.01
09:21:30 [ultranest] [DEBUG] iteration=308, ncalls=778, regioncalls=15120, ndraw=40, logz=-195.64, remainder_fraction=100.0000%, Lmin=-189.15, Lmax=-9.01
09:21:30 [ultranest] [DEBUG] iteration=320, ncalls=796, regioncalls=15840, ndraw=40, logz=-181.90, remainder_fraction=100.0000%, Lmin=-174.87, Lmax=-9.01
09:21:30 [ultranest] [DEBUG] Plateau detected at L=-1.745444e+02, not replacing live point.
09:21:30 [ultranest] [DEBUG] Plateau detected at L=-1.745444e+02, not replacing live point.
09:21:30 [ultranest] [DEBUG] Plateau detected at L=-1.745444e+02, not replacing live point.
09:21:30 [ultranest] [DEBUG] Plateau detected at L=-1.745444e+02, not replacing live point.
09:21:30 [ultranest] [DEBUG] Plateau detected at L=-1.745444e+02, not replacing live point.
09:21:30 [ultranest] [DEBUG] iteration=331, ncalls=804, regioncalls=16160, ndraw=40, logz=-179.00, remainder_fraction=100.0000%, Lmin=-174.54, Lmax=-9.01
09:21:30 [ultranest] [DEBUG] Plateau detected at L=-1.745444e+02, not replacing live point.
09:21:30 [ultranest] [DEBUG] Plateau detected at L=-1.745444e+02, not replacing live point.
09:21:30 [ultranest] [DEBUG] Plateau detected at L=-1.745444e+02, not replacing live point.
09:21:30 [ultranest] [DEBUG] Plateau detected at L=-1.745444e+02, not replacing live point.
09:21:30 [ultranest] [DEBUG] Plateau detected at L=-1.745444e+02, not replacing live point.
09:21:30 [ultranest] [DEBUG] Plateau detected at L=-1.745444e+02, not replacing live point.
09:21:30 [ultranest] [DEBUG] Plateau detected at L=-1.745444e+02, not replacing live point.
09:21:30 [ultranest] [DEBUG] Plateau detected at L=-1.745444e+02, not replacing live point.
09:21:30 [ultranest] [DEBUG] Plateau detected at L=-1.745444e+02, not replacing live point.
09:21:30 [ultranest] [DEBUG] Plateau detected at L=-1.745444e+02, not replacing live point.
09:21:30 [ultranest] [DEBUG] Plateau detected at L=-1.745444e+02, not replacing live point.
09:21:30 [ultranest] [DEBUG] Plateau detected at L=-1.745444e+02, not replacing live point.
09:21:30 [ultranest] [DEBUG] Plateau detected at L=-1.745444e+02, not replacing live point.
09:21:30 [ultranest] [DEBUG] Plateau detected at L=-1.745444e+02, not replacing live point.
09:21:30 [ultranest] [DEBUG] Plateau detected at L=-1.745444e+02, not replacing live point.
09:21:30 [ultranest] [DEBUG] Plateau detected at L=-1.745444e+02, not replacing live point.
09:21:30 [ultranest] [DEBUG] Plateau detected at L=-1.745444e+02, not replacing live point.
09:21:30 [ultranest] [DEBUG] Plateau detected at L=-1.745444e+02, not replacing live point.
09:21:30 [ultranest] [DEBUG] Plateau detected at L=-1.745444e+02, not replacing live point.
09:21:30 [ultranest] [DEBUG] Plateau detected at L=-1.745444e+02, not replacing live point.
09:21:30 [ultranest] [DEBUG] Plateau detected at L=-1.745444e+02, not replacing live point.
09:21:30 [ultranest] [DEBUG] Plateau detected at L=-1.745444e+02, not replacing live point.
09:21:30 [ultranest] [DEBUG] Plateau detected at L=-1.745444e+02, not replacing live point.
09:21:30 [ultranest] [DEBUG] Plateau detected at L=-1.745444e+02, not replacing live point.
09:21:30 [ultranest] [DEBUG] Plateau detected at L=-1.745444e+02, not replacing live point.
09:21:30 [ultranest] [DEBUG] Plateau detected at L=-1.745444e+02, not replacing live point.
09:21:30 [ultranest] [DEBUG] Plateau detected at L=-1.745444e+02, not replacing live point.
09:21:30 [ultranest] [DEBUG] Plateau detected at L=-1.745444e+02, not replacing live point.
09:21:30 [ultranest] [DEBUG] Plateau detected at L=-1.745444e+02, not replacing live point.
09:21:30 [ultranest] [DEBUG] Plateau detected at L=-1.745444e+02, not replacing live point.
09:21:30 [ultranest] [DEBUG] Plateau detected at L=-1.745444e+02, not replacing live point.
09:21:30 [ultranest] [DEBUG] Plateau detected at L=-1.745444e+02, not replacing live point.
09:21:30 [ultranest] [DEBUG] Plateau detected at L=-1.745444e+02, not replacing live point.
09:21:30 [ultranest] [DEBUG] Plateau detected at L=-1.745444e+02, not replacing live point.
09:21:30 [ultranest] [DEBUG] Plateau detected at L=-1.745444e+02, not replacing live point.
09:21:30 [ultranest] [DEBUG] Plateau detected at L=-1.745444e+02, not replacing live point.
09:21:30 [ultranest] [DEBUG] Plateau detected at L=-1.745444e+02, not replacing live point.
09:21:30 [ultranest] [DEBUG] Plateau detected at L=-1.745444e+02, not replacing live point.
09:21:30 [ultranest] [DEBUG] Plateau detected at L=-1.745444e+02, not replacing live point.
09:21:30 [ultranest] [DEBUG] Plateau detected at L=-1.745444e+02, not replacing live point.
09:21:30 [ultranest] [DEBUG] Plateau detected at L=-1.745444e+02, not replacing live point.
09:21:30 [ultranest] [DEBUG] Plateau detected at L=-1.745444e+02, not replacing live point.
09:21:30 [ultranest] [DEBUG] Plateau detected at L=-1.745444e+02, not replacing live point.
