logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -3.704416875406663865e+07 -3.704417474678092450e+07 nan
-3.704417474678092450e+07 nan -2.500000000000000052e-03 4.000000000000000000e+02 -3.421923231333827972e+07 -3.421923830855256319e+07 nan
-3.421923830855256319e+07 nan -5.000000000000000104e-03 4.000000000000000000e+02 -2.752678177521606535e+07 -2.752678777293035388e+07 nan
-2.752678777293035388e+07 nan -7.499999999999999722e-03 4.000000000000000000e+02 -2.636400682127203420e+07 -2.636401282148632035e+07 nan
-2.636401282148632035e+07 2.940095896477041766e+06 -1.000000000000000021e-02 4.000000000000000000e+02 -2.169664216522727534e+07 -2.169664816794156283e+07 nan
-2.169664816794156283e+07 2.021028181749062845e+06 -1.250000000000000069e-02 4.000000000000000000e+02 -1.993709673311874270e+07 -1.993710273833302781e+07 nan
-1.993710273833302781e+07 4.863137006606705254e+05 -1.500000000000000118e-02 4.000000000000000000e+02 -1.991176947987777367e+07 -1.991177548759206012e+07 nan
-1.991177548759206012e+07 9.438473959522991208e+03 -1.750000000000000167e-02 4.000000000000000000e+02 -1.532821347322496399e+07 -1.532821948343924992e+07 nan
-1.532821948343924992e+07 2.293898407195492182e+06 -2.000000000000000042e-02 4.000000000000000000e+02 -1.464360627984665520e+07 -1.464361229256094247e+07 nan
-1.464361229256094247e+07 1.422619479917717632e+06 -2.249999999999999917e-02 4.000000000000000000e+02 -1.289294439671845548e+07 -1.289295041193274222e+07 nan
-1.289295041193274222e+07 1.087195203107850859e+06 -2.499999999999999792e-02 4.000000000000000000e+02 -9.934959107681224123e+06 -9.934965125395510346e+06 nan
-9.934965125395510346e+06 1.730326223192924866e+06 -2.749999999999999667e-02 4.000000000000000000e+02 -8.767420506940826774e+06 -8.767426527155114338e+06 nan
-8.767426527155114338e+06 2.213620519564868417e+06 -2.999999999999999542e-02 4.000000000000000000e+02 -7.824456214717213996e+06 -7.824462237431501038e+06 nan
-7.824462237431501038e+06 4.648872134489510208e+05 -3.249999999999999417e-02 4.000000000000000000e+02 -6.935279031813021749e+06 -6.935285057027308270e+06 nan
-6.935285057027308270e+06 4.383697281333732535e+05 -3.499999999999999639e-02 4.000000000000000000e+02 -6.643103252169005573e+06 -6.643109279883292504e+06 nan
-6.643109279883292504e+06 4.402637948204431450e+05 -3.749999999999999861e-02 4.000000000000000000e+02 -5.776653772125140764e+06 -5.776659802339427173e+06 nan
-5.776659802339427173e+06 4.332246984527392779e+05 -4.000000000000000083e-02 4.000000000000000000e+02 -5.254565416376229376e+06 -5.254571449090516195e+06 nan
-5.254571449090516195e+06 5.933990517456174130e+05 -4.250000000000000305e-02 4.000000000000000000e+02 -5.051241868683509529e+06 -5.051247903897795826e+06 nan
-5.051247903897795826e+06 4.480419059609419783e+05 -4.500000000000000527e-02 4.000000000000000000e+02 -4.250607934170090593e+06 -4.250613971884377301e+06 nan
-4.250613971884377301e+06 7.604041754629877396e+05 -4.750000000000000749e-02 4.000000000000000000e+02 -3.840187371502686758e+06 -3.840193411716973409e+06 nan
-3.840193411716973409e+06 8.204904196876407368e+05 -5.000000000000000971e-02 4.000000000000000000e+02 -2.927802920734230895e+06 -2.927808963448517490e+06 nan
