weight logl src1.lognorm src2.lognorm src1.logkT src1.lognH
0.000000000000000000e+00 -4.901199742406135201e+08 2.903053564810601506e-01 9.980392545572025487e-01 7.865635275764413237e-01 1.581054680016413805e-01
0.000000000000000000e+00 -4.612903968219830990e+08 9.716320647260680010e-01 9.369885227125898108e-01 4.771396602384506691e-01 1.949547213950453273e-02
0.000000000000000000e+00 -4.607815219244070053e+08 5.658973109609134466e-01 9.935939962015136739e-01 5.214019570034096329e-01 2.274789188119419325e-02
0.000000000000000000e+00 -4.467170928849122524e+08 9.752777704487297639e-01 8.443957207351635574e-01 4.296783960989207785e-01 1.417385855352594204e-01
0.000000000000000000e+00 -3.816453316985698938e+08 3.568259257821193575e-01 9.863142301290886982e-01 6.942127821545172051e-01 1.179658180733645922e-01
0.000000000000000000e+00 -2.978497673925151229e+08 1.767880726793242818e-01 9.570848995843750373e-01 3.912228085997143667e-01 2.023511990779286451e-01
0.000000000000000000e+00 -2.691009283167650700e+08 9.688606731536599792e-01 5.313954162993740349e-01 5.344933759947251284e-01 1.091668324651675626e-01
0.000000000000000000e+00 -2.607438026109360158e+08 7.728825174473811233e-01 9.803327056542707751e-01 2.232015157911839687e-01 3.072923605699371397e-01
0.000000000000000000e+00 -2.525956030484803319e+08 1.855967808528118379e-01 9.491581467257538263e-01 3.475250468402368842e-01 2.395500754078861982e-01
0.000000000000000000e+00 -2.475472415898849964e+08 4.143696435234379694e-01 9.734605286278966707e-01 5.467265768210320953e-01 2.953963890150607119e-01
0.000000000000000000e+00 -2.325857501493548453e+08 9.630741096820908398e-01 6.748764273615684983e-01 6.703781561144938062e-01 1.339560619743268566e-01
0.000000000000000000e+00 -2.012816211597639620e+08 1.617179806836415157e-01 9.694441819870712740e-01 7.061727772856148944e-01 3.542789005572672956e-01
0.000000000000000000e+00 -1.629560016803844869e+08 9.289438865335269968e-01 2.560462403532999254e-01 2.780813607403296306e-01 1.792663527830754555e-01
0.000000000000000000e+00 -1.355727654214861095e+08 4.658439183406729578e-01 9.417442172884722407e-01 5.876894532930959647e-01 3.144767272360837751e-02
0.000000000000000000e+00 -9.409190246927094460e+07 9.231700075897811830e-01 5.792565723579775616e-01 5.137187355440476777e-01 1.791481235842607989e-01
0.000000000000000000e+00 -9.284794432285077870e+07 5.343165103380439485e-01 9.546631157120875066e-01 8.778889021669312731e-01 4.413474118995074358e-01
0.000000000000000000e+00 -8.860200645151486993e+07 7.251370001697243772e-01 9.361181123597506204e-01 8.759145753658819089e-01 3.643913362997990291e-01
0.000000000000000000e+00 -7.854956177429901063e+07 8.341774026082025006e-01 9.105832835728716601e-01 6.334176153468789039e-01 4.965201036822264324e-02
0.000000000000000000e+00 -7.502942441484263539e+07 9.233598244455808457e-01 6.519367020179726024e-01 1.894161685632067549e-01 2.564232839161162403e-01
0.000000000000000000e+00 -7.272581617810451984e+07 9.275037815514235451e-01 6.174315208530152255e-01 2.472749102227692619e-01 3.501531846917674828e-01
0.000000000000000000e+00 -6.995516644699399173e+07 8.852984340048470902e-01 7.051724764479947449e-01 3.380333211000888793e-01 1.064844243789071498e-01
0.000000000000000000e+00 -6.308869009531954676e+07 9.885437209390977031e-01 1.626960038339096970e-01 9.921660488496107932e-01 5.812134492293280497e-01
0.000000000000000000e+00 -6.092239546730566770e+07 6.274274865055295969e-01 9.067024642342974561e-01 7.435030027028354249e-01 1.204470656386531502e-01
0.000000000000000000e+00 -5.239462283069335669e+07 9.122316619114372305e-01 1.950862053256139372e-01 6.623508442043334332e-01 3.628765480968088042e-01
0.000000000000000000e+00 -5.235872394156960398e+07 8.856823655151433439e-01 4.765091658331047642e-01 4.155967531515281088e-01 2.630695858518128372e-01
0.000000000000000000e+00 -4.596072808277000487e+07 1.312049905777641357e-01 9.950573830510972551e-01 7.882111185592930447e-01 6.118730022266180013e-01
0.000000000000000000e+00 -4.103557526415596902e+07 5.756511611717557431e-01 9.264471581313536985e-01 6.043106585692619159e-01 4.423725584926347931e-01
0.000000000000000000e+00 -4.021839283441490680e+07 8.871987265926500887e-01 1.344687138106537283e-02 7.861990020908358190e-01 3.768438723134426294e-02
0.000000000000000000e+00 -3.709004590487048775e+07 8.953928424628151417e-01 1.969464293067076932e-01 1.618550203344267802e-01 7.549533742520875279e-02
0.000000000000000000e+00 -3.637578507734005898e+07 9.240485242642959562e-01 1.087488651436983034e-01 9.882313340774201427e-01 4.693024148207335378e-01
0.000000000000000000e+00 -3.554897642923732102e+07 3.858975646092361877e-01 9.582272092794659191e-01 8.944112280290804629e-01 5.666853945588694597e-01
0.000000000000000000e+00 -3.538236570852030814e+07 5.120664164261490292e-02 8.890381333031944777e-01 3.509183809933531517e-01 3.682122193361004880e-01
0.000000000000000000e+00 -3.423111975452397019e+07 9.322945848869279573e-01 6.079690250960120279e-01 1.838175741346431691e-01 3.737752465199279950e-01
0.000000000000000000e+00 -3.255628257826424390e+07 4.816497695094487108e-01 9.603328720589278111e-01 3.355147812508316729e-01 4.636757385593993641e-01
0.000000000000000000e+00 -3.222206950337994099e+07 8.680761334160904674e-01 5.437999002747386790e-01 4.320424828526383543e-01 2.701973489283260310e-01
0.000000000000000000e+00 -3.139268563638979569e+07 8.845265125925063643e-01 7.719689527180931821e-01 6.318010034575731737e-01 3.449719501299698399e-01
0.000000000000000000e+00 -3.133830310262970999e+07 9.027635253104502322e-01 8.602340612619786553e-01 7.092355280026364506e-01 4.647216646508189886e-01
0.000000000000000000e+00 -3.129398112340663001e+07 3.637086273242605694e-01 9.611950435719225361e-01 6.452861835291234804e-02 5.260161346938763138e-02
0.000000000000000000e+00 -3.089929992753445730e+07 4.119930587410913780e-02 8.629865721452147920e-01 3.722230499541584470e-01 2.862915359416556838e-01
0.000000000000000000e+00 -2.837288944828247279e+07 3.470265930580407332e-01 8.723378351113105778e-01 4.887338684382948051e-01 2.420067258375674379e-01
0.000000000000000000e+00 -2.824603228540591523e+07 8.803958316342269663e-01 5.136216647194180585e-01 6.611971565351645319e-01 3.301574042324088021e-01
0.000000000000000000e+00 -2.786309173959130794e+07 5.084924576427239939e-01 9.156701250286446436e-01 1.167936888418105168e-01 5.451564305244449571e-02
0.000000000000000000e+00 -2.720563222546112537e+07 7.138599326841020831e-01 8.528298057924632580e-01 2.807188053143403472e-01 1.248672703806664730e-01
0.000000000000000000e+00 -2.574001687277102098e+07 1.117246730874615901e-01 9.577303795852981638e-01 7.816540677668808446e-01 5.890312432271909149e-01
0.000000000000000000e+00 -2.465792506623770297e+07 8.700494696017810892e-01 5.171718364114797906e-01 6.290745996396462925e-01 2.792770024624089409e-01
0.000000000000000000e+00 -2.412065803762793913e+07 4.748506516460914151e-01 8.444367015038373170e-01 3.662039727094084096e-01 9.911003034581944426e-02
0.000000000000000000e+00 -2.400518764174863696e+07 9.756509974285836329e-01 4.741996439607684133e-01 4.128165571234967413e-01 5.156773596710488849e-01
0.000000000000000000e+00 -2.392675655083047599e+07 9.589377397893200650e-01 9.454751866198052301e-02 4.455203620100889328e-02 1.912388133903591969e-01
0.000000000000000000e+00 -2.377765823615853116e+07 8.384963507152841666e-01 5.907942748922229148e-01 3.451354663924878219e-01 5.749880027475950950e-02
0.000000000000000000e+00 -2.344948572962893173e+07 8.476803788712202747e-01 3.532099751480705097e-01 2.631268288261733312e-01 1.982285672628255613e-01
0.000000000000000000e+00 -2.314563053169266135e+07 9.388563740506434829e-01 1.808638003236452407e-01 6.473925806306579656e-02 1.691393669472290862e-01
0.000000000000000000e+00 -2.059786570973585173e+07 5.240093319111490677e-01 9.007232654482691947e-01 7.976495876101241667e-01 4.781773218051156293e-01
0.000000000000000000e+00 -1.741891722761548311e+07 1.930995607365344480e-01 8.361761528369108243e-01 4.169046569692810289e-01 7.789787344962173510e-02
