weight logl src1.lognorm src1.logkT src1.lognH
0.000000000000000000e+00 -4.226587828264634311e+07 9.774929130386141862e-01 9.965952736674713597e-01 6.217894723966477244e-01
0.000000000000000000e+00 -3.583126698733698577e+07 9.572877480211583467e-01 9.447565341120124360e-01 2.569744040236783267e-01
0.000000000000000000e+00 -2.471967865101106465e+07 9.675637495336771865e-01 9.131419676645832206e-01 4.643614475916728601e-01
0.000000000000000000e+00 -5.602462956501111388e+06 8.498942187734105369e-01 9.953294650423233358e-01 2.117020090940391341e-03
0.000000000000000000e+00 -9.739317782844745088e+05 8.732396982317351952e-01 8.575800515818234881e-01 5.126480124256607152e-01
0.000000000000000000e+00 -6.881569546163980849e+05 9.246327316916580497e-01 8.116584466681691090e-01 5.934194150512744903e-01
0.000000000000000000e+00 -6.322831709989614319e+05 7.719540502189502496e-01 9.857981862784130911e-01 5.056313243539000135e-01
0.000000000000000000e+00 -5.438792959525273181e+05 7.874378533059238627e-01 9.231281915015564499e-01 2.615355630995186420e-02
0.000000000000000000e+00 -4.605504413228153717e+05 9.146016183276709510e-01 8.692231746823396721e-01 6.953868801280144174e-01
0.000000000000000000e+00 -3.468886298231144901e+05 7.362294216477575093e-01 9.901991738403301824e-01 4.237947378885985605e-01
0.000000000000000000e+00 -2.380071686342314642e+05 8.025180956184835290e-01 9.271001680479178386e-01 6.422369574956865446e-01
0.000000000000000000e+00 -2.352500075685120246e+05 7.613178287348217887e-01 9.133644302814593052e-01 4.109550256204937968e-01
0.000000000000000000e+00 -2.312572908651016187e+05 9.629990601018096896e-01 6.965971573697008479e-01 2.022477119888347330e-01
0.000000000000000000e+00 -2.149745664333512541e+05 7.473383723009925372e-01 9.285397118475295919e-01 3.926710172163884183e-01
0.000000000000000000e+00 -1.843841500132564397e+05 7.708342006316342143e-01 8.765201823623791633e-01 2.564383649318359160e-01
0.000000000000000000e+00 -1.773967993381679407e+05 9.631004206386921673e-01 9.153814319267513655e-01 7.772629104408607104e-01
0.000000000000000000e+00 -1.182063241846125893e+05 7.619322847208989113e-01 8.942942180560166099e-01 5.525054933360620257e-01
0.000000000000000000e+00 -1.043611991882783332e+05 9.537438715786763499e-01 6.815479873846801429e-01 3.167357603805827093e-01
0.000000000000000000e+00 -8.173363314018858364e+04 7.553624805173707601e-01 8.822310881645618608e-01 5.552228939890742065e-01
0.000000000000000000e+00 -6.440238744536192826e+04 7.286501582906496077e-01 8.939955147764004906e-01 5.147387530253944021e-01
0.000000000000000000e+00 -6.196247131543212890e+04 7.244547856894996141e-01 8.755367683253311162e-01 2.513724896959318444e-01
0.000000000000000000e+00 -6.006782704544511944e+04 7.219772497707953596e-01 8.785570566922731306e-01 3.243281168491235489e-01
0.000000000000000000e+00 -5.723961426998289971e+04 7.297054906654590889e-01 8.630935894203916048e-01 2.027602889963698862e-01
0.000000000000000000e+00 -5.181999323076736619e+04 7.844594283851993310e-01 7.972987534057753845e-01 3.560767740344902288e-01
0.000000000000000000e+00 -4.596380729230240104e+04 6.668196100331637011e-01 9.479979675791474492e-01 2.213528383201103233e-01
0.000000000000000000e+00 -3.271845688994783268e+04 8.662580990558532701e-01 9.345920863602130702e-01 7.730020534413520883e-01
0.000000000000000000e+00 -3.185845644253414139e+04 7.504363189549134727e-01 8.312279955800044862e-01 5.224776609497443491e-01
0.000000000000000000e+00 -2.683868271153868409e+04 8.752530967603903145e-01 6.924230961064932188e-01 4.665301369377261587e-03
0.000000000000000000e+00 -2.154949565207554406e+04 6.244784194182249060e-01 9.675551687908042764e-01 2.935226068378655739e-01
0.000000000000000000e+00 -2.145347361269671819e+04 6.653135528044669122e-01 8.956201284164364562e-01 1.613619629626474872e-01
0.000000000000000000e+00 -1.763829897547988367e+04 6.410010403475623342e-01 9.297363937903725395e-01 4.251169405680094160e-01
0.000000000000000000e+00 -1.555721575668366859e+04 6.550647619425702395e-01 8.903899525616042476e-01 3.601916959340034641e-02
