src1.lognorm src2.lognorm src3.lognorm src1.logkT src1.lognH
-1.722916514503793906e+00 -1.747686022402324291e+00 -1.627156551747852120e+00 -2.252881639379835654e-01 1.968289170215931705e+01
-1.516311895696755840e+00 -1.635381397989714714e+00 -1.448459612029047605e+00 -2.704919428099223921e-01 2.047897171292494178e+01
-1.612622547428543385e+00 -1.572257936694979819e+00 -1.519190297272885459e+00 -2.577527061463524838e-01 2.054468972272343308e+01
-1.625900223772901221e+00 -1.739699948767652771e+00 -1.574848138633680783e+00 -2.420794010620626047e-01 1.926301314363451667e+01
-1.729203945495273231e+00 -1.710968569480569634e+00 -1.640547726501763393e+00 -2.349714603898709342e-01 1.961549899149274268e+01
-1.527175068405018266e+00 -1.559080636537853337e+00 -1.468681464577091589e+00 -2.755656780800186390e-01 2.021151268817997249e+01
-1.683829279733080497e+00 -1.620926647064680814e+00 -1.607491822402389303e+00 -2.484789196313488269e-01 1.961767702888434783e+01
-1.593599281016545355e+00 -1.584518859234378851e+00 -1.459526392741866019e+00 -2.786060350527255203e-01 2.033668581389328622e+01
-1.664225179631706020e+00 -1.758224362234238392e+00 -1.666144358167045425e+00 -2.350322792605807898e-01 1.977376222077297285e+01
-1.635422519690685306e+00 -1.778141571585508451e+00 -1.633460118889203727e+00 -2.270931888151745959e-01 1.967244237692565889e+01
-1.643851339812399281e+00 -1.655707293039425210e+00 -1.511524959466911788e+00 -2.504813616727190606e-01 2.046620295316569482e+01
-1.814802631046134707e+00 -1.897330944220872340e+00 -1.617975962915118693e+00 -2.114526573442354618e-01 1.915242981906415309e+01
-1.809720256180598952e+00 -1.747890427009650693e+00 -1.654684639777746824e+00 -2.203907854201854200e-01 1.952328709478529944e+01
-1.472973827744128883e+00 -1.457812009732640135e+00 -1.466315252114976708e+00 -2.904608475267287382e-01 1.974177417355859987e+01
-1.735346409446341553e+00 -1.660678512635797688e+00 -1.586367138763383089e+00 -2.351269661565495994e-01 1.921730595791858320e+01
-1.654289446712553513e+00 -1.690963861799298584e+00 -1.552096973017544457e+00 -2.307222015330672171e-01 2.011098924848501923e+01
-1.573374934659756974e+00 -1.576917732402515426e+00 -1.468298456183472211e+00 -2.687525843059641595e-01 1.901743974908870172e+01
-1.675518993675915169e+00 -1.753688616696903679e+00 -1.637462852484357967e+00 -2.250619313693245083e-01 1.945860580194511869e+01
