weight logl src1.lognorm src2.lognorm src3.lognorm src1.logkT src1.lognH
0.000000000000000000e+00 -9.145584675692890584e+07 1.208776593779168351e-01 5.673309818203844390e-01 9.787013531381687503e-01 9.885885629881734360e-01 4.332695285909871075e-02
0.000000000000000000e+00 -7.991089795269295573e+07 4.938230052726652053e-01 9.871469208967296183e-01 2.240164550271228627e-02 9.580160798966315117e-01 4.533729630876874861e-01
0.000000000000000000e+00 -7.047484116884385049e+07 5.746051147971230622e-01 5.987641315047895763e-01 9.924485056449230402e-01 9.409178145852820085e-01 1.715463151482176096e-01
0.000000000000000000e+00 -6.983159098038743436e+07 9.639834811981239371e-01 1.659665330768835823e-01 9.786946870765644846e-03 9.785123380978842933e-01 2.385109528433837500e-02
0.000000000000000000e+00 -4.191979723146972805e+07 7.517732466863857876e-01 9.617435291045935974e-01 4.510671026951240670e-01 9.401613401401467396e-01 5.019388871570018562e-02
0.000000000000000000e+00 -2.651008722651527822e+07 2.921981544257812313e-01 7.937905241314034965e-01 9.177994750505200638e-01 9.971323940035392575e-01 1.029322235980310030e-01
0.000000000000000000e+00 -2.241849616829374805e+07 9.192639220311243919e-01 3.592390951692389089e-01 2.213534976741426963e-01 9.900380729661514279e-01 4.913804197258760942e-01
0.000000000000000000e+00 -1.551283749271674454e+07 9.124651961036178704e-01 9.336772625690527017e-01 7.779362016988073947e-01 8.816817128079028620e-01 1.424350791299520136e-01
0.000000000000000000e+00 -1.242472958838569373e+07 8.302225427028593341e-01 5.590541491342468916e-01 9.470129418082824380e-01 8.854460096391114643e-01 1.325778833356938691e-03
0.000000000000000000e+00 -1.116748308101306483e+07 9.713389034150631263e-01 2.077733807313398851e-01 4.725383053541938327e-01 8.400757486142386155e-01 7.998131525865015412e-02
0.000000000000000000e+00 -1.075336251654311828e+07 8.986410620103654212e-01 2.813129512104159957e-01 3.841860773559293563e-01 9.498300452895434010e-01 2.972264419227673704e-01
0.000000000000000000e+00 -1.058071596590285935e+07 7.723313483625832143e-01 9.901082698778392865e-01 1.685796418494004412e-01 8.162003937416530963e-01 2.500149743848172346e-01
0.000000000000000000e+00 -7.908704858023492619e+06 6.587449922876890129e-01 9.902344359637359483e-01 5.395793331501252954e-01 8.019995257075807071e-01 2.240922302594394733e-02
0.000000000000000000e+00 -7.571233058121450245e+06 9.144323326471203162e-01 9.003907983065023712e-01 4.298911059180769989e-01 8.616624490355065946e-01 1.509542347671082307e-01
0.000000000000000000e+00 -6.974244784969179891e+06 7.931188722070325881e-03 9.672101837371978039e-01 4.087083722248474604e-02 8.326990050124859488e-01 4.494688790082059793e-01
0.000000000000000000e+00 -6.216818617767015472e+06 2.424638308842119727e-02 9.752098477929306286e-01 5.879676306119174800e-01 8.282632411572007358e-01 5.089894899993087085e-01
0.000000000000000000e+00 -5.545834634809142910e+06 3.810994272206702504e-01 1.659615234131062156e-02 9.699794634979630459e-01 8.171784006952843571e-01 3.408995569000025094e-01
0.000000000000000000e+00 -3.707657918249210343e+06 6.181505382310369390e-01 5.166385603916234803e-02 9.373953195176851771e-01 8.319162133376800661e-01 1.773392164401353943e-01
0.000000000000000000e+00 -3.093201289641333744e+06 8.813697305553711558e-01 9.973371809940567712e-01 6.199140261639105587e-01 7.611036313935521935e-01 3.948727445174826656e-01
0.000000000000000000e+00 -2.796560047510312404e+06 7.181062255070579381e-01 3.728758165025918281e-01 8.743068953094287332e-01 9.045119638126888351e-01 3.515215315327205881e-01
0.000000000000000000e+00 -2.694993174005952198e+06 9.574848834085992744e-01 7.623402275778037307e-01 9.979750240572804465e-01 7.406188494420963275e-01 1.800853308023550037e-01
