weight logl src1.lognorm src2.lognorm src3.lognorm src1.logkT src1.lognH
0.000000000000000000e+00 -6.396282395341001749e+08 4.184480092656338579e-01 7.081746642167170425e-01 9.901985184407084972e-01 2.928108946075328456e-01 2.069939063334179652e-01
0.000000000000000000e+00 -6.283783721296794415e+08 1.983123347972763906e-01 9.871519865156892504e-01 9.829204071627219985e-01 9.618937740113246981e-01 1.142366770898404216e-01
0.000000000000000000e+00 -5.260008210102306604e+08 9.913070741147864684e-01 5.606815002174572182e-01 5.511396025128472154e-01 4.565068277850500289e-01 9.970771732232697193e-02
0.000000000000000000e+00 -4.725809166689271927e+08 5.111358410985534784e-01 8.195564406338418095e-02 9.737886296006900144e-01 3.642870728720348783e-01 1.292826470901027314e-01
0.000000000000000000e+00 -4.172153659505180717e+08 4.402431199293510566e-01 9.823580505402141894e-01 7.332095481636520251e-01 4.583939747483671834e-01 1.972343407003185334e-01
0.000000000000000000e+00 -3.667826879655974507e+08 5.267376260924041542e-01 9.461879516342199814e-01 9.747996070256826906e-01 9.665734730561270638e-01 1.451352775864324096e-01
0.000000000000000000e+00 -3.579100102691046596e+08 9.794907125823664185e-01 8.208224691188313882e-01 1.769626581689699441e-01 4.995965475820293156e-01 5.337022230713961424e-02
0.000000000000000000e+00 -3.544590651720635295e+08 1.200563226308736242e-01 9.828396988204786133e-01 2.027191719809764425e-01 5.552899548900686044e-01 4.075471888730874959e-02
0.000000000000000000e+00 -3.369146563051338196e+08 9.809118322224937847e-01 4.923466444503330486e-01 4.902252918303829921e-01 5.888572215543027566e-01 8.022143790338387426e-03
0.000000000000000000e+00 -3.345539612112479210e+08 9.800086925513294966e-01 4.849768387648100143e-01 7.525423721703644597e-01 6.756951828722719267e-01 1.022030438156403820e-01
0.000000000000000000e+00 -3.221214857164096236e+08 9.793937170596226371e-01 5.290927219729147923e-01 5.794422933987849467e-01 6.486394248063039880e-01 1.792078727617835154e-01
0.000000000000000000e+00 -3.096510862220042348e+08 9.918725783751198843e-01 6.136317379298183994e-01 7.029587010734223984e-01 6.165547344760980986e-01 3.666235609347976432e-01
0.000000000000000000e+00 -3.022555122509278059e+08 9.753339361797621621e-01 8.162811326156715896e-02 6.616589355968084396e-01 5.274227057272146135e-01 1.038160617974767108e-01
0.000000000000000000e+00 -2.984750786974505186e+08 9.819047678328396422e-01 9.917366122185565791e-01 8.797591917337799217e-02 9.371299332533804538e-01 4.761686366548029126e-01
0.000000000000000000e+00 -2.971125642422443032e+08 5.239062325719956448e-01 9.917144859011969293e-01 6.804553212491187830e-01 8.743892334781633302e-01 3.795125394064219337e-01
0.000000000000000000e+00 -2.948327817092748880e+08 9.334771716784686646e-01 2.110642287011463836e-01 9.575194338529332549e-01 5.697243610721708373e-01 1.439392431938649741e-01
0.000000000000000000e+00 -2.732051923543438911e+08 9.908450207978233282e-01 4.665335633732384801e-01 7.918335718800993961e-01 1.546273689799335660e-01 2.866453795453405284e-02
0.000000000000000000e+00 -2.580223708431306183e+08 5.915074981361495565e-01 4.369534534162228256e-01 9.898907576461425384e-01 9.803055763216457219e-01 3.547415593279937829e-01
