src1.lognorm src2.lognorm src3.lognorm pl1.PhoIndex src1.lognH
-5.037420074852200891e+00 -5.092462319193584719e+00 -4.870410128661972315e+00 2.054354812506854699e+00 2.158526790738355672e+01
-4.793617894870465079e+00 -4.683512526799856523e+00 -4.624163772994434929e+00 2.810325950994574384e+00 2.184639211268226688e+01
-4.960448586922838743e+00 -4.981365822831509860e+00 -4.826229563755910057e+00 2.326293550597129389e+00 2.149684415419265093e+01
-4.973572514071554096e+00 -5.046323827888377522e+00 -4.877415302379354500e+00 2.035917198147291884e+00 2.154882706938009562e+01
-4.952788701822131934e+00 -5.018280557739352332e+00 -4.886460337278283106e+00 2.186513314948623332e+00 2.155622578792608479e+01
-4.978815058392587645e+00 -5.019660815375599938e+00 -4.882931821900768909e+00 2.106103573919121175e+00 2.156472114351239355e+01
-5.131794144067233887e+00 -5.101401242493134980e+00 -4.985546060204146812e+00 1.815373805998293122e+00 2.121446291838601894e+01
-5.056975070670063133e+00 -5.126842546524956745e+00 -4.975915499007729892e+00 2.024275197854638719e+00 2.124843720299036320e+01
-5.032024394843778836e+00 -5.175846747062224473e+00 -4.975608459323158428e+00 2.040520272024500592e+00 2.138264792173337625e+01
-5.056247666513243644e+00 -4.995674501372477927e+00 -4.885552686940227929e+00 2.171252101612429541e+00 2.148639258756922388e+01
-4.839805249879887583e+00 -4.888931349887372768e+00 -4.709366214621799607e+00 2.522869572046165132e+00 2.172653693473281677e+01
-5.072055071915145597e+00 -5.027524260805320111e+00 -4.950094304513221743e+00 1.927923726612373656e+00 2.144896415519206556e+01
-5.238505323628806387e+00 -5.196451347710691948e+00 -4.979810823254516627e+00 1.750306235503549246e+00 2.127110121693878497e+01
-5.020265993991022135e+00 -4.999788042894913076e+00 -4.894496684090491101e+00 2.228180566839869314e+00 2.157377978180376843e+01
-5.091589415333690027e+00 -5.042651149666403043e+00 -4.958004251652400995e+00 1.923856051321054750e+00 2.146633094692117538e+01
-4.854728660730512679e+00 -4.957788144032392097e+00 -4.840296138139629889e+00 2.250815535330238149e+00 2.169362103022368160e+01
-4.895993914215443610e+00 -4.977829020815287109e+00 -4.838845145650741308e+00 2.366255271271873184e+00 2.158954977602378733e+01
-5.101854026437749212e+00 -5.161927194490721682e+00 -4.973823044088260481e+00 1.867529904365823334e+00 2.131381293267131483e+01
-4.839670510695310846e+00 -4.865012424160177318e+00 -4.768135055557788604e+00 2.300130027486961382e+00 2.178895030174240688e+01
-5.134641709480391114e+00 -5.161771444237545303e+00 -5.063942226896192444e+00 1.822639793795956642e+00 2.124874549748001940e+01
-4.958401586567585895e+00 -5.063467565491857059e+00 -4.894755077333369897e+00 2.175094763464874070e+00 2.149353773607711560e+01
-5.036032866142554631e+00 -5.082635628214459800e+00 -4.982299712691126814e+00 2.043428884981308258e+00 2.125711813681930096e+01
-4.951002700774822962e+00 -5.000324960350218895e+00 -4.869386630639461089e+00 2.206423497540171752e+00 2.150363964857177024e+01
-4.929561017856400440e+00 -4.997865163927444954e+00 -4.864090560276464359e+00 2.391294293092975920e+00 2.158106720197931594e+01
-4.979897473735874769e+00 -4.933484678337302753e+00 -4.795805056626395668e+00 2.266765489335801576e+00 2.164162502196941773e+01
-5.079826873575209234e+00 -5.022894386456464133e+00 -4.890357034227176491e+00 2.060715194962245533e+00 2.143587216835653919e+01
-4.946553495837625825e+00 -4.914356627325579652e+00 -4.822497907776909898e+00 2.339527468736990024e+00 2.167116453204226545e+01
-4.827642352460248532e+00 -4.884036793769968021e+00 -4.833728611511914686e+00 2.437886290519151622e+00 2.174366572980286705e+01
-4.936256312771506671e+00 -4.974399645205950904e+00 -4.844721423117418269e+00 2.268254333567362835e+00 2.157478239347889826e+01
-4.958016282541656494e+00 -5.118209890624600078e+00 -4.935694004690998504e+00 2.116694701925410982e+00 2.139846640582423021e+01
-5.120745913619773049e+00 -5.063065964039075162e+00 -4.911697010011610409e+00 2.062198215033544280e+00 2.138444532562744627e+01
-4.937020602816433623e+00 -4.974436227494027030e+00 -4.845759586121382689e+00 2.441748059731084552e+00 2.151838342325104492e+01
-4.961889654298882846e+00 -4.983609653305737908e+00 -4.985397768979606958e+00 2.129719273998765594e+00 2.150263755197506299e+01
-5.046690268496010212e+00 -5.052162618432279650e+00 -5.054890144420574494e+00 1.911631227304190439e+00 2.129466420881484723e+01
-4.858159386919728817e+00 -4.962359608932141342e+00 -4.862332029189296634e+00 2.447167530115649470e+00 2.158231791458973703e+01
-5.163698499926989705e+00 -5.105061143818808489e+00 -4.970613193245536188e+00 1.929186336006950775e+00 2.131467861973507283e+01
-4.982489010943052854e+00 -4.950576398863812955e+00 -4.919905246155764189e+00 2.240207449408620377e+00 2.150071845551824623e+01
-4.970633036855197417e+00 -5.008212934229280933e+00 -4.839139813701740067e+00 2.291420052985989386e+00 2.151256352147395390e+01
-4.745999084071928387e+00 -4.837279898124707600e+00 -4.811272392054728009e+00 2.768161648743455494e+00 2.170827179390505179e+01
-4.973471705369772344e+00 -4.963455264627830488e+00 -4.850682198708360815e+00 2.288003192873450331e+00 2.159566379877241715e+01
-5.108942189255101241e+00 -5.092264507072867374e+00 -5.008078800094028615e+00 1.790240184200859730e+00 2.141372341636824927e+01
-4.953577125578117801e+00 -4.969607903821184891e+00 -4.931729428934471748e+00 2.209468476010232330e+00 2.148066514831178964e+01
-4.877279478169628923e+00 -4.887752039911754665e+00 -4.781934994796928073e+00 2.498297663346677133e+00 2.154442692554004779e+01
-4.897071486797600848e+00 -4.980659622721243629e+00 -4.829325032386643457e+00 2.421833596107579645e+00 2.164964806550809229e+01
-4.836740297247501097e+00 -4.991116267171908483e+00 -4.770940917451969909e+00 2.370656413684178787e+00 2.154853748632470811e+01
-4.875415942792386659e+00 -5.003330873523989197e+00 -4.824977607432613169e+00 2.309427386169552676e+00 2.153934488266136071e+01
-5.091589415333690027e+00 -5.042651149666403043e+00 -4.958004251652400995e+00 1.923856051321054750e+00 2.146633094692117538e+01
-4.842536633850881067e+00 -4.923863836726253496e+00 -4.761092658586871806e+00 2.357956996882853318e+00 2.172068440166688319e+01
-5.041335773860815550e+00 -5.081842429548297346e+00 -4.993316071979710280e+00 2.032168173583619897e+00 2.134963288009273441e+01
-5.062143482255658355e+00 -4.986285634276125478e+00 -4.974365595826919062e+00 2.136752276558787855e+00 2.145890398700236901e+01
-5.003417902618235047e+00 -5.001983607298133627e+00 -4.889216080784889229e+00 2.130235677232039215e+00 2.147208357759761199e+01
-5.193486785789513505e+00 -5.207129334164850576e+00 -5.121259981961446606e+00 1.761900502818807723e+00 2.065082632186234690e+01
-4.841464235092075796e+00 -4.865560564477861227e+00 -4.645241584420888969e+00 2.549609059261738864e+00 2.173977670717074773e+01
-5.131754499354070909e+00 -5.164861604339110457e+00 -4.984344412708401784e+00 2.020543953690445704e+00 2.108259053499064350e+01
-4.941033385921596022e+00 -5.025646142206129596e+00 -4.893925406153732283e+00 2.119002285615120940e+00 2.150168852200442515e+01
-4.769740699140614382e+00 -4.802538225208761169e+00 -4.724010590201004334e+00 2.593436982167665050e+00 2.177509214185486996e+01
-4.847814262811569463e+00 -4.923565160576563571e+00 -4.752633764308544784e+00 2.475753895037141383e+00 2.168798198861139781e+01
-5.014642250691879077e+00 -5.033764072129793377e+00 -4.943315558256474063e+00 2.132715258893062682e+00 2.138497583196338780e+01
-5.123805203830850807e+00 -5.131695335973169847e+00 -5.033120093228545144e+00 1.862517752492803602e+00 2.115195555518665671e+01
-4.948663254984333904e+00 -5.079501666174465413e+00 -4.841949123127189836e+00 2.300895834939303164e+00 2.153693571295482201e+01
-4.841961482813632145e+00 -4.952030561296060895e+00 -4.784663240073656176e+00 2.540275589040302151e+00 2.166056295281509136e+01
-5.088414747232051560e+00 -5.099839090141539799e+00 -4.996048336329355521e+00 2.108717620301920448e+00 2.137937173802975721e+01
-4.793617894870465079e+00 -4.683512526799856523e+00 -4.624163772994434929e+00 2.810325950994574384e+00 2.184639211268226688e+01
-4.800732003348034738e+00 -4.831667870613586047e+00 -4.767120733351294604e+00 2.577390355526226529e+00 2.174051555119654466e+01
-4.860168101242855698e+00 -4.911493767934684840e+00 -4.786219504533486102e+00 2.571209683015589498e+00 2.169867384464632210e+01
-5.075228115404108564e+00 -5.180407102166828537e+00 -4.941906573720186380e+00 1.963329564665867721e+00 2.125656734193156083e+01
-4.912010595150089642e+00 -5.000229621703120131e+00 -4.746820316885582258e+00 2.401519729014463422e+00 2.158137223973691476e+01
-5.104862382166315271e+00 -5.009198212725582522e+00 -5.000601735461259523e+00 2.140103969731599776e+00 2.138781263321418891e+01
-5.000262722115406788e+00 -4.988289014192529791e+00 -4.830567184033050410e+00 2.237778368366016402e+00 2.159500671750032907e+01
-5.052423026689644381e+00 -5.034005422555008380e+00 -4.944101560190963696e+00 2.179860032349452581e+00 2.146364687435714202e+01
-4.857208206282497720e+00 -4.880449611229044748e+00 -4.809223996403194867e+00 2.380718312648649970e+00 2.160796044177085662e+01
-4.874582758997080489e+00 -4.924961077642961982e+00 -4.765640661154940005e+00 2.484882709569077974e+00 2.158375608805476276e+01
-4.900886907117449454e+00 -5.035215046531445360e+00 -4.804394044044856926e+00 2.282882380053882443e+00 2.160952414181207359e+01
-4.833011896156869547e+00 -5.104399416926089117e+00 -4.797102265187039194e+00 2.482676153187382440e+00 2.165661846106650756e+01
-5.108175148287299017e+00 -5.212019118272647411e+00 -5.086175385029829243e+00 1.825782416039410272e+00 2.116175432709235693e+01
-4.964710107186729893e+00 -5.011411559405162919e+00 -4.867764497210483654e+00 2.391836563906215574e+00 2.140991391574382874e+01
-5.051013260246135061e+00 -5.071741670376553657e+00 -4.937206391368636815e+00 1.899032010986896779e+00 2.149085891568392981e+01
-4.978775888053906584e+00 -4.973939659968030114e+00 -4.868787157743076577e+00 2.297309115085542253e+00 2.156176418216474389e+01
-4.874463288738441591e+00 -4.915003213863894160e+00 -4.722409943379497044e+00 2.606295982420525625e+00 2.171718411326061826e+01
