weight logl src1.lognorm src2.lognorm src3.lognorm pl1.PhoIndex src1.lognH
0.000000000000000000e+00 -1.934980140018785706e+11 5.973350024935297764e-01 9.674136842121667801e-01 9.338080281572853636e-01 2.804155372728789342e-02 3.824785949552111930e-02
0.000000000000000000e+00 -1.468971493364107971e+11 9.497245988497197144e-01 1.553799489036812309e-01 9.185079844881535172e-01 1.259434230284317557e-02 5.300308882995651283e-01
0.000000000000000000e+00 -1.210290827867986145e+11 9.632967444028599502e-01 6.254306393939793596e-01 9.901911708973780701e-01 4.009761423962276972e-02 6.296846660959044550e-01
0.000000000000000000e+00 -1.067689069577159576e+11 9.694363498797968770e-01 6.269004185784584626e-01 5.115530213385122149e-01 3.889560246435252999e-02 4.507192585388849482e-01
0.000000000000000000e+00 -7.402258756056604004e+10 2.136292477460800532e-01 6.271924356558068459e-01 9.921810386858854747e-01 7.507945464998555529e-02 8.580252282381450879e-02
0.000000000000000000e+00 -7.395750584817605591e+10 7.350378200287692732e-01 9.254245198136256123e-01 9.878639638956363545e-01 4.750295095122447631e-02 6.339885200705179802e-01
0.000000000000000000e+00 -5.653287406618177032e+10 8.077150302759837919e-01 9.377893783802956351e-01 5.750036099176417670e-01 4.122373490052022582e-02 3.765000163739834482e-01
0.000000000000000000e+00 -5.554839175360505676e+10 9.706169915465957532e-01 9.329861137628011614e-01 9.410178865425282702e-01 1.058828611988571478e-01 3.166219276395797477e-01
0.000000000000000000e+00 -4.212718720289187622e+10 8.741102368250798227e-01 1.057552571439279721e-01 9.955593359663329478e-01 7.184973761622315269e-02 6.327770821056815098e-01
0.000000000000000000e+00 -3.904047159118338776e+10 9.578598887887597169e-01 4.877009488367800571e-02 7.496364373131738645e-01 7.856902909397023294e-02 6.617705086868319597e-03
0.000000000000000000e+00 -2.935752861442457199e+10 5.035638259936977557e-01 9.943800223104817260e-01 2.253558586755189941e-01 9.774029535431683069e-02 6.316971569711133938e-01
0.000000000000000000e+00 -2.894576236060072327e+10 4.619377595887029786e-01 3.379054283814075799e-02 9.639598656879920791e-01 8.977923796948095170e-02 1.948122015533018114e-01
0.000000000000000000e+00 -2.859531527136902237e+10 6.539220699616032917e-02 9.131126138767995393e-01 9.360898665082327819e-01 8.397330059616925357e-02 4.163815772995552722e-01
0.000000000000000000e+00 -2.009702983196346283e+10 9.239367762940091655e-01 4.975718626368187403e-01 2.088672366621340259e-01 3.057973803968672133e-02 6.504298693903755035e-01
0.000000000000000000e+00 -1.660143042125815392e+10 5.595153240684833662e-01 9.695883973598903305e-01 1.168345805446383556e-01 1.370041774631987064e-01 3.261060477374408961e-01
0.000000000000000000e+00 -1.473892338086468887e+10 7.612447407898065288e-01 6.617082573011808799e-01 9.979489731388823115e-01 1.528973196353694552e-01 5.152390171210148306e-01
0.000000000000000000e+00 -1.302794564802441788e+10 6.284911421345101834e-01 9.491927259161235808e-01 5.668090584966611889e-01 9.907346261514582419e-01 1.905011320558415155e-01
0.000000000000000000e+00 -1.194895311055398369e+10 7.107908096786753616e-01 9.716762114461897637e-01 1.341192809685677334e-01 9.365333293856024088e-01 2.001684314433329615e-01
0.000000000000000000e+00 -9.653069117671600342e+09 9.085653746359729777e-01 9.893922233355071372e-01 3.756176255113385931e-02 1.835299097603315666e-01 5.121479541375903999e-01
0.000000000000000000e+00 -8.970343330401809692e+09 3.672677465679179409e-01 2.700505814553978423e-01 9.769392946021127067e-01 8.715373701035629139e-01 1.635452581420460128e-01
0.000000000000000000e+00 -8.375419213595504761e+09 9.711762931486884742e-01 7.516105398979484598e-01 6.760768360658642173e-01 9.538981306820375483e-01 2.482450770650009853e-01
0.000000000000000000e+00 -8.262001864481171608e+09 7.472958395512128149e-01 9.564796286666922276e-01 9.784134028812616624e-01 1.454038777897181944e-01 6.454919411659615358e-01
0.000000000000000000e+00 -7.228016950821157455e+09 4.911467469174636280e-01 9.082921897445427328e-01 7.403773256679637704e-01 1.085115965387015713e-01 8.558510620635395583e-04
0.000000000000000000e+00 -6.597473270550642014e+09 4.424643373591340412e-01 7.582591119791642909e-01 9.423964058637868124e-01 1.434372707734599128e-01 1.644302212335914115e-01
0.000000000000000000e+00 -5.979873474203765869e+09 9.017045997175408001e-01 3.520299290399233616e-01 9.837389713316573303e-01 6.156798884613701173e-02 7.397071145096715261e-01
0.000000000000000000e+00 -4.737781491943086624e+09 1.278646451514485749e-01 9.888668897973349470e-01 9.989785554446544147e-01 3.065274741655967805e-01 8.238663503639509500e-02
0.000000000000000000e+00 -4.712831123310910225e+09 8.691619182626071360e-01 9.711458720727861316e-02 9.267523494642087023e-01 5.366275997256186869e-02 7.123459171187956906e-01
0.000000000000000000e+00 -2.852083024442935467e+09 9.760385518996158583e-01 4.901475930816612259e-01 1.921692861713522049e-01 7.721261177353673233e-01 4.544530064875096365e-03
0.000000000000000000e+00 -2.591384563234557152e+09 2.225948941222133382e-01 9.914929196527351163e-01 9.877885407198769840e-01 3.559866486387976980e-01 2.998559255410221391e-01
0.000000000000000000e+00 -2.503780712368435860e+09 7.613329309025762548e-01 9.723200378702022695e-01 1.270199551496818957e-01 2.613910026919690210e-01 1.316037898749196078e-01
0.000000000000000000e+00 -2.358011637531201363e+09 2.067603389730898744e-02 3.468480767104680229e-01 9.884420450875633923e-01 8.195520821063502215e-01 3.145035434265094354e-01
0.000000000000000000e+00 -2.120942253258419991e+09 7.699037324165369789e-01 9.849098048832739538e-01 4.266492160307295833e-01 6.809178040279046940e-01 8.850953659638172155e-03
0.000000000000000000e+00 -2.111439203075386524e+09 7.459126812433325426e-01 8.485513236920482205e-01 2.720338980989256417e-02 7.474680316747639441e-02 6.163036060629872859e-01
0.000000000000000000e+00 -1.991067090415428877e+09 9.897679755860117057e-01 8.117791903049884628e-01 2.314584737993752306e-02 8.391486676034510817e-01 3.227152439567658737e-01
0.000000000000000000e+00 -1.985012946026908875e+09 8.352245300701028885e-01 8.022336727760075448e-01 9.176191372280719794e-01 8.525140290311198354e-01 2.014439461052704994e-01
0.000000000000000000e+00 -1.908988077492694378e+09 9.692391749483659780e-01 2.886969259086036299e-02 7.107789921945111278e-01 2.767641243022764819e-01 2.283217314568677381e-01
0.000000000000000000e+00 -1.799558371642288923e+09 2.012835049045732516e-01 5.121485220344168532e-01 9.810641733055540659e-01 2.978261213924842110e-01 1.290714196024118632e-01
0.000000000000000000e+00 -1.632290257342220545e+09 1.764599336266077234e-01 9.628368100888767822e-01 6.685903745826309308e-01 7.535914517146481417e-01 2.303700086454462115e-01
0.000000000000000000e+00 -1.586644263359779119e+09 9.768465035663901341e-01 7.951395247039128034e-01 8.170311828905669760e-01 1.764124626883739611e-01 6.846121619598950492e-01
0.000000000000000000e+00 -1.311633875225317001e+09 7.498235880754249294e-01 2.272265658420785650e-01 9.406087872940194217e-01 7.413911954147835992e-01 5.995539479657729931e-02
0.000000000000000000e+00 -1.215854684150947332e+09 9.877862889757350606e-01 3.194202617636482389e-01 1.547249221560356158e-01 2.186727814036473205e-01 6.581662764637350449e-01
0.000000000000000000e+00 -1.074623457860137463e+09 7.922060454678137020e-02 1.109150045288662678e-01 9.881534162060128246e-01 4.231911064995538263e-01 5.864893583071306704e-02
0.000000000000000000e+00 -1.067628175552810311e+09 9.762575708912220041e-01 1.293741132902515023e-02 4.859436453512597787e-01 3.539350715405765735e-01 2.602824522950089037e-01
0.000000000000000000e+00 -1.063703569806420088e+09 6.397069388967874248e-01 9.680148280917837411e-01 3.604082481493937618e-01 6.491968139515765790e-01 1.776449671607831515e-01
0.000000000000000000e+00 -1.047376215108191133e+09 2.757777890994321801e-01 3.896893477974191500e-01 9.783311053533987334e-01 6.230868211014324309e-01 2.417757699040312680e-01
0.000000000000000000e+00 -1.004776183404507875e+09 9.059254902965426792e-01 4.309655325017348604e-01 8.002999889694693003e-01 2.215294915083948490e-01 3.043059321001928552e-02
0.000000000000000000e+00 -9.708135053869695663e+08 8.499868276081674612e-01 2.844111449804808123e-01 3.342738372306486294e-01 1.415050213604485130e-01 1.997349358071816017e-01
0.000000000000000000e+00 -9.415024593031576872e+08 7.904243763840441694e-01 9.613701432936445634e-01 1.995785581596964953e-03 3.348652653234646115e-01 1.137760762383115409e-01
0.000000000000000000e+00 -9.246673980056471825e+08 3.069785657954362534e-01 9.259100960921403667e-01 9.151391024361675841e-01 2.501083474051167821e-01 5.091858377908332622e-01
0.000000000000000000e+00 -8.997319080324534178e+08 2.678955851942443900e-03 3.302281106237650032e-01 9.273411055253537594e-01 2.489325407150634328e-01 5.667378868916050916e-02
0.000000000000000000e+00 -8.152246571108856201e+08 6.084561324815573879e-01 9.244032234017437455e-01 1.067659619366352342e-01 2.622553320764252627e-01 1.442181018225365818e-01
0.000000000000000000e+00 -8.100778174906514883e+08 9.794780569723411379e-01 1.560712369433955304e-01 4.174450508207304678e-01 7.625978191248441451e-01 3.344246067628147134e-01
0.000000000000000000e+00 -8.075362246308121681e+08 9.498113659117546348e-01 2.587151605286562850e-01 6.575038780858951659e-01 3.182784796909828851e-01 1.711827456393019142e-01
0.000000000000000000e+00 -7.869568558769465685e+08 9.771069169422885725e-01 1.443408627988074233e-02 3.711238909744783987e-01 4.721645881416117740e-01 6.299165739288903332e-03
0.000000000000000000e+00 -7.813582324306271076e+08 4.988673738993935070e-01 4.214267085639844534e-01 9.723375962992552024e-01 5.423796632035459142e-01 1.640485709122841973e-01
0.000000000000000000e+00 -7.392420236261348724e+08 8.823341464940049894e-01 9.265548910968099960e-01 8.075657677416484548e-01 1.503570068298962781e-01 7.105638573299426497e-01
0.000000000000000000e+00 -7.224214208984670639e+08 8.698027032924892099e-01 9.078978017203306328e-01 6.031376477960220805e-01 2.695929168543899079e-01 1.501258019968718660e-01
0.000000000000000000e+00 -6.662720173613603115e+08 7.511395803846749875e-01 5.250190826749723261e-01 7.834683874272658777e-01 8.119979841300317691e-02 5.389484991418460602e-01
0.000000000000000000e+00 -6.656247658637285233e+08 7.998894808778641563e-01 7.185159345851761525e-01 9.811676916120789516e-01 4.118700362899915257e-01 3.385832660470131650e-01
0.000000000000000000e+00 -6.408673003510181904e+08 9.543866032235834851e-01 3.991836681318217117e-02 5.160652557508291771e-01 1.340903115213654129e-01 7.372761051471121707e-01
0.000000000000000000e+00 -6.378229895994836092e+08 7.641811249101986281e-01 5.059455470110429953e-02 7.537306620548890335e-01 8.567334234880163990e-02 4.456946965531327631e-02
0.000000000000000000e+00 -6.280529808392996788e+08 5.673331213435720555e-01 9.311468304068251101e-01 1.249382204379079209e-02 7.015477398789841113e-01 1.812693143894191783e-01
0.000000000000000000e+00 -5.763877547392812967e+08 1.465936235470688409e-01 5.116155637271584400e-01 7.214589580662407187e-01 7.900087816453349454e-03 9.493281783522433681e-02
