src1.lognorm src2.lognorm src1.logkT src1.lognH
-1.326785526889972644e+00 -1.508910240219261567e+00 -2.078465716608297598e-01 1.990902497675204330e+01
-1.182748200063416633e+00 -1.408523760306919392e+00 -2.353480379808696732e-01 1.943908935409034910e+01
-1.204036397579661966e+00 -1.388020596038584742e+00 -2.488461097396723609e-01 1.900950116894819075e+01
-1.228799154938473137e+00 -1.440084002653486905e+00 -2.321330640166485715e-01 1.958163028295747310e+01
-1.219320073933213067e+00 -1.381188763097382477e+00 -2.334913701514622630e-01 1.942375101838987206e+01
-1.197668795388636909e+00 -1.366466956924282883e+00 -2.353909177918129814e-01 2.071702809897653452e+01
-1.174983543730242275e+00 -1.440246146464140509e+00 -2.397704236498228170e-01 1.960918087808617472e+01
-1.296669679737584069e+00 -1.586177619721453880e+00 -2.025943911543888198e-01 1.959448217612568754e+01
-1.281905982915547249e+00 -1.490298985492337636e+00 -2.032172186259626478e-01 1.923645739548683764e+01
-1.232769370887814020e+00 -1.455052859544668564e+00 -2.356267989104563476e-01 1.957240948107086354e+01
-1.290852629784620120e+00 -1.533875805893206490e+00 -2.086345353382026424e-01 2.016319631846550209e+01
-1.217870126572556444e+00 -1.432150218044979439e+00 -2.316988196910743092e-01 1.945606124660342928e+01
-1.174731565225549446e+00 -1.399979372488956209e+00 -2.457476195945322850e-01 1.941295480070654023e+01
-1.166712382816526450e+00 -1.372624546073969221e+00 -2.454352908054016069e-01 1.954002150838796581e+01
-1.325867686671603707e+00 -1.508911026534439870e+00 -2.056327943060725083e-01 2.024369051539389019e+01
-1.258802719095208467e+00 -1.515283015643531073e+00 -2.124531182662097173e-01 1.996533743221409907e+01
-1.269394083322930911e+00 -1.452983735520758657e+00 -2.120563256344563108e-01 1.995806158228207750e+01
-1.170055808843603273e+00 -1.401628430094013389e+00 -2.446935463513204567e-01 1.922928866931309955e+01
-1.251588288299743112e+00 -1.433652153012820563e+00 -2.282753220646140946e-01 1.921265144844429429e+01
-1.281905982915547249e+00 -1.490298985492337636e+00 -2.032172186259626478e-01 1.923645739548683764e+01
-1.284219906173150960e+00 -1.487155336918625892e+00 -2.214699900400454169e-01 1.927107008898216023e+01
-1.235037170811526863e+00 -1.380369363253393544e+00 -2.365570854825964631e-01 2.029310329015307701e+01
-1.267849730488646465e+00 -1.415646813736907816e+00 -2.334587364566833578e-01 1.969144965516447954e+01
-1.241037679000359439e+00 -1.478701699023277527e+00 -2.257412333897153012e-01 2.033097297551725191e+01
-1.216087483018595705e+00 -1.421959835351446877e+00 -2.277717857954941749e-01 1.981313064399467194e+01
-1.229438624515857725e+00 -1.424552848188460175e+00 -2.279985793511158931e-01 1.950116904474924695e+01
-1.212829281788348368e+00 -1.355232605137413060e+00 -2.494653469027499071e-01 1.908089265418109548e+01
-1.219732644649642594e+00 -1.446654604534931110e+00 -2.347896535689422137e-01 1.971314636279820931e+01
-1.170332930398533478e+00 -1.409711680768428010e+00 -2.295110891540694809e-01 2.081014823926283697e+01
-1.278890766832764037e+00 -1.491490044084129885e+00 -2.132959349632415069e-01 1.979618641638764132e+01
-1.256977454318247922e+00 -1.481576121812688385e+00 -2.206015788322024385e-01 1.910293302791356496e+01
-1.220931408320538480e+00 -1.384375926941230794e+00 -2.353050145861064202e-01 2.005538054890053346e+01
-1.285316645186824758e+00 -1.533616493535800984e+00 -2.062110665287559819e-01 1.959928020759453560e+01
-1.255468761682156043e+00 -1.494914245570855726e+00 -2.206752884565204020e-01 1.958080183446185885e+01
-1.209241288042566254e+00 -1.352724955341670920e+00 -2.475522090575421608e-01 1.988286215463074669e+01
-1.252549872988181434e+00 -1.481237224642585559e+00 -2.213886394852369044e-01 1.940818961360599104e+01
-1.084330627177205741e+00 -1.287688169484765055e+00 -2.653200278253815547e-01 2.070159723591260814e+01
-1.218010617619454727e+00 -1.367691231973792831e+00 -2.438218172754038626e-01 1.962734161619259154e+01
-1.302494706115137291e+00 -1.461482157247763425e+00 -2.113039632616176000e-01 1.906793714313005239e+01
-1.300565543578245276e+00 -1.436155668751773362e+00 -2.271226009355538089e-01 1.947640924533250484e+01
-1.160455313784899189e+00 -1.392043745203774385e+00 -2.520819904033526626e-01 2.003213793222418104e+01
-1.209911092660516552e+00 -1.406221458193314788e+00 -2.503082043999396156e-01 1.960767909387362451e+01
-1.218837107182611845e+00 -1.435259324327500252e+00 -2.325436002305916183e-01 1.962718825707575476e+01
-1.206546798893016970e+00 -1.396435202666259201e+00 -2.385139209652638037e-01 2.003985623658293136e+01
-1.231244961664208049e+00 -1.450716706381985688e+00 -2.362434969639526372e-01 1.973102048490390459e+01
-1.173139266722579954e+00 -1.372881602660169342e+00 -2.390346370455391778e-01 1.923417527935201221e+01
-1.138695092901480521e+00 -1.333363463036123520e+00 -2.610745982138089616e-01 1.989087087211959215e+01
-1.178481889744999123e+00 -1.354374319245492231e+00 -2.443861693885471809e-01 1.907583292972662292e+01
-1.201483635019948260e+00 -1.334069544854987299e+00 -2.432455053717688109e-01 1.976554925580656530e+01
-1.123740674339407164e+00 -1.362092502114139236e+00 -2.557472443419408492e-01 1.951765627327652552e+01
-1.181699026963507038e+00 -1.374496112616672150e+00 -2.426722845270892215e-01 1.959447596388875823e+01
-1.171304133079837939e+00 -1.363650475209343682e+00 -2.579279678752475213e-01 1.967066938523923625e+01
-1.250740774987428416e+00 -1.494218033454135508e+00 -2.091457893696380133e-01 1.925992263452743103e+01
-1.221290820293781110e+00 -1.400672376838932642e+00 -2.313278098234512470e-01 1.964407424504288713e+01
-1.276562006742221200e+00 -1.464824894913070885e+00 -2.249837626949191538e-01 2.022541821042250376e+01
-1.174183396601046425e+00 -1.392039450353280472e+00 -2.365040301744225637e-01 1.942340913017777382e+01
-1.303653351688971007e+00 -1.538915060698760939e+00 -2.007172898399178784e-01 1.900391218725988196e+01
-1.380821705801448473e+00 -1.574620392967466920e+00 -1.929015912196745397e-01 1.937767021601200312e+01
-1.261087626175365628e+00 -1.505827648643563776e+00 -2.175166601761491236e-01 1.929399401515419754e+01
-1.299167643220099144e+00 -1.458037664231241592e+00 -2.205276599714705021e-01 1.951348336705463993e+01
-1.220816045205959988e+00 -1.458622241313427104e+00 -2.261078263121403253e-01 2.027794787960312206e+01
-1.250027899244388507e+00 -1.451109903685308566e+00 -2.218692727025493028e-01 1.975025191320952089e+01
-1.263078680720834512e+00 -1.536618013167782237e+00 -2.067531903411121696e-01 1.924174314164588395e+01
-1.174536281621570311e+00 -1.391168333509600785e+00 -2.428201992008225396e-01 1.961093654798258612e+01
-1.314848799312313687e+00 -1.554655084195635695e+00 -2.003520041939230723e-01 1.939316622214730401e+01
