src1.lognorm src2.lognorm pl1.PhoIndex src1.lognH
-4.370346402667490082e+00 -4.571604507494980929e+00 2.452304448769592859e+00 2.170921486560065716e+01
-4.403339340021165782e+00 -4.643466775025793858e+00 2.236754428993188881e+00 2.175336780035446438e+01
-4.329737889156595188e+00 -4.564298645693424916e+00 2.503672195092459418e+00 2.175836676624639310e+01
-4.323317484242895858e+00 -4.554294761145612824e+00 2.477762197530421595e+00 2.179274545705464305e+01
-4.533508586038274224e+00 -4.679937830712720626e+00 2.220692373427992194e+00 2.163300149402979855e+01
-4.456996851192951858e+00 -4.666471911509368908e+00 2.164015224610476906e+00 2.167813923460774816e+01
-4.365156933929990046e+00 -4.580190815316541375e+00 2.408284814864909862e+00 2.178616650616143247e+01
-4.381640292773380629e+00 -4.607333083712528143e+00 2.533608871215295544e+00 2.170233871623727850e+01
-4.350190547135047936e+00 -4.571633117107281485e+00 2.384752732369248562e+00 2.175289268087943384e+01
-4.440594203692422859e+00 -4.689734435351756936e+00 2.111829545646351391e+00 2.164919964654376372e+01
-4.295823297995142731e+00 -4.477041229473872619e+00 2.626988286811500650e+00 2.181493214893562538e+01
-4.260064461608792818e+00 -4.467526795401182582e+00 2.663326823500998586e+00 2.184013043738859494e+01
-4.312953601601224207e+00 -4.533749077494624302e+00 2.539059869285485327e+00 2.177653144380843742e+01
-4.370143407311033457e+00 -4.627165465758032781e+00 2.307201448547258948e+00 2.178019180152206147e+01
-4.341351450042773230e+00 -4.510970946646812862e+00 2.546837950492486513e+00 2.176900876008273400e+01
-4.475143235144091847e+00 -4.672319290686599125e+00 2.194870964310286610e+00 2.163201953580439607e+01
-4.465997990846848786e+00 -4.632728940824251573e+00 2.206944132631027067e+00 2.163763030860734915e+01
-4.327647971924953652e+00 -4.550130400542313325e+00 2.542238171135366542e+00 2.177429084129058623e+01
-4.403383518580802125e+00 -4.574261872687577224e+00 2.473114203584038329e+00 2.174529482063258712e+01
-4.431118499306404779e+00 -4.569706827587381781e+00 2.350795351257310983e+00 2.173191672642463246e+01
-4.500819352899549486e+00 -4.703940660201841872e+00 2.181390607842955909e+00 2.154683899724074081e+01
-4.405442753604226880e+00 -4.621298883246528710e+00 2.239574913957679492e+00 2.173838505844429392e+01
-4.283717164560751911e+00 -4.560793509160583348e+00 2.489009128731339615e+00 2.178316819371087831e+01
-4.418336996941387262e+00 -4.661065542980283638e+00 2.324742755633952385e+00 2.169668693536032578e+01
-4.282252562029590592e+00 -4.424436616335825079e+00 2.649886789313693924e+00 2.187094338674164362e+01
-4.314930613315814512e+00 -4.536400177212909668e+00 2.627546372694052224e+00 2.176313518028231897e+01
-4.317519493032829558e+00 -4.501143009745655732e+00 2.572669340913965819e+00 2.176233177950109976e+01
-4.458305022417015095e+00 -4.668650739690159313e+00 2.165309412628769081e+00 2.158777423418293751e+01
-4.394546822071523806e+00 -4.598263666335455468e+00 2.376532101246455753e+00 2.174091777341077858e+01
-4.418253653636166511e+00 -4.619312718672350826e+00 2.388488808621195503e+00 2.169261550575642161e+01
-4.381582561524465014e+00 -4.607264552729837703e+00 2.378136277043697788e+00 2.171976139925081739e+01
-4.373398974982975140e+00 -4.575604520146068666e+00 2.475086483064196763e+00 2.171008353612767294e+01
