weight logl src1.lognorm src1.logkT src1.lognH
0.000000000000000000e+00 -6.965846092525148392e+08 9.997721262030071498e-01 8.699517090712647338e-01 2.232425453078413780e-01
0.000000000000000000e+00 -6.436666179646964073e+08 9.955163550834578157e-01 6.051922855967964976e-01 2.228692453231752024e-01
0.000000000000000000e+00 -5.145959745021388531e+08 9.633599010886272351e-01 3.803181472190713119e-01 9.293281767290284545e-02
0.000000000000000000e+00 -4.008824215392562747e+08 9.518269884869944297e-01 3.233264438406157071e-01 3.157631999655086119e-02
0.000000000000000000e+00 -2.364796874832955897e+08 9.498533873448262721e-01 7.646065221617258656e-01 1.112229955184904640e-01
0.000000000000000000e+00 -1.655021193821425438e+08 9.158318067668178575e-01 3.369094075627417917e-01 2.272717855727444114e-01
0.000000000000000000e+00 -1.456236327284091711e+08 9.309305746495252221e-01 8.096676450791180368e-01 2.387870050865673610e-01
0.000000000000000000e+00 -1.248582501022110581e+08 9.308972807104551883e-01 8.251274202138104696e-01 3.415732052769698823e-01
0.000000000000000000e+00 -5.759268341635532677e+07 8.950203183306019161e-01 7.086117120274063597e-01 3.228195645496629851e-01
0.000000000000000000e+00 -4.647393871947599202e+07 8.791699237144630086e-01 5.108972260826576406e-01 1.669269595222887537e-01
0.000000000000000000e+00 -4.464440866302011907e+07 8.558005964199957294e-01 3.569013394263345074e-01 2.976975428664452306e-02
0.000000000000000000e+00 -4.449697899567439407e+07 9.957537350239921148e-01 8.181473916616975872e-01 6.498607536242151372e-01
0.000000000000000000e+00 -3.866216145675943792e+07 8.906506852710097677e-01 2.111326533331270294e-01 3.175554491519536615e-01
0.000000000000000000e+00 -3.782462950195068121e+07 9.257545762087846519e-01 1.046427601962377496e-01 5.740039977414013173e-02
0.000000000000000000e+00 -2.926674487940620258e+07 8.696829504105827446e-01 4.750334535698548244e-01 3.541002387028102660e-01
0.000000000000000000e+00 -2.363278538639274612e+07 8.455486346232247152e-01 4.798227524114497822e-01 2.350439731832820733e-02
0.000000000000000000e+00 -2.292314700473032892e+07 9.767303010324241974e-01 4.181352875126455038e-01 5.389016524196790225e-01
0.000000000000000000e+00 -1.954966965806458890e+07 9.714736574330091745e-01 2.486320415233944647e-02 1.990240221886236949e-01
0.000000000000000000e+00 -1.531515924475067109e+07 8.741288239858334697e-01 1.208299485382203775e-01 3.794027138232480834e-02
0.000000000000000000e+00 -1.525778279706791788e+07 9.286220062804091402e-01 5.737137234149441989e-01 5.586937358439731938e-01
0.000000000000000000e+00 -1.475352456064881943e+07 8.134506930826009841e-01 4.095064853606452671e-01 1.558338137057176942e-01
0.000000000000000000e+00 -1.354514869607361965e+07 8.397452639775520034e-01 5.426860644815227896e-01 3.561339024187208935e-01
