logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -5.692128119573904276e+08 -5.692128179501047134e+08 nan
-5.692128179501047134e+08 nan -2.500000000000000052e-03 4.000000000000000000e+02 -4.794560497272718549e+08 -4.794560557224861383e+08 nan
-4.794560557224861383e+08 nan -5.000000000000000104e-03 4.000000000000000000e+02 -4.781888149179751277e+08 -4.781888209156894088e+08 nan
-4.781888209156894088e+08 5.487286621193024330e+05 -7.499999999999999722e-03 4.000000000000000000e+02 -3.799086017057597041e+08 -3.799086077059739828e+08 nan
-3.799086077059739828e+08 4.632973688103051484e+07 -1.000000000000000021e-02 4.000000000000000000e+02 -2.888399024105775952e+08 -2.888399084132918715e+08 nan
-2.888399084132918715e+08 6.782625967182907462e+07 -1.250000000000000069e-02 4.000000000000000000e+02 -2.760298777019785643e+08 -2.760298837071928382e+08 nan
-2.760298837071928382e+08 2.846267791936666146e+07 -1.500000000000000118e-02 4.000000000000000000e+02 -2.321379040217834115e+08 -2.321379100294977129e+08 nan
-2.321379100294977129e+08 4.153459342499928921e+07 -1.750000000000000167e-02 4.000000000000000000e+02 -2.091521741740128696e+08 -2.091521801842271686e+08 nan
-2.091521801842271686e+08 4.650648470810135454e+07 -2.000000000000000042e-02 4.000000000000000000e+02 -1.325206305108856261e+08 -1.325206365235999078e+08 nan
-1.325206365235999078e+08 4.018473354897169024e+07 -2.249999999999999917e-02 4.000000000000000000e+02 -8.696100457366050780e+07 -8.696101058887478709e+07 nan
-8.696101058887478709e+07 3.602458066176585108e+07 -2.499999999999999792e-02 4.000000000000000000e+02 -8.071017088107432425e+07 -8.071017689878861606e+07 nan
-8.071017689878861606e+07 3.484187344361176342e+07 -2.749999999999999667e-02 4.000000000000000000e+02 -8.013052785044337809e+07 -8.013053387065766752e+07 nan
-8.013053387065766752e+07 3.539055025105138123e+07 -2.999999999999999542e-02 4.000000000000000000e+02 -7.595758442176710069e+07 -7.595759044448138773e+07 nan
-7.595759044448138773e+07 2.040607882448532386e+06 -3.249999999999999417e-02 4.000000000000000000e+02 -6.972005273061349988e+07 -6.972005875582778454e+07 nan
-6.972005875582778454e+07 4.059972947578958236e+06 -3.499999999999999639e-02 4.000000000000000000e+02 -4.569127364558570087e+07 -4.569127967329999059e+07 nan
-4.569127967329999059e+07 1.374325063399717398e+07 -3.749999999999999861e-02 4.000000000000000000e+02 -4.315142103574058414e+07 -4.315142706595487148e+07 nan
-4.315142706595487148e+07 8.941524126658329740e+06 -4.000000000000000083e-02 4.000000000000000000e+02 -4.256750057368776947e+07 -4.256750660640205443e+07 nan
-4.256750660640205443e+07 1.290558600592020899e+06 -4.250000000000000305e-02 4.000000000000000000e+02 -4.109342623473585397e+07 -4.109343226995014399e+07 nan
