weight logl src1.lognorm src1.logkT src1.lognH
0.000000000000000000e+00 -5.692128119573904276e+08 1.912133108118638347e+00 7.903351560217575233e-02 2.041769703322244212e+01
0.000000000000000000e+00 -4.794560497272718549e+08 1.709533339932095330e+00 -1.351266230234924315e-01 1.990189003908767518e+01
0.000000000000000000e+00 -4.781888149179751277e+08 1.993996089105031899e+00 1.216275266733350513e+00 1.959263917126658683e+01
0.000000000000000000e+00 -3.799086017057597041e+08 1.917708482830851935e+00 9.723722577624911434e-01 2.106636326650625080e+01
0.000000000000000000e+00 -2.888399024105775952e+08 1.742654307319551066e+00 3.571178555305674074e-01 2.003865765271104493e+01
0.000000000000000000e+00 -2.760298777019785643e+08 1.611541957110423695e+00 -4.195504240657228490e-01 2.009534453722548974e+01
0.000000000000000000e+00 -2.321379040217834115e+08 1.612473959230555920e+00 -4.724332163068335477e-01 2.045566976099977907e+01
0.000000000000000000e+00 -2.091521741740128696e+08 1.457344476900020780e+00 -3.966905413159210747e-01 1.941885541805202564e+01
0.000000000000000000e+00 -1.325206305108856261e+08 1.394838807285793791e+00 3.362212239220496723e-01 1.927582970684408181e+01
0.000000000000000000e+00 -8.696100457366050780e+07 1.972603303251725393e+00 1.045581538565715451e+00 2.291223841100841696e+01
0.000000000000000000e+00 -8.071017088107432425e+07 1.143387072761608891e+00 -4.903128567180021768e-01 1.944007132170275653e+01
0.000000000000000000e+00 -8.013052785044337809e+07 1.231245768212826164e+00 1.310883087508570632e+00 1.932755773050494952e+01
0.000000000000000000e+00 -7.595758442176710069e+07 1.187940620536602765e+00 1.104887760720091983e+00 2.024518977165985945e+01
0.000000000000000000e+00 -6.972005273061349988e+07 1.803903380529920497e+00 1.440881461064151825e-01 2.233016820019603799e+01
0.000000000000000000e+00 -4.569127364558570087e+07 1.045245987369234797e+00 -1.663097996824803859e-01 2.164622456608800505e+01
0.000000000000000000e+00 -4.315142103574058414e+07 1.231312700593420573e+00 -6.824127150870400449e-01 2.041031706512417188e+01
0.000000000000000000e+00 -4.256750057368776947e+07 9.581050764864222913e-01 9.160343473823597815e-01 2.100395337122610684e+01
0.000000000000000000e+00 -4.109342623473585397e+07 1.024170182075206270e+00 9.358061606355791984e-01 2.152393157237968779e+01
0.000000000000000000e+00 -4.029681347075327486e+07 1.106844482906467420e+00 5.842474482529056434e-01 2.177178040774633772e+01
0.000000000000000000e+00 -4.028764538884729892e+07 1.877234530881217722e+00 -9.196938314758504873e-01 1.987480681042683983e+01
0.000000000000000000e+00 -3.867881189161359519e+07 8.969492431698711243e-01 1.131749934464224783e+00 2.019948358633862640e+01
0.000000000000000000e+00 -3.377788839205264300e+07 6.756031866333742641e-01 4.088404177608051526e-02 2.072022888898055371e+01
0.000000000000000000e+00 -3.365615361166274548e+07 1.330754352706915000e+00 8.192011044949969456e-01 2.246755832307163558e+01
0.000000000000000000e+00 -3.179409972244450822e+07 7.837665046184980611e-01 7.034040017401583800e-01 1.992107692252452367e+01
0.000000000000000000e+00 -3.058822638701450452e+07 7.188841133722458920e-01 -1.414263166544358352e-01 2.140402258974965832e+01
0.000000000000000000e+00 -3.025517611721294746e+07 7.658554147477598661e-01 8.179008095876467710e-01 2.007641689539743268e+01
0.000000000000000000e+00 -2.613598298922288790e+07 8.145161783077501383e-01 2.081084963995885051e-01 2.148148387527211867e+01
0.000000000000000000e+00 -2.507639424681816623e+07 6.848543645066484942e-01 6.423863710060520038e-01 2.018779716663174639e+01
0.000000000000000000e+00 -2.497070493709488213e+07 7.382367317987217348e-01 1.115840608377711263e+00 2.097272730681037700e+01
0.000000000000000000e+00 -2.291514314940335602e+07 7.015431558068758733e-01 1.324660121843636240e+00 2.046281509046160707e+01
0.000000000000000000e+00 -2.262941168155182153e+07 6.455342547758480265e-01 4.452053589224511665e-01 2.030185540692463064e+01
0.000000000000000000e+00 -2.136381907821214944e+07 1.600948976449870997e+00 9.894833123126938190e-01 2.324174102330793090e+01
