src1.lognorm pl1.PhoIndex src1.lognH
-5.188598132732845869e+00 1.745262187000917287e+00 2.162098609369532909e+01
-5.289817156841207790e+00 1.248498341804314293e+00 1.968248112578560693e+01
-5.267818214455190606e+00 1.651927118241819592e+00 2.091899921326738720e+01
-5.158452334193062150e+00 1.778560010037033123e+00 2.095217043379422250e+01
-5.036751586329694774e+00 2.338371244841876972e+00 2.147813975033999156e+01
-5.250639041248070349e+00 1.556585447225954155e+00 1.933223070494834417e+01
-4.986276362170863230e+00 2.135464774677327426e+00 2.134128639361146895e+01
-5.217540141575065071e+00 1.381639343361251271e+00 2.094993756298962495e+01
-5.272441044690953760e+00 1.446909248312166163e+00 2.057240600940267328e+01
-5.233334623602214464e+00 1.911098371493027415e+00 1.960678259054906292e+01
-5.282048490250026873e+00 1.269193693926760957e+00 1.986909703536332827e+01
-5.114864077545716370e+00 2.023007605512930240e+00 2.137889233770196995e+01
-5.207042824819316351e+00 1.736667255309846780e+00 2.127849400145585790e+01
-5.158911166074725330e+00 1.875943666386579167e+00 2.116287711361858115e+01
-5.273058670041674389e+00 1.230847523082300832e+00 2.058847960043943814e+01
-4.945952240783733522e+00 1.844520500329348778e+00 2.165107324083160378e+01
-5.295959793795150361e+00 1.291395842021263007e+00 2.082513686083805027e+01
-5.148074742144851612e+00 1.901565691465998853e+00 2.143551368670187429e+01
-5.074946436767778124e+00 2.034648277973627906e+00 2.151184448259890303e+01
-5.277800382980986527e+00 1.282214369817280541e+00 2.010500699706934213e+01
-5.280981033916762435e+00 1.683045286934243379e+00 2.111690692384703283e+01
-5.221740303247397463e+00 1.577866298270060419e+00 1.942145156892264524e+01
-5.262112801008619556e+00 1.441683978441378855e+00 1.934439089204255069e+01
-5.218060339074936493e+00 1.541977085623665644e+00 2.108185237725082573e+01
-5.368342724330446458e+00 1.471683222656000822e+00 2.105676164015530460e+01
-4.896094273563624810e+00 2.068586295126937813e+00 2.175073831369692812e+01
-5.264236949874623761e+00 1.624872059951215419e+00 1.926891768712513553e+01
-5.047506839342744023e+00 2.378066164258457960e+00 2.146771732847378544e+01
-5.417601637062151809e+00 1.139915596455528757e+00 1.940726493327708368e+01
-5.284268361407347570e+00 1.678324045706476753e+00 2.079126185954977402e+01
-5.280618800852789896e+00 1.672893606943948619e+00 2.050950198817985992e+01
-5.257513392546799835e+00 1.610361801348990873e+00 1.993597830437249030e+01
-5.250362990168669697e+00 1.792474712058904629e+00 2.070531055073364257e+01
-5.195402459633467807e+00 1.845477121179214919e+00 1.912983030681154517e+01
-5.269544931804130528e+00 1.561683017022410525e+00 1.994440011158141601e+01
-5.134269499020239103e+00 1.805778142344699688e+00 2.136083856709264239e+01
-5.264912066075450703e+00 1.575730351335482560e+00 2.039995876522093710e+01
-5.281201183369860885e+00 1.452518339539111913e+00 2.034012955812715262e+01
-5.224829580206014512e+00 1.663507109795174799e+00 1.954788328224246285e+01
-4.983849988351387594e+00 1.888176436990559814e+00 2.183749233101448084e+01
-5.241615632418636039e+00 1.837375533650829063e+00 2.087772126923521299e+01
-5.327866587712708046e+00 1.451647080217016494e+00 2.020386887444558965e+01
-5.133150692275312288e+00 2.051245772772623432e+00 2.115540412881525967e+01
-5.235565959711903083e+00 1.708608653411581635e+00 2.080186934339785054e+01
-5.174970884461253640e+00 1.526327024673455490e+00 2.047506532386017852e+01
-4.992842288454997224e+00 2.064174558691032502e+00 2.159523774519112393e+01
-5.071405960635681609e+00 1.701687586599734736e+00 2.141985478654304487e+01
-5.307656789906956440e+00 1.533903930680097005e+00 2.083259955449770828e+01
-5.392579985969595313e+00 1.379795668330091374e+00 2.072796567267291934e+01
-5.319248014110174338e+00 1.441229895106256542e+00 1.924503098247122779e+01
-5.355646982814198154e+00 1.427636477531446069e+00 2.069048715363375379e+01
-5.081907612513659522e+00 1.768426007566230140e+00 2.152931569840023940e+01
-5.334644359912808831e+00 1.396087274722340510e+00 1.975841520988844380e+01
-5.312598872684775486e+00 1.337338654395740178e+00 2.087941056208384438e+01
-5.051733202816622637e+00 1.887610796232078059e+00 2.156922025857526393e+01
-5.325749161405731513e+00 1.361977255214856797e+00 2.098994423461220649e+01
-4.786151988950240188e+00 2.286761187934145845e+00 2.186980779352563786e+01
-5.324703563421843810e+00 1.415312545777188902e+00 2.014329662780123087e+01
-5.065326406038741069e+00 1.903466223802815271e+00 2.159089862884950506e+01
-5.115649080678535299e+00 1.818139465131778820e+00 2.130772629431301368e+01
-5.240309455580452358e+00 1.475978422209181851e+00 2.025334484742333174e+01
-5.250659169585792263e+00 1.593279341133682081e+00 2.101888434307593201e+01
-5.357581010102416386e+00 1.356553987719236076e+00 1.900123409060705626e+01
-5.427496379651101321e+00 1.191534649300725945e+00 1.953307440921556193e+01
-5.291852530042559621e+00 1.432564137660834902e+00 1.966933517107910845e+01
-5.145646030812176086e+00 1.690264648104840006e+00 2.132231011110280861e+01
-5.054647445378439130e+00 1.994610925506811405e+00 2.148583367427163537e+01
-5.266493208717324848e+00 1.681188514266412248e+00 2.096747721445444768e+01
-5.146917421757001065e+00 1.633759337507447285e+00 2.145607578767165435e+01
-4.992842288454997224e+00 2.064174558691032502e+00 2.159523774519112393e+01
-5.307812713362354273e+00 1.442840136033556320e+00 1.981999165293389353e+01
-5.105887931848585026e+00 1.901147027072087603e+00 2.146967730531047280e+01
-5.392579985969595313e+00 1.379795668330091374e+00 2.072796567267291934e+01
-5.057067294058775531e+00 1.930692069243470144e+00 2.122178499971027321e+01
-5.211304768059516590e+00 1.644842389418911921e+00 2.126087726448150406e+01
-5.300879672385995001e+00 1.519602104136545506e+00 2.054218292088895126e+01
-5.411033132498801912e+00 1.035001157696015639e+00 1.997471465113364886e+01
-5.063733500667926712e+00 1.541921235829056158e+00 2.154503651564834854e+01
-5.108199468821535305e+00 2.125435795494391655e+00 2.129567658132257435e+01
-5.350052311947833594e+00 1.145432470840115791e+00 1.960551997450377115e+01
-5.248108337078663865e+00 1.601599148918992022e+00 2.088553705461708887e+01
-5.007211967969581679e+00 2.059324190433343027e+00 2.160051879167457045e+01
-5.179785867615304795e+00 1.459403064451706200e+00 1.935177214138224855e+01
-5.247456764694952369e+00 1.558442100925903517e+00 1.999712120639253499e+01
-5.339706421483611187e+00 1.496745303323730347e+00 1.978978372771315364e+01
-5.000055562622098826e+00 1.866362821745553013e+00 2.158048749409023515e+01
-5.356195084847620969e+00 1.431768325743271397e+00 1.946381021492735641e+01
-5.353394949298392547e+00 1.552755397804993720e+00 1.966056793602471231e+01
-5.273147058315846181e+00 1.596391253376567398e+00 2.039996071609607142e+01
-5.276469060999945171e+00 1.362313180067594942e+00 2.026768639329136334e+01
-5.327679833035366741e+00 1.488237368518852577e+00 2.003473096264773901e+01
-5.424760049918317506e+00 1.114256587182945069e+00 1.998870388892522243e+01
-4.902081087722995889e+00 2.426180661596799126e+00 2.182567362276528655e+01
-5.194274897619775899e+00 1.691143357803142955e+00 2.104082447504856646e+01
-5.307924979448488401e+00 1.649683771795288578e+00 2.076855515486160897e+01
-5.289818867050159135e+00 1.502328863317809571e+00 2.083296007533649430e+01
-5.424760049918317506e+00 1.114256587182945069e+00 1.998870388892522243e+01
