src1.lognorm src2.lognorm pl1.PhoIndex src1.lognH
-5.349640816584967595e+00 -4.696995765499832665e+00 1.846293661628195082e+00 2.106282985489819737e+01
-5.375907991991628165e+00 -4.782220934230467790e+00 1.737471499915177020e+00 1.980790660041347451e+01
-5.266843930419822684e+00 -4.701357670579970005e+00 1.915695504633104562e+00 2.107442948594215792e+01
-5.411345987649621492e+00 -4.793479640568223843e+00 1.647934820730617034e+00 1.985561783049741180e+01
-5.400754447161361327e+00 -4.864228664156053483e+00 1.528761803196480251e+00 1.947414816798485404e+01
-5.438440361178189519e+00 -4.776612920673709795e+00 1.692302493031125898e+00 2.049687826290633552e+01
-5.474361501563151933e+00 -4.763589279849077762e+00 1.671469619199119627e+00 2.101842115436599201e+01
-5.423891125631713273e+00 -4.795777132918335184e+00 1.674840769550173469e+00 1.978189380610919912e+01
-5.436054384361880487e+00 -4.755086638670933397e+00 1.721933393256350975e+00 2.086991267272632555e+01
-5.530309944121217569e+00 -4.816966870052025840e+00 1.630855616015496778e+00 1.983003566201374568e+01
-5.409647431343886481e+00 -4.773968632542523238e+00 1.613503035845546663e+00 1.964981603581365377e+01
-5.416777738446813650e+00 -4.747081198599487628e+00 1.696379480256742234e+00 2.092528506673710353e+01
-5.268225389663389713e+00 -4.662870839426965119e+00 2.042691864832554494e+00 2.119100565301963712e+01
-5.430530734914004398e+00 -4.814837342438813117e+00 1.513444351867041959e+00 1.990751376071764156e+01
-5.437462319134914068e+00 -4.723656171975974871e+00 1.718043250089587914e+00 2.086468927494352954e+01
-5.377431940129750565e+00 -4.780297759935010049e+00 1.702527883698882860e+00 1.968272384769908356e+01
-5.466038877876338908e+00 -4.747977964382817717e+00 1.714650101264489912e+00 2.088335827019952617e+01
-5.319772942903207458e+00 -4.717346937974468801e+00 1.888395860026987449e+00 2.087209603403537983e+01
-5.397382491002000293e+00 -4.799648089641845417e+00 1.572125305066431444e+00 2.026705734400777459e+01
-5.486359234732674395e+00 -4.882550463695888077e+00 1.551975768914968690e+00 1.938308433101507688e+01
-5.408619951424302741e+00 -4.827333924634344520e+00 1.587278528658615073e+00 1.981475737260923964e+01
-5.432273223849710675e+00 -4.774934840508736400e+00 1.723529465531917104e+00 2.054825781597608270e+01
-5.419536593122456836e+00 -4.769011729658262588e+00 1.764825618408350394e+00 2.076144867795072102e+01
-5.474049423736512487e+00 -4.779042473367120181e+00 1.774948083633351104e+00 2.014028308677900014e+01
-5.412258073354250243e+00 -4.816773232306061026e+00 1.624352462451409629e+00 1.920449884400736806e+01
-5.289888322097629825e+00 -4.751420108128353803e+00 1.864947491780791999e+00 2.061921699930284646e+01
-5.439596224968450855e+00 -4.841020607378154317e+00 1.582032034744424998e+00 2.052244020886369213e+01
-5.327681169940433392e+00 -4.787010549710857710e+00 1.796830111448275424e+00 2.017257135760669584e+01
-5.328048999506057370e+00 -4.727264506711787106e+00 1.840801263738321758e+00 2.095868569231377876e+01
-5.377669410745991030e+00 -4.801478067618847767e+00 1.666305476300045108e+00 2.033544645626141190e+01
-5.206495186891893390e+00 -4.675263829092950019e+00 1.886718427622347427e+00 2.115657116793288850e+01
-5.351840620609847221e+00 -4.796971036604779748e+00 1.680498957791244585e+00 1.918962636771689034e+01
-5.497831509968982289e+00 -4.789684352180161753e+00 1.597644394015338420e+00 2.046352978389899135e+01
-5.400184292088709981e+00 -4.725894064408147521e+00 1.790760029057265612e+00 2.102797666034728863e+01
-5.455807525857327533e+00 -4.800755021205540984e+00 1.631627930106066771e+00 1.974952690211457096e+01
-5.251535215636261356e+00 -4.609770848554255451e+00 2.020821676014183943e+00 2.146532469694122724e+01
-5.360888213557535309e+00 -4.807653748401246929e+00 1.625275176928194121e+00 1.993829674711333766e+01
-5.390500563603723094e+00 -4.807609609357478497e+00 1.596640655133796827e+00 2.058078840671067411e+01
-5.483187053129968014e+00 -4.838203628820050284e+00 1.507052696194924657e+00 2.021484662898535944e+01
-5.405496060426779437e+00 -4.764335719263640634e+00 1.626509634634423662e+00 2.070314209057001520e+01
-5.321587671395750618e+00 -4.735170129128626115e+00 1.696243830737702574e+00 2.083718385950296437e+01
-5.487023811443359378e+00 -4.829395644694479905e+00 1.529155663926008657e+00 1.998891639673335874e+01
-5.416050611867417430e+00 -4.756094072995005639e+00 1.661990301836732797e+00 2.032656772762972253e+01
-5.423931592980837380e+00 -4.784073979257282616e+00 1.713281372891199972e+00 2.042405820625057444e+01
-5.314035894432886487e+00 -4.774496779462875651e+00 1.698810790639820212e+00 2.020054290596260671e+01
-5.477150522742551431e+00 -4.787539829389140245e+00 1.735726235181727084e+00 2.031403769213996569e+01
-5.318965821600677657e+00 -4.745942097224943979e+00 1.788155314655918815e+00 2.081121990730562032e+01
-5.462367532498085154e+00 -4.772766601038949119e+00 1.728695952042678563e+00 2.041100704951088929e+01
-5.532261109958669820e+00 -4.800887571550339850e+00 1.542045544828659409e+00 1.987308956294006990e+01
-5.448768457586364633e+00 -4.828736814813323619e+00 1.634099738612222907e+00 1.905579612817116697e+01
-5.340052336516467157e+00 -4.774023341733172998e+00 1.721446751889188498e+00 2.025073171452624976e+01
-5.470822135653400586e+00 -4.816430058816172810e+00 1.609408310915668494e+00 2.069657720873086859e+01
-5.358238190747131924e+00 -4.814863716644421032e+00 1.533704593551487250e+00 1.992994169456926556e+01
-5.399614075896746357e+00 -4.814572910415574114e+00 1.637578724928542506e+00 1.942602707856348232e+01
-5.424765765648542626e+00 -4.809337094733439955e+00 1.601988395030333301e+00 1.920608180412120802e+01
-5.448407591480020074e+00 -4.794995910153007301e+00 1.580070860150387446e+00 2.047184241108262981e+01
-5.403515381095545855e+00 -4.851740862096804108e+00 1.543087457700429432e+00 1.944801557958351879e+01
-5.423435482596325130e+00 -4.781238213466538767e+00 1.688289906901157877e+00 2.076862686593413798e+01
-5.428372040259452191e+00 -4.814321341458368764e+00 1.583359713605140939e+00 2.019669899278833114e+01
-5.426000512939525677e+00 -4.774093031289588396e+00 1.765265577187614454e+00 2.045135160447900091e+01
-5.397820949136040269e+00 -4.809120403295830570e+00 1.634741362343773652e+00 1.905245428783724293e+01
-5.347891830010788716e+00 -4.742734070253350254e+00 1.848830114936400371e+00 2.092315237947934392e+01
-5.419303807345796642e+00 -4.811793778308903313e+00 1.740647529387832293e+00 1.937425948847586099e+01
