weight logl src1.lognorm src2.lognorm src1.logkT src1.lognH
0.000000000000000000e+00 -1.106193678802931905e+08 9.670106736703341088e-01 9.784616484530025415e-01 9.205187365921182474e-01 3.738692960024826428e-01
0.000000000000000000e+00 -5.425343334869318455e+07 8.798964266968437586e-01 9.280545179839215786e-01 9.885371637538890033e-01 4.819632688232637907e-01
0.000000000000000000e+00 -4.747834676699771732e+07 1.896229043635812017e-01 9.712613472572937390e-01 9.938702535785618464e-01 6.416171457655907018e-01
0.000000000000000000e+00 -3.595981409596097469e+07 9.885707869762306865e-01 5.773342937930403540e-01 9.890046952369484501e-01 6.843567635157372653e-01
0.000000000000000000e+00 -3.354896163179475814e+07 9.932600652997454205e-01 7.063888528062806094e-01 8.609576514491746879e-01 1.577626473085105285e-01
0.000000000000000000e+00 -2.771130552417095751e+07 7.898605141858505707e-01 9.068726980234342872e-01 9.824495901174060686e-01 4.359651486362738915e-01
0.000000000000000000e+00 -2.710289666105643287e+07 8.900960846987123753e-01 8.636903302625940082e-01 9.810915311983554599e-01 3.537388821163967023e-01
0.000000000000000000e+00 -2.148271413899775594e+07 8.953523111261092460e-01 3.436804620371061159e-01 9.888555698815774120e-01 3.741626469157710577e-02
0.000000000000000000e+00 -9.392221433228906244e+06 8.782790065389652900e-01 8.527733364645139202e-01 9.450319363950424600e-01 5.385431168673984192e-01
0.000000000000000000e+00 -9.180206632791221142e+06 8.404465840552622913e-01 9.427223026776180292e-01 9.108853646939112370e-01 6.358141794382341505e-01
0.000000000000000000e+00 -8.273552282902051695e+06 8.271429663777681851e-01 9.364309181186755149e-01 8.652913447191856733e-01 5.185796074023586444e-01
0.000000000000000000e+00 -6.122050471192432567e+06 6.526884161224214553e-01 8.733851501779804627e-01 9.215679290011370428e-01 3.502491683057494809e-01
0.000000000000000000e+00 -5.122916566740053706e+06 6.067176508294720438e-01 9.588364564243858634e-01 9.170626416484997101e-01 6.952721445651491861e-01
0.000000000000000000e+00 -4.744541037671919912e+06 9.558439242075983389e-01 7.778416481844653285e-01 8.108110674585640165e-01 4.015355156305893125e-01
0.000000000000000000e+00 -4.373220088157027029e+06 7.275010319750655485e-01 9.965471333887339078e-01 7.850222313122691142e-01 5.388475246102741867e-01
0.000000000000000000e+00 -4.264194323414460756e+06 4.931510186900321946e-01 8.639167757520594959e-01 9.600113771743679081e-01 5.889340825689000081e-01
0.000000000000000000e+00 -4.059277059301729780e+06 9.255469107782525739e-01 4.651975556135118373e-01 8.475990886424128457e-01 4.933464735408602531e-01
0.000000000000000000e+00 -3.869702079073235858e+06 9.051910789384773892e-01 3.029663694277366925e-01 8.535819263483676034e-01 7.036705627879114022e-02
0.000000000000000000e+00 -3.184788353865391109e+06 3.986376876683804804e-01 9.763919569179444480e-01 7.601800735208951165e-01 5.806270058825280245e-02
0.000000000000000000e+00 -2.644066668327221647e+06 8.358352419841628134e-01 2.910413512527165736e-02 9.313776464169464253e-01 1.196033322433526225e-01
0.000000000000000000e+00 -2.257787950488982722e+06 4.620232706147378021e-01 9.995717343504129104e-01 7.585564479429230955e-01 5.255746162231212937e-01
0.000000000000000000e+00 -2.157291605002193712e+06 8.539372062212782222e-01 9.359478147540351012e-01 7.774123042788175786e-01 1.232860750734864341e-01
0.000000000000000000e+00 -1.837578302546706283e+06 7.100870073980501962e-01 8.941540044699409773e-01 9.154086389009949976e-01 6.704005588198641563e-01
0.000000000000000000e+00 -1.807673603934182785e+06 2.202596967788249538e-01 8.578483086090838983e-01 8.645490089866217920e-01 3.305137249360663443e-01
0.000000000000000000e+00 -1.761305088139741682e+06 6.049151998037840539e-01 9.034033553306752840e-01 8.208961726217424149e-01 4.718708585896387309e-01
0.000000000000000000e+00 -1.400337581746499520e+06 9.295817383722390082e-01 6.415776742824031986e-01 7.845605766695401551e-01 3.822066182124757017e-01
0.000000000000000000e+00 -1.147545973119928502e+06 8.283077539776694254e-01 8.800461894366193860e-01 8.042260638221491176e-01 3.464453729263663462e-01
0.000000000000000000e+00 -9.669464856657254277e+05 9.356319558047619944e-01 1.025663708277881891e-01 7.623293805723169170e-01 3.311758081575528756e-01
0.000000000000000000e+00 -8.922212172021174338e+05 7.884674703340972535e-01 2.386562151217663796e-02 9.453424979390105953e-01 4.735381145628297928e-01
0.000000000000000000e+00 -7.334568125948368106e+05 8.618259205918337162e-01 9.497454381618196662e-01 7.263687935031880594e-01 2.601426219062902279e-01
0.000000000000000000e+00 -6.711449335838484112e+05 7.750539396046538521e-01 4.009287796207509080e-01 9.408104820065766871e-01 4.223263383962501116e-01
