weight logl src1.lognorm src1.logkT src1.lognH
0.000000000000000000e+00 -4.860457177934107929e+07 9.942991393643790810e-01 7.083755730797826056e-01 2.992297219665240871e-01
0.000000000000000000e+00 -4.856586315141341090e+07 9.843188623684796523e-01 2.481796143199848093e-01 2.350744392403868455e-01
0.000000000000000000e+00 -4.023256809002929181e+07 9.836693287421491849e-01 8.800106540413472622e-01 8.628434477496893518e-02
0.000000000000000000e+00 -3.225010971893853694e+07 9.724491121681589911e-01 5.843119487101228193e-01 1.164493739593297494e-02
0.000000000000000000e+00 -2.384666491970517859e+07 9.986274725917205775e-01 1.239884741288641568e-01 3.102648614388425763e-02
0.000000000000000000e+00 -2.200543648994451761e+07 9.595730068473016239e-01 2.350127784353559512e-01 2.863301489285035029e-01
0.000000000000000000e+00 -1.820675013058448583e+07 9.628058900325120462e-01 8.660668847745519594e-01 3.844925263798255610e-01
0.000000000000000000e+00 -1.812141528633857146e+07 9.654558215895293616e-01 8.121291517270559090e-01 4.026266101265910669e-01
0.000000000000000000e+00 -1.774719758879932389e+07 9.343496002763378439e-01 4.037278894996305656e-01 2.793543271163380082e-01
0.000000000000000000e+00 -1.663831814595201053e+07 9.318707874772755861e-01 4.413567302721957963e-01 1.837347228031749324e-02
0.000000000000000000e+00 -1.617125130852151848e+07 9.506910794505180062e-01 4.997783323195634786e-01 3.337577415054426844e-01
0.000000000000000000e+00 -1.582168762174381129e+07 9.605715225280402336e-01 3.223879327129824945e-01 3.867441612260870132e-01
0.000000000000000000e+00 -1.136705679526277259e+07 9.566632008637313556e-01 4.723577507721348212e-01 4.149431312279172612e-01
0.000000000000000000e+00 -9.541857214612020180e+06 9.191712546442339926e-01 6.427881700464187498e-01 7.526303183508364913e-02
0.000000000000000000e+00 -7.095242412778201513e+06 9.125070951722800139e-01 1.937672814127586740e-01 6.855571460719578347e-02
0.000000000000000000e+00 -5.764556158688711934e+06 8.970190105282705995e-01 6.635550280578692561e-01 3.675909723266446161e-02
0.000000000000000000e+00 -5.154105107227704488e+06 8.920629701016583590e-01 6.845089588240275136e-01 6.760638304809629684e-02
0.000000000000000000e+00 -4.641108313353626058e+06 8.932229117759802328e-01 6.368298515550938621e-01 2.995101880098716141e-01
0.000000000000000000e+00 -3.722483310005634092e+06 8.817033379506264978e-01 9.201825757059084454e-01 1.196768125769048785e-01
0.000000000000000000e+00 -3.702109603120754473e+06 8.784514519683710443e-01 5.900496945582955899e-01 4.491764911513151937e-03
0.000000000000000000e+00 -3.579198564604657236e+06 8.644773291951950434e-01 4.276255985193926357e-01 2.052527055396705657e-01
0.000000000000000000e+00 -3.047846977443926968e+06 8.530498381465654312e-01 3.191327661770261281e-01 2.454640863191459577e-01
0.000000000000000000e+00 -2.950940394763204269e+06 9.929689353300852339e-01 6.480541017149482608e-01 6.285659055361703107e-01
0.000000000000000000e+00 -2.941661959421142936e+06 9.069926718814786959e-01 7.022666092131196747e-01 4.666462772680306514e-01
0.000000000000000000e+00 -2.404416393376189750e+06 8.516204951581580751e-01 4.585630732181457114e-01 1.068999337418630180e-01
