src1.lognorm src2.lognorm src1.logkT src1.lognH
-2.076565945721497997e-02 -9.130459116468676584e-01 -5.452046408856285886e-01 1.901213976002259542e+01
1.207411371235735942e-01 -9.140913876094849400e-01 -5.588819359316556934e-01 1.996225477232875889e+01
-4.714273103030119927e-02 -1.055473771439977781e+00 -5.381899699612162635e-01 1.905731323625276019e+01
7.139482157768384241e-02 -9.377857634183612845e-01 -5.511580806497575757e-01 1.919925731121458412e+01
-2.871778556904747148e-02 -1.092033480913206844e+00 -5.302789442998063763e-01 1.934371991490498743e+01
-1.513066260019062526e-01 -1.148068512929926399e+00 -5.033641600865896848e-01 1.928556858351529257e+01
8.246390331950514963e-02 -9.565687241418245890e-01 -5.476728826047252419e-01 1.918116938451274578e+01
8.246390331950514963e-02 -9.565687241418245890e-01 -5.476728826047252419e-01 1.918116938451274578e+01
-5.255194655231854028e-02 -1.103994601258230901e+00 -5.199410639546706570e-01 1.929521286308413508e+01
-6.898238409751300537e-02 -1.033316771108349741e+00 -5.276620398020317459e-01 1.903085927137193067e+01
6.338486133910414821e-02 -9.692016839643056159e-01 -5.539229050839349355e-01 1.960810833309821177e+01
-8.798868771689782875e-03 -1.048922996233187632e+00 -5.370167221150952130e-01 1.907297472730520127e+01
-8.022933374952323504e-02 -1.043924984442059944e+00 -5.190277473437983069e-01 1.925570904001524397e+01
-4.225479010123400769e-02 -1.005785872498805134e+00 -5.370417403478646712e-01 1.921736553145401771e+01
-1.644291185491741913e-02 -9.518883326653693189e-01 -5.488994109495983764e-01 1.908469719140232712e+01
-1.210689416464898471e-01 -1.071585762485986137e+00 -5.073118258541531311e-01 1.979076850100614493e+01
-4.487048864505549517e-02 -9.875465152544764535e-01 -5.211142344692469841e-01 1.930566953309065426e+01
-1.896621608464599262e-02 -1.035144689989835776e+00 -5.300288308696115003e-01 1.955814381475795471e+01
-1.671246186747330498e-01 -1.308812305941412291e+00 -5.002369176483130175e-01 1.908659917126610850e+01
-8.969362461502861095e-02 -9.787580787735841170e-01 -5.239214439517425603e-01 1.920012399550930127e+01
2.468109528607342895e-02 -1.074231098894043335e+00 -5.386841410300267086e-01 1.910037461959725391e+01
-4.279384628159643711e-02 -1.040975685259772021e+00 -5.277583673533587927e-01 1.909972352371344684e+01
5.887117722789980689e-02 -1.031107068539578009e+00 -5.683035161157201642e-01 1.955392581029151344e+01
6.547721744062684479e-02 -1.054328420874508510e+00 -5.515131197620752879e-01 2.037048695268099863e+01
-1.894386423569276445e-01 -1.182946692473063166e+00 -4.995546905658874159e-01 1.918696383397061922e+01
1.672285947445395493e-02 -1.082595272091043448e+00 -5.360879362623642841e-01 2.007156568141912700e+01
-4.418337087031432020e-02 -1.077508657861875108e+00 -5.256124442838028266e-01 1.952364572517892327e+01
4.673132494980691831e-02 -9.571812808129562811e-01 -5.481188922196791324e-01 1.945281238567084614e+01
6.495429222213289222e-02 -9.848061440345450279e-01 -5.681769865394676877e-01 1.929875324186834362e+01
3.365440526974694535e-02 -9.840542929178193177e-01 -5.456078370642618580e-01 1.911031842828958460e+01
3.076946388514123498e-02 -9.678163390823488754e-01 -5.417027057539836044e-01 1.914378713585009706e+01
-2.295728223721020811e-01 -1.340224706457903814e+00 -4.829236550587121535e-01 1.972698895192752744e+01
2.510930081190210217e-02 -1.025886401661482594e+00 -5.440153168504333614e-01 1.928838997369872033e+01
