src1.lognorm src2.lognorm src1.logkT src1.lognH
-4.131557238207397731e+00 -5.103696529135382853e+00 3.019909972812240273e-01 1.936273137637744313e+01
-4.135087824314298111e+00 -5.183623564331035993e+00 2.736237281955948841e-01 1.909021002628348640e+01
-4.144433475906339481e+00 -5.038538199715340227e+00 3.173987760094820754e-01 1.904650133062378004e+01
-4.130902949197173157e+00 -5.130734505472805296e+00 3.608245191351429071e-01 1.936836656351010433e+01
-4.122049808557244788e+00 -5.189416979468274960e+00 3.725403104062932069e-01 1.904580596703449658e+01
-4.148136799716687584e+00 -5.088264772253037194e+00 3.962675041772927287e-01 1.975005406975627054e+01
-4.098213798987862866e+00 -5.091133064392066032e+00 3.172601421409777522e-01 1.961221822920695601e+01
-4.126723860978044556e+00 -5.075627731713853841e+00 3.736716643803090765e-01 1.957812560502284427e+01
-4.196665063230245352e+00 -5.146488780462082246e+00 3.635564763586438541e-01 1.983176253415948409e+01
-4.134908270185270851e+00 -5.064177206790281716e+00 3.169802311958920260e-01 1.916010758499475486e+01
-4.098531285809810853e+00 -5.142330370079200463e+00 3.326912336651515201e-01 1.943506625183724523e+01
-4.117217339267573273e+00 -5.073327819173915287e+00 3.707167614775148667e-01 1.928687038254703978e+01
-4.151911187813686510e+00 -5.191310187184668301e+00 3.693521084407611621e-01 1.951857208178697434e+01
-4.132153269670846285e+00 -5.177013432941189208e+00 3.418121223247148066e-01 1.933191818475220813e+01
-4.160407306577917019e+00 -5.061785910876826833e+00 3.127950769034595346e-01 1.923852089211925431e+01
-4.139704130934128479e+00 -5.098810929248074331e+00 3.614206517118019324e-01 1.902487233247637377e+01
-4.146576547340702135e+00 -5.139026502289548937e+00 2.928740278649448747e-01 1.910532358708223555e+01
-4.171443978419347332e+00 -5.205480469952707523e+00 4.009821220754254956e-01 1.902182029856163226e+01
-4.139956192518075895e+00 -4.997753262671771779e+00 3.322535895782197102e-01 1.914346150807294933e+01
-4.119360547824043373e+00 -5.182365369522768717e+00 2.992557086574803016e-01 1.938563031881957599e+01
-4.124535409671922892e+00 -5.163082516246070952e+00 3.455178071978457499e-01 1.979889865041198505e+01
-4.098864349672898477e+00 -5.166345719569493511e+00 3.764324939995502550e-01 1.969496683750795540e+01
-4.093419862419500177e+00 -5.098538725489959234e+00 3.955848702393203187e-01 1.905558094668709401e+01
-4.106888154060252205e+00 -5.148523144054244938e+00 3.271677957802705539e-01 1.908708495733213084e+01
-4.151152082928961207e+00 -5.148439541489551630e+00 3.229045159769121653e-01 1.905586301718901510e+01
-4.103309738067146384e+00 -5.120019969321738529e+00 4.235264163249798930e-01 1.924386023817852376e+01
-4.149378020328413186e+00 -5.133960086261258660e+00 3.144174908029757631e-01 1.943642733160697134e+01
-4.066517504042719722e+00 -5.147087856079164858e+00 4.139448640015499503e-01 1.957961231293197457e+01
-4.164693032041890675e+00 -5.174881735927781001e+00 3.347442686775548015e-01 1.964735841956060725e+01
-4.172878116645645008e+00 -5.066694316046426394e+00 2.903181438240340917e-01 1.920804217210154263e+01
-4.103388932879839857e+00 -5.112223168133716023e+00 3.545684018895549627e-01 1.925825727950585176e+01
-4.147077837750974716e+00 -5.073515994469275370e+00 3.397488047917029963e-01 1.968542411749298182e+01
-4.124692724433737467e+00 -5.065719689289902128e+00 3.783186980356336715e-01 1.917434525912054966e+01
