weight logl src1.lognorm src2.lognorm pl1.PhoIndex src1.lognH
0.000000000000000000e+00 -1.073554821791618347e+11 7.975166591955349382e-01 9.728720782056597960e-01 9.342254054423870802e-02 4.220842164414927433e-01
0.000000000000000000e+00 -6.180181122131785583e+10 9.317179882687481873e-01 5.682139007933556529e-01 1.314173123368012064e-02 2.925736749217544563e-01
0.000000000000000000e+00 -4.864694830533581543e+10 9.365193150744746120e-01 5.686716966784314264e-01 2.821618257721547618e-02 3.802058899409347381e-01
0.000000000000000000e+00 -3.829080148653870392e+10 1.805326748952258420e-01 9.636716162799765506e-01 1.354264600273162866e-01 2.989011518500729325e-01
0.000000000000000000e+00 -3.102122633173366547e+10 2.431553400830847034e-01 9.016298647541240996e-01 7.215951580850388236e-02 4.834081570385040383e-01
0.000000000000000000e+00 -2.161101127863662720e+10 2.363355763584845670e-01 9.170815750211289696e-01 8.264062431598429015e-02 6.222397385599752750e-01
0.000000000000000000e+00 -2.142159667236201859e+10 9.688417659302600571e-01 5.935530534708810535e-01 9.437095935473127639e-02 5.092014377775856415e-01
0.000000000000000000e+00 -2.016681229178280258e+10 4.875642981065264614e-02 8.142509373535967709e-01 3.959052392205841819e-03 4.042243813213614034e-01
0.000000000000000000e+00 -1.987238776738962555e+10 6.598180116154817032e-01 9.098201493274649110e-01 2.901126596277492364e-02 7.141144804991143014e-01
0.000000000000000000e+00 -1.345608488262738228e+10 1.989589026417808437e-01 9.865995730940264608e-01 8.411973538164208009e-01 7.205139597885923397e-02
0.000000000000000000e+00 -1.063838368952026176e+10 8.733718649613328999e-01 6.149026221537132741e-01 3.231951882760220052e-02 1.080094019986533871e-01
0.000000000000000000e+00 -9.581731041751478195e+09 1.838533546165531662e-01 9.595451711276039575e-01 8.755922701882981052e-01 1.089532355002920117e-02
0.000000000000000000e+00 -8.169119209111242294e+09 8.882891255187457258e-01 7.875505883595260714e-01 7.488127876400774152e-02 2.798785391620329799e-01
0.000000000000000000e+00 -5.523993797686296463e+09 4.208274021753013461e-01 9.786252377645207057e-01 2.626501784049551924e-01 3.917716660690711006e-01
0.000000000000000000e+00 -5.374608744930446625e+09 8.635411981372388412e-01 9.221299112242983265e-01 9.614284794099410281e-01 2.689155920113823761e-01
0.000000000000000000e+00 -5.009150456746019363e+09 7.261879154422907767e-01 9.898827596806289986e-01 7.791603712212005206e-01 2.938614562911409100e-01
0.000000000000000000e+00 -4.930034692129425049e+09 5.123224216261010877e-01 8.955255897683499500e-01 1.612101637595887427e-01 1.286566329401227504e-01
0.000000000000000000e+00 -4.706377178432662964e+09 9.521930567460690220e-01 3.178475226846507740e-01 1.377285787505229120e-01 5.699317253989658605e-01
0.000000000000000000e+00 -4.694084521076203346e+09 2.248100465441824625e-01 9.820180195317790295e-01 2.554541373613142818e-01 4.982916205001551857e-01
0.000000000000000000e+00 -4.500067504332880974e+09 9.952706400407692611e-01 7.822333805183139255e-01 8.623730031024271492e-01 2.438128213367775077e-01
0.000000000000000000e+00 -3.703360599462761879e+09 8.622703713912760470e-01 7.080206198254577199e-01 7.302479211492429734e-02 3.431844806806954029e-01
0.000000000000000000e+00 -3.204937267886848450e+09 3.045187539122925502e-01 8.036368876273105588e-01 7.709046127044927310e-02 1.944103356529320870e-01
0.000000000000000000e+00 -2.639814039984116554e+09 9.954314039640492773e-01 7.325259016479783725e-01 2.541018142084038312e-01 3.296970205051376057e-01
0.000000000000000000e+00 -2.318997443160324574e+09 5.084685772994235187e-02 9.800807484091748067e-01 4.004011257465426299e-01 1.120678601182859557e-01
0.000000000000000000e+00 -2.175153005434791565e+09 9.590490865864327308e-01 3.056047329630480203e-01 2.139032932692087607e-01 1.755344043840686430e-01
0.000000000000000000e+00 -1.866464351449497938e+09 8.138898090024617726e-01 1.550690169566263377e-01 4.864828805048648785e-02 1.969506428562122213e-01
0.000000000000000000e+00 -1.799891881050971508e+09 9.795721552800834564e-01 1.953260654614190628e-01 7.750604540684155053e-01 2.221004396943836445e-01
0.000000000000000000e+00 -1.552419128141085863e+09 9.989003075041968938e-01 4.121945473691527306e-01 6.499733015507240808e-01 1.264414789700547548e-01
0.000000000000000000e+00 -1.542586498895519972e+09 8.693568650326816138e-01 9.639359583143263244e-01 6.739149484787984035e-01 3.011896412592662831e-01
0.000000000000000000e+00 -1.532057215645180702e+09 5.393659069640036607e-01 8.175304260093445574e-01 9.549013635767944486e-02 6.295657888374059930e-01
0.000000000000000000e+00 -1.493614269882470131e+09 9.329991951589846622e-01 7.072943762266120649e-01 1.760995887121999948e-01 5.486843850114000443e-01
0.000000000000000000e+00 -1.384292847069652557e+09 6.112798276325408509e-01 7.673330152995085918e-01 7.568791051530421310e-02 4.238090207765471407e-01
0.000000000000000000e+00 -1.365027412724493980e+09 3.907768894568663942e-02 9.282402577414949896e-01 7.245669295230445783e-01 2.030865804847428180e-01
0.000000000000000000e+00 -1.319000818994512558e+09 9.047838881631113939e-01 5.929070861218421751e-01 9.329436013331905420e-01 6.822123084594011733e-02
0.000000000000000000e+00 -9.955264531652135849e+08 4.416285614790169678e-01 9.443305200854997805e-01 5.453193684701724830e-01 1.016153858631796414e-02
0.000000000000000000e+00 -9.379668306915647984e+08 6.215561408135350518e-01 8.317910706142657151e-01 9.590343899696865959e-01 1.580378760986647091e-01
0.000000000000000000e+00 -9.045642024747265577e+08 1.924860092210588514e-01 8.743201962183448916e-01 2.324721505768563290e-01 2.306848199444564429e-01
0.000000000000000000e+00 -8.771828468232990503e+08 9.948038723750509682e-01 6.054691774046297992e-01 5.111370754472374101e-01 1.100389152755385513e-01
0.000000000000000000e+00 -8.456759857139385939e+08 2.446093860015973176e-01 9.491861562142995812e-01 4.655050213341829224e-01 2.748924894418217635e-01
