src1.lognorm src2.lognorm src1.logkT src1.lognH
-3.086985503824607235e+00 -3.436475354049898456e+00 1.198793469039816095e+00 2.236385179765488829e+01
-3.098922276304550749e+00 -3.409094499911930143e+00 1.053637398767788280e+00 2.234173310221737907e+01
-3.061674344120556057e+00 -3.395592970645800790e+00 9.383097961027790923e-01 2.237871881659992823e+01
-3.079840667506933194e+00 -3.443873475681168195e+00 1.396074891062898615e+00 2.233309993221550016e+01
-3.143298139386996759e+00 -3.482550268976378760e+00 1.160919704190404467e+00 2.229324609949093983e+01
-3.152653766292873527e+00 -3.435226968321370755e+00 1.225991882849023273e+00 2.229705163637563814e+01
-3.075268092785637286e+00 -3.408116542758887313e+00 1.067426467407423640e+00 2.236747434965343118e+01
-3.103739901616853203e+00 -3.466915933429060459e+00 1.227791393698149935e+00 2.230884245869526694e+01
-3.088258929489800408e+00 -3.377866511072655342e+00 1.420054530763459777e+00 2.231920977407121498e+01
-3.110972618379213017e+00 -3.455517367549400198e+00 1.278213989858343780e+00 2.232240676731631979e+01
-3.098356759406637906e+00 -3.454382733338544398e+00 1.014826647809301097e+00 2.239674635342135645e+01
-3.078643585034711805e+00 -3.437766553121217150e+00 1.376522760320871175e+00 2.233168942036943605e+01
-3.088466101741931702e+00 -3.401884804799880868e+00 1.228157211263530169e+00 2.237280718978180261e+01
-3.120154307116177250e+00 -3.444949320012121063e+00 1.364455260905555356e+00 2.231441970405931841e+01
-3.109167942537450102e+00 -3.475003738893613026e+00 1.125484995328680071e+00 2.233036094569695251e+01
-3.069236972164581800e+00 -3.414430531735422214e+00 9.808577107379929938e-01 2.238695476139091056e+01
-3.090488161878948148e+00 -3.393106586172613071e+00 9.369837301335466329e-01 2.237590114530831542e+01
-3.120988039413784776e+00 -3.403143918564389026e+00 1.130818569697878750e+00 2.235256381958388872e+01
-3.100422207806663444e+00 -3.493461136195490369e+00 1.241854484450246154e+00 2.229711206073888974e+01
-3.113325464114434560e+00 -3.393781354423582641e+00 9.578768839361422316e-01 2.238238015988996921e+01
-3.101126332535389274e+00 -3.419848868414343990e+00 9.757313344526197252e-01 2.241680368985766236e+01
