weight logl src1.lognorm src2.lognorm src1.logkT src1.lognH
0.000000000000000000e+00 -2.749068904580152631e+08 8.463794190238977944e-01 9.926435638475782364e-01 3.525773139627881303e-01 7.414417959305985573e-02
0.000000000000000000e+00 -2.741736792841808200e+08 4.599086956543080307e-01 9.959937265694454034e-01 3.050516279369694939e-01 1.018184205428273037e-01
0.000000000000000000e+00 -2.256220892752892375e+08 9.937775519200122698e-01 4.990539397534534682e-01 2.847063603064738935e-01 9.970683090063336973e-02
0.000000000000000000e+00 -1.951076034946374595e+08 9.633076017347682596e-01 9.847855585221171326e-01 6.871402181247202590e-01 2.855326085381550971e-01
0.000000000000000000e+00 -1.823338131032607853e+08 9.995215462037915222e-01 7.996040026436191939e-01 5.358330928338878030e-01 4.740123910535620766e-02
0.000000000000000000e+00 -1.647372138411093950e+08 9.016488410990414204e-01 9.946490965805860895e-01 3.095322764057464315e-01 3.532573257471791628e-01
0.000000000000000000e+00 -1.504825117025440037e+08 2.178162495101252372e-01 9.910668938962557961e-01 8.402932738826672798e-01 1.005718132163436751e-01
0.000000000000000000e+00 -1.202981738798455298e+08 7.016863472402720125e-01 9.673791301541111443e-01 2.753731386649502788e-01 2.103339082098947266e-01
0.000000000000000000e+00 -1.153261321083809882e+08 7.483454281900564498e-01 9.975385307532573798e-01 1.881047873235960344e-01 2.794132464027814233e-01
0.000000000000000000e+00 -1.107317394175658971e+08 9.603715484555755966e-01 5.788793537647956011e-01 3.976185385506553205e-01 1.106745223006223577e-01
0.000000000000000000e+00 -1.103899392027687281e+08 5.318859938883746530e-01 9.968001196827358523e-01 5.336864895323822910e-01 3.844527175248257933e-01
0.000000000000000000e+00 -1.093925483119891286e+08 9.650118237645703978e-01 3.531049948413972350e-01 2.671276629078402909e-01 2.544442015364867249e-02
0.000000000000000000e+00 -1.020998356131742150e+08 8.856046946929208019e-02 9.735411016119996930e-01 5.766316842778651530e-01 4.746707248925052802e-02
0.000000000000000000e+00 -9.944116787418405712e+07 9.778026698274454587e-01 8.390249658753450301e-01 5.296778643091085703e-01 3.013857908630519500e-01
0.000000000000000000e+00 -9.566605314476564527e+07 1.905558706756471654e-02 9.706909170025074252e-01 5.905015725879060318e-01 2.407216989165417154e-02
0.000000000000000000e+00 -7.025885213230127096e+07 9.593796530193779981e-01 4.787754952511255047e-01 5.731920299426603860e-01 1.286612044988045822e-01
0.000000000000000000e+00 -6.770732431990627944e+07 9.456668984946027257e-01 9.059013976363057274e-01 9.347505508818196862e-01 1.290206481187293752e-01
0.000000000000000000e+00 -6.746298420689244568e+07 9.810029669381673534e-01 4.685226288088728541e-01 3.700415522383563305e-01 4.052231476133832944e-01
0.000000000000000000e+00 -6.345259750604845583e+07 9.386812377213689107e-01 6.725827160881816535e-01 3.830030995444749786e-01 2.592186450775701978e-01
0.000000000000000000e+00 -5.370342553058460355e+07 9.049824061328546332e-01 9.228301789986069759e-01 4.674791567766156675e-01 2.766689282942942363e-01
0.000000000000000000e+00 -5.356094781558690220e+07 9.358679874739370685e-01 6.924941317457155021e-01 3.493550625965096135e-01 3.040949583464451766e-01
0.000000000000000000e+00 -5.206770899825824052e+07 3.759717474198078779e-01 9.480751182897906304e-01 8.885394392504408767e-01 2.483116203560047364e-01
0.000000000000000000e+00 -4.781166999919013679e+07 9.748328475244466551e-01 7.569946558819239391e-01 1.603948004217667922e-01 2.735554626710934301e-01
0.000000000000000000e+00 -4.779472032938253880e+07 4.386472365330653655e-01 9.363621928864083177e-01 2.253679419908595216e-01 8.927080106011930916e-02
0.000000000000000000e+00 -4.505255994221957773e+07 9.438372417248546142e-01 1.494711397222092675e-01 5.684750982885816706e-01 2.776195769645736222e-01
0.000000000000000000e+00 -3.706165458499460667e+07 6.037232635214251353e-02 9.289307620353141060e-01 7.086238430110979314e-01 1.352189193461796890e-01
0.000000000000000000e+00 -3.671337266591383517e+07 9.342204487894216758e-01 7.421075604192631792e-01 6.485289347679177308e-01 2.914691395843990174e-01
0.000000000000000000e+00 -3.037703658239877224e+07 9.895685225505278515e-01 7.579090579605739508e-01 5.218907432781587641e-01 4.918360436670932145e-01
0.000000000000000000e+00 -2.609819176625545323e+07 9.151791880882488295e-01 2.606863595957359392e-01 6.692536444106722548e-01 2.294147334896701196e-02
0.000000000000000000e+00 -2.488938614810510725e+07 9.329007422724309162e-01 6.104661946059760647e-01 9.224977868153815264e-01 4.021318646810607689e-01
0.000000000000000000e+00 -2.402777487262038887e+07 9.423610912200086620e-01 1.865318445330799157e-02 8.731603367983407082e-01 4.520709955122512724e-01
