src1.lognorm pl1.PhoIndex src1.lognH
-5.518169548131796276e+00 1.400580826774164400e+00 2.153334545747543061e+01
-5.213839030469274327e+00 2.027311597096780993e+00 2.198001920353390659e+01
-5.210955852498406315e+00 2.308988838360651386e+00 2.199835491509870167e+01
-5.993413695970725819e+00 6.712643305495333834e-01 1.901322832719458944e+01
-5.415281947805658191e+00 1.371355608033089979e+00 2.194232949894029971e+01
-5.293932733889256781e+00 1.947956313155913222e+00 2.185514603071888473e+01
-5.504429148174288855e+00 1.397334577325763050e+00 2.157915080877022262e+01
-5.518753933679064971e+00 1.443451585852195684e+00 2.181563024059116174e+01
-5.512907709865364936e+00 1.401128675873190232e+00 2.173100584134668978e+01
-5.425114470529349475e+00 1.671137284420490587e+00 2.188481654628576223e+01
-5.739138325513337691e+00 8.068916505377785597e-01 2.141073968834517416e+01
-5.497838115623517652e+00 1.396184826376734023e+00 2.186706766239136002e+01
-5.168148518373461897e+00 2.312578039693364396e+00 2.200762810718589080e+01
-5.452038565114764701e+00 1.507388217506988148e+00 2.169822133164733913e+01
-5.343931062448548097e+00 1.775198932995817991e+00 2.193403177831042683e+01
-5.609021786186692893e+00 1.130662405559000661e+00 2.169411389305389193e+01
-5.230972360143045563e+00 1.904625579832054605e+00 2.203623637921224443e+01
-5.407635713911032482e+00 1.630984583981945235e+00 2.184320819527399848e+01
-5.096423198325281234e+00 2.037846317232265392e+00 2.206093461927494559e+01
-5.236691294257600049e+00 1.708727872867467745e+00 2.211395329617325700e+01
-5.058201560259600882e+00 2.349305441907780789e+00 2.203851496993802428e+01
-5.605209196801978599e+00 1.291678565632231823e+00 2.128324754140517783e+01
-5.257380977702117875e+00 1.756556444522955118e+00 2.192122391526906000e+01
-5.722160411038199612e+00 9.771206884689886962e-01 2.126341529312755085e+01
-5.534107191296961936e+00 1.556124453630838289e+00 2.178596655086455414e+01
-4.960378162347859998e+00 2.453611708382430479e+00 2.223172052807539600e+01
-5.457026346221464763e+00 1.559773769937274679e+00 2.176974064542400100e+01
-5.244131829410290990e+00 2.182088405561374955e+00 2.192536400658492113e+01
-5.504429148174288855e+00 1.397334577325763050e+00 2.157915080877022262e+01
-5.531277520449109808e+00 1.560374918343029549e+00 2.169256103517319190e+01
-5.645027734984667589e+00 1.133315208353523396e+00 2.106462795817969891e+01
-5.177257317800804337e+00 1.923746926858769690e+00 2.203699809600348658e+01
-5.835108556673156421e+00 9.288628108058882837e-01 2.115287703730714597e+01
-5.042033713128493133e+00 2.225900665380507348e+00 2.222373432384636516e+01
-5.104002386451426787e+00 2.315070653437165227e+00 2.212577776634327620e+01
-5.423933170372094992e+00 1.616872622365269407e+00 2.187945400572277777e+01
-5.351928437794533977e+00 1.463467631866535612e+00 2.189309824313172470e+01
-5.417924785696471623e+00 1.559974449245029149e+00 2.186168189203670309e+01
-5.399054079481862445e+00 1.623247912526337267e+00 2.180007885234016385e+01
-5.409454368079165576e+00 1.257955408586989066e+00 2.187197698831439752e+01
-5.128911606996668482e+00 2.084418113181614629e+00 2.217781859294685631e+01
-5.447789281169543862e+00 1.626275565914704124e+00 2.190203227678836839e+01
-5.387826916918884379e+00 1.457235351797574907e+00 2.169573609983208229e+01
-5.490834526180929487e+00 1.500734271683993093e+00 2.192161473301836594e+01
-5.443246687497522274e+00 1.607295350241341403e+00 2.172443990793508206e+01
-5.418390990574106780e+00 1.583333298823324853e+00 2.173532217987500914e+01
-5.485727470530338934e+00 1.466913131321184949e+00 2.167384393861347647e+01
-5.334173943496267611e+00 1.593457926328686547e+00 2.188354871132023760e+01
-4.934054737106650990e+00 2.588002289373142695e+00 2.223279655342138028e+01
-5.808586287515971947e+00 1.053925570881449225e+00 2.098077409158619488e+01
-5.599215047299299641e+00 1.191981866272090684e+00 2.164773232225168442e+01
-5.539972665883815317e+00 1.662276561760709370e+00 2.147435537227227087e+01
-5.513395020879986674e+00 1.449353280897097029e+00 2.170350855861148887e+01
-5.391140039421016716e+00 1.865682490682624817e+00 2.186525444254055373e+01
-5.525897852531363341e+00 1.351420620849004273e+00 2.175353113887170764e+01
-5.463037530451854806e+00 1.548190718512476138e+00 2.189435168030719581e+01
-5.533322295678979152e+00 1.533830174603448171e+00 2.188052253468490349e+01
-5.637269397513359870e+00 1.237692411607627108e+00 2.186757101512192847e+01
