logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -1.755773830456859469e+08 -1.755773890384002328e+08 nan
-1.755773890384002328e+08 nan -2.500000000000000052e-03 4.000000000000000000e+02 -1.455382379770955145e+08 -1.455382439723097980e+08 nan
-1.455382439723097980e+08 nan -5.000000000000000104e-03 4.000000000000000000e+02 -9.851677299727249146e+07 -9.851677899498677254e+07 nan
-9.851677899498677254e+07 2.216613118539307266e+07 -7.499999999999999722e-03 4.000000000000000000e+02 -9.344919127571524680e+07 -9.344919727592954040e+07 nan
-9.344919727592954040e+07 2.194327107921607327e+06 -1.000000000000000021e-02 4.000000000000000000e+02 -5.324730548713548481e+07 -5.324731148984976858e+07 nan
-5.324731148984976858e+07 1.498235838878447004e+07 -1.250000000000000069e-02 4.000000000000000000e+02 -2.571613478936545551e+07 -2.571614079457974061e+07 nan
-2.571614079457974061e+07 2.271312635918058455e+07 -1.500000000000000118e-02 4.000000000000000000e+02 -2.460159149630197883e+07 -2.460159750401626527e+07 nan
-2.460159750401626527e+07 1.063847039718651772e+07 -1.750000000000000167e-02 4.000000000000000000e+02 -1.345946115357660316e+07 -1.345946716379088908e+07 nan
-1.345946716379088908e+07 4.824683529097900726e+06 -2.000000000000000042e-02 4.000000000000000000e+02 -1.107950262136738747e+07 -1.107950863408167474e+07 nan
-1.107950863408167474e+07 1.121923418105335906e+06 -2.249999999999999917e-02 4.000000000000000000e+02 -7.057926949416852556e+06 -7.057932964631139301e+06 nan
-7.057932964631139301e+06 2.459061149367676582e+06 -2.499999999999999792e-02 4.000000000000000000e+02 -6.262082612487751059e+06 -6.262088630202038214e+06 nan
-6.262088630202038214e+06 2.029751224407552741e+06 -2.749999999999999667e-02 4.000000000000000000e+02 -5.116169463143847883e+06 -5.116175483358134516e+06 nan
-5.116175483358134516e+06 1.636452395986683667e+06 -2.999999999999999542e-02 4.000000000000000000e+02 -3.729800623660658021e+06 -3.729806646374944597e+06 nan
-3.729806646374944597e+06 9.631497781422310509e+05 -3.249999999999999417e-02 4.000000000000000000e+02 -3.257994261146531906e+06 -3.258000286360818427e+06 nan
-3.258000286360818427e+06 5.199242080900234869e+05 -3.499999999999999639e-02 4.000000000000000000e+02 -2.624169310554714873e+06 -2.624175338269001339e+06 nan
-2.624175338269001339e+06 6.657249933283537393e+05 -3.749999999999999861e-02 4.000000000000000000e+02 -2.475313332216317300e+06 -2.475319362430604175e+06 nan
-2.475319362430604175e+06 2.820071448502459680e+05 -4.000000000000000083e-02 4.000000000000000000e+02 -1.747717361573006958e+06 -1.747723394287293544e+06 nan
-1.747723394287293544e+06 3.624501718893442303e+05 -4.250000000000000305e-02 4.000000000000000000e+02 -1.630355209574882407e+06 -1.630361244789169170e+06 nan
-1.630361244789169170e+06 2.301931332265615929e+05 -4.500000000000000527e-02 4.000000000000000000e+02 -1.368913620197033044e+06 -1.368919657911319751e+06 nan
-1.368919657911319751e+06 3.037545116486560437e+05 -4.750000000000000749e-02 4.000000000000000000e+02 -1.366509972169052111e+06 -1.366516012383338762e+06 nan
-1.366516012383338762e+06 1.336243048226807150e+05 -5.000000000000000971e-02 4.000000000000000000e+02 -1.326205855673761573e+06 -1.326211898388048168e+06 nan
-1.326211898388048168e+06 1.780834758641031658e+04 -5.250000000000001193e-02 4.000000000000000000e+02 -1.048445822659106925e+06 -1.048451867873393581e+06 nan
-1.048451867873393581e+06 1.426340404720323277e+05 -5.500000000000001416e-02 4.000000000000000000e+02 -8.358337722019860521e+05 -8.358398199162727688e+05 nan
-8.358398199162727688e+05 1.427367724471150432e+05 -5.750000000000001638e-02 4.000000000000000000e+02 -7.651967031493283575e+05 -7.652027533636150183e+05 nan
-7.652027533636150183e+05 2.632461863769336196e+04 -6.000000000000001860e-02 4.000000000000000000e+02 -4.993407772167174844e+05 -4.993468299310041475e+05 nan
-4.993468299310041475e+05 1.373466804133150436e+05 -6.250000000000001388e-02 4.000000000000000000e+02 -4.780226282464536489e+05 -4.780286834607403143e+05 nan
-4.780286834607403143e+05 1.042825924044988060e+05 -6.500000000000001610e-02 4.000000000000000000e+02 -4.718691105079067638e+05 -4.718751682221934316e+05 nan
-4.718751682221934316e+05 1.080939515118908748e+05 -6.750000000000001832e-02 4.000000000000000000e+02 -4.697677331905602477e+05 -4.697737934048469178e+05 nan
-4.697737934048469178e+05 8.107739913414670445e+04 -7.000000000000002054e-02 4.000000000000000000e+02 -4.137568166903031524e+05 -4.137628794045898248e+05 nan
