src1.lognorm src2.lognorm src3.lognorm src1.logkT src1.lognH
-1.914085399667865950e+00 -2.368453315287840866e+00 -2.483489512935676657e+00 1.278187618843529272e-01 1.914486694914113585e+01
-1.852521556065192421e+00 -2.356670681312280635e+00 -2.361960734357932523e+00 1.106246288095467101e-01 2.088507029900138789e+01
-1.891208642681994512e+00 -2.408265918063870359e+00 -2.504452276610790840e+00 1.183729955162737824e-01 2.015927728367002558e+01
-1.890251828346250385e+00 -2.358350007643398527e+00 -2.349854083337194588e+00 1.132865392371882329e-01 2.105433811072107986e+01
-1.857864856500712314e+00 -2.413606652407291442e+00 -2.340891265526398257e+00 1.087512582677918616e-01 1.946161333214734057e+01
-1.894560816868506414e+00 -2.386596628002993548e+00 -2.361905131913854206e+00 1.165234476824159593e-01 1.908439839102317848e+01
-1.966963507402962108e+00 -2.393457888338981654e+00 -2.452468775001186430e+00 1.368450650949166736e-01 1.942768956317159379e+01
-1.912196760171634757e+00 -2.469163736993472469e+00 -2.612656129624429724e+00 1.226301079174305642e-01 1.950520131956634629e+01
-1.873852842790560302e+00 -2.395593515996297995e+00 -2.377204319366442498e+00 1.172907577603181650e-01 1.928206402253337970e+01
-1.905536233377474353e+00 -2.454393828666205479e+00 -2.418664067031954801e+00 1.233704565461413161e-01 1.970667896669527508e+01
-1.890730584080901444e+00 -2.397813585514094292e+00 -2.298612544443200179e+00 1.103870884665263397e-01 1.990430093631539776e+01
-1.910400739419738869e+00 -2.498535436048028302e+00 -2.389767843778141554e+00 1.308562480032784414e-01 1.936352814506588871e+01
-1.877458604402375997e+00 -2.370472056762434221e+00 -2.326156879585351334e+00 1.006030081786937203e-01 2.081605656021985595e+01
-1.855486657441442588e+00 -2.356361602789426968e+00 -2.361001236286790927e+00 1.065772927873314124e-01 1.914967374436022141e+01
-1.905833227851127631e+00 -2.379791464214113361e+00 -2.385300084569622392e+00 1.259646774337301878e-01 1.952038808439850115e+01
-1.891629523835661075e+00 -2.429987273889678612e+00 -2.388463084334764730e+00 1.146306031767747591e-01 1.988940009819123489e+01
-1.954616695398776471e+00 -2.429465279402661437e+00 -2.519576771471508714e+00 1.466096247559693921e-01 1.928764126739146079e+01
-1.994296000066855257e+00 -2.494468714774500384e+00 -2.451930659652352240e+00 1.570895321325984639e-01 1.933066541310679298e+01
-1.936078320737167680e+00 -2.412964407983078985e+00 -2.422747601037158915e+00 1.286898675050740515e-01 2.034702191601482468e+01
-1.889344391149482050e+00 -2.473281593138700885e+00 -2.418366604499368577e+00 1.201867233621460862e-01 2.006096742062779015e+01
-1.937967088118866421e+00 -2.475084452408973235e+00 -2.528289036966239856e+00 1.415061660665730692e-01 1.907828833487650400e+01
-1.905244337472453253e+00 -2.397470305548388581e+00 -2.448061843407923099e+00 1.192651496675911638e-01 2.012106398930935924e+01
-1.876928610727807367e+00 -2.373745583819604654e+00 -2.264664281392953171e+00 1.077074394630064269e-01 2.103208731283061894e+01
-1.898547539933713502e+00 -2.403991067387953429e+00 -2.340874618497494453e+00 1.113163716732548103e-01 2.055035436500494583e+01
-1.930862922710206320e+00 -2.420069552701621163e+00 -2.479437369082797993e+00 1.322612618927316852e-01 1.987759369706751045e+01
-1.872131486080229834e+00 -2.339087076637792251e+00 -2.393281079441569759e+00 1.109121889104098813e-01 2.035950002184270957e+01
-1.862002532634222440e+00 -2.396159812087020669e+00 -2.390065470605456710e+00 1.151114137107578372e-01 1.994431922922010259e+01
-1.850461248615281384e+00 -2.390134371474813335e+00 -2.269424433385294648e+00 1.132554584639047235e-01 1.987200169429346275e+01
-1.945150647187300130e+00 -2.431902167805196413e+00 -2.528406761876210496e+00 1.310896008419097925e-01 2.008272614547433932e+01
-1.962630524981790359e+00 -2.461795839129671926e+00 -2.518253327676916342e+00 1.381102757481746934e-01 1.967298913312612996e+01
-1.892524960452202976e+00 -2.358328283523977831e+00 -2.355713643497497678e+00 1.133979641066682476e-01 1.940048859463775699e+01
-1.947329694631827479e+00 -2.471124696194403114e+00 -2.443577166556179847e+00 1.452400611818869258e-01 1.948866415531509944e+01
-1.919619423305411132e+00 -2.437619928784099166e+00 -2.453499970257846385e+00 1.357188382567260376e-01 2.046233068189540560e+01
-1.964602406868812601e+00 -2.468017653350006668e+00 -2.506976664810805389e+00 1.419803623559228178e-01 1.951493662855419586e+01
-1.865265207717145657e+00 -2.334709669427497580e+00 -2.405303460487917988e+00 1.018305403585717528e-01 2.024831481648568143e+01
-1.958822250455567016e+00 -2.478403164241298917e+00 -2.460649205302326337e+00 1.340899260208230359e-01 1.929141718465960409e+01
-1.984609062894146625e+00 -2.457614495219955231e+00 -2.546063044679435450e+00 1.532205408597664409e-01 1.952111546180700685e+01
-1.885367641976876563e+00 -2.414511456815180424e+00 -2.416917325563490593e+00 1.227662653011996063e-01 2.000981006314655986e+01
-1.884604404201455807e+00 -2.309412425299729676e+00 -2.336854845458439911e+00 1.118209489867467710e-01 1.981279318391917244e+01
-1.872929765141627456e+00 -2.359749371906710635e+00 -2.396032423691915270e+00 1.074300590925676424e-01 1.942616360075604831e+01
-1.919642502350830782e+00 -2.434937234474407575e+00 -2.414454365860968288e+00 1.286550317436234714e-01 1.974163930881680784e+01
-1.915141095247368419e+00 -2.405554782829847582e+00 -2.364275417528657108e+00 1.176487165889850139e-01 1.943600738506420811e+01
-1.945171759315597271e+00 -2.496107503124714633e+00 -2.428261732020878583e+00 1.390891030721599364e-01 1.981723267600865057e+01
-1.853214380876778478e+00 -2.338701531905309494e+00 -2.345987075751130746e+00 1.035241061902310022e-01 1.941445368392252036e+01
-1.913492324422884749e+00 -2.480915216485929164e+00 -2.430560761528666625e+00 1.375391653442852302e-01 1.923615554425478180e+01
-1.902781394324873254e+00 -2.415025953505255174e+00 -2.400436645641936373e+00 1.235546094303550113e-01 2.000080103608387105e+01
-1.996512387115195075e+00 -2.519117319717029346e+00 -2.516193332095249424e+00 1.668744974760487665e-01 2.039302210974256724e+01
-1.964453707413428063e+00 -2.431301824521146848e+00 -2.392080788448376794e+00 1.359096920631754912e-01 1.998757679854337255e+01
-1.856967978893046656e+00 -2.395875323672825630e+00 -2.339466912527232267e+00 1.067869686911566696e-01 2.044322825551493139e+01
-1.866763536775746246e+00 -2.335581416905350594e+00 -2.353698688491842717e+00 1.053428780594103387e-01 1.998156734309565863e+01
-1.876850824642749771e+00 -2.424064796975795133e+00 -2.324448045387674355e+00 1.135786021918168132e-01 1.950002291765244067e+01
-1.906980155365657126e+00 -2.410333237029318454e+00 -2.471469526700073693e+00 1.253882491492421813e-01 1.986505958865847887e+01
-1.930348530756713643e+00 -2.407640071015828553e+00 -2.397560112599009585e+00 1.303357377200922151e-01 2.103074236276945896e+01
-1.919103661690340523e+00 -2.444456076992976179e+00 -2.358614540954230954e+00 1.344164984600313417e-01 2.072467968211200429e+01
-1.864060763694086909e+00 -2.406071066577278650e+00 -2.427192677806397469e+00 1.184488799232736866e-01 2.070121460105640310e+01
-1.994870775150165088e+00 -2.516749900138305129e+00 -2.453072209192368014e+00 1.534455766537665689e-01 1.953447254778505737e+01
-1.882598791567312801e+00 -2.395590566838070146e+00 -2.346188679394985321e+00 1.207607423939158764e-01 1.910986183826964790e+01
-1.977825625849903624e+00 -2.481971048411105052e+00 -2.472389883803313815e+00 1.490184314804685606e-01 1.923474077866523402e+01
