weight logl src1.lognorm src2.lognorm src3.lognorm src1.logkT src1.lognH
0.000000000000000000e+00 -6.605993490577442199e+07 9.619407444932053242e-01 1.566440537227228313e-01 6.247252408773684706e-01 9.938771089791451629e-01 3.080835985767560459e-01
0.000000000000000000e+00 -3.242974366198324040e+07 9.823401803974370905e-01 9.569893770452277959e-01 3.378700503248501796e-01 8.733989271888438211e-01 3.423345434128453046e-01
0.000000000000000000e+00 -2.378450776743251085e+07 9.961130364674124493e-01 2.163997523600025286e-02 3.076895362716058901e-01 8.610199501841802050e-01 9.821332039484154119e-02
0.000000000000000000e+00 -2.333487765807385370e+07 9.006658714074404770e-01 9.661081443848663630e-01 9.289116273912111366e-01 9.269620384067096541e-01 5.938380785246306637e-01
0.000000000000000000e+00 -1.776721551348633319e+07 9.453831193010702183e-01 5.756644110945088322e-01 2.146949154359035772e-01 9.179832273353618621e-01 1.003034143721319715e-01
0.000000000000000000e+00 -1.678244289926970750e+07 4.295407545806344540e-01 9.272845743237105864e-01 1.137896882685945910e-01 9.397493226659930921e-01 8.504804080358752127e-02
0.000000000000000000e+00 -1.460244298048490845e+07 3.058895885967979344e-01 9.179063881423952242e-01 6.658472860265994830e-01 9.455652445296796049e-01 1.226017340597377325e-01
0.000000000000000000e+00 -1.189244753355064988e+07 6.679468141496585076e-01 9.277642790423001884e-01 6.155733746357822112e-01 9.392809565938803340e-01 5.313060503857336414e-01
0.000000000000000000e+00 -1.001507606987494417e+07 9.128269847508255763e-01 1.289935155145248702e-01 7.959871755447733843e-02 9.310065637355696699e-01 1.159317278715399357e-01
0.000000000000000000e+00 -8.699116848150730133e+06 1.372567654412927274e-01 7.233806317258554275e-01 9.737417193292309259e-01 8.927920891247048685e-01 1.788019433507059830e-02
0.000000000000000000e+00 -8.314566172336869873e+06 8.347682494993938773e-01 8.894756050550851612e-01 1.911643062871912768e-01 9.347998256469176592e-01 1.262131810405812127e-01
0.000000000000000000e+00 -6.802539145054312423e+06 8.937411190596011856e-01 3.023758963544187495e-01 7.233702283066071326e-01 9.344404297765754874e-01 8.849748336399232418e-02
0.000000000000000000e+00 -4.794534648234494030e+06 8.831995452671325131e-01 9.009335374054000534e-01 1.961411508481942789e-01 9.113860193913567720e-01 5.970174641775869429e-01
0.000000000000000000e+00 -2.804385528437982313e+06 9.979622918841263290e-01 9.776652137280892330e-01 8.019778849092678019e-01 8.295272210774701227e-01 6.812426979611844180e-01
0.000000000000000000e+00 -1.884937802616720088e+06 3.464039306801215412e-01 7.971622616224038893e-02 9.412019789075664056e-01 8.617792171345132202e-01 4.762732088062076041e-01
0.000000000000000000e+00 -1.597984184777600924e+06 6.032835690727660349e-01 9.371461615989922223e-01 1.571101101295123703e-01 7.959388915515990259e-01 3.486667611272136202e-01
0.000000000000000000e+00 -1.591723102932486217e+06 8.998184048535510238e-01 3.366591320258820463e-01 5.912573200438456800e-01 8.352951707885613031e-01 2.755771964417267350e-01
0.000000000000000000e+00 -1.576411379590398166e+06 6.195066229331241958e-01 3.695007711926719951e-01 9.017183177761814994e-01 8.899952346305084472e-01 8.104283180788363072e-02
0.000000000000000000e+00 -1.562569054547299165e+06 4.856570687675116904e-01 5.152634808921833232e-01 9.840914428372486977e-01 7.921401290420946317e-01 3.356061193506980622e-01
0.000000000000000000e+00 -1.333018750722675119e+06 6.224171845552983751e-01 8.805334144697278820e-01 2.914781122369058952e-02 9.739276749494618635e-01 6.962761664692140862e-01
0.000000000000000000e+00 -1.250780686500773998e+06 5.675885626130156014e-01 6.550761476141798711e-01 8.281589963650233255e-01 9.979209879711088416e-01 1.133450861841861501e-01
0.000000000000000000e+00 -1.158568969261960359e+06 7.430825577860404874e-01 8.838857539654797479e-01 3.660986368506310429e-01 8.333314003939924497e-01 7.381861554605018139e-02
0.000000000000000000e+00 -1.086595400509808911e+06 2.198290494855754673e-01 2.639780900095008986e-01 8.333067143193773063e-01 9.811984009027467923e-01 2.640618780409488275e-01
0.000000000000000000e+00 -1.018822124245858169e+06 7.352391412285450567e-01 2.951466339625619106e-03 8.976237661906475429e-01 8.688135197618183092e-01 3.610818813263951821e-01
0.000000000000000000e+00 -8.086988704852687661e+05 7.388869122547860879e-01 3.368325948261785552e-02 8.274876881509511950e-01 9.430483579809055827e-01 7.367195257275149789e-02
