src1.lognorm src2.lognorm src3.lognorm src1.logkT src1.lognH
-3.556636871981291748e+00 -4.046719700088331706e+00 -4.014024808244410991e+00 1.422402324380785288e+00 2.205222081763148623e+01
-3.563288338731390503e+00 -4.116043536830147787e+00 -3.997846639611493558e+00 1.313911746796993629e+00 2.200520330268422242e+01
-3.566063704311022597e+00 -4.102108930694646105e+00 -4.109521776026404893e+00 1.115589729540361397e+00 2.205097907939265056e+01
-3.583004335963581255e+00 -4.089292435631890932e+00 -4.006939336448026800e+00 1.461437912265205696e+00 2.197817769421321898e+01
-3.565315484928166079e+00 -4.086715224791581669e+00 -4.163726671027029091e+00 1.359042871331458180e+00 2.200182919133121828e+01
-3.515489974843138299e+00 -3.998636309226396790e+00 -4.050133134132419599e+00 1.377708218848260113e+00 2.198832707089862382e+01
-3.534470198686686437e+00 -4.043863959373101835e+00 -4.061260727274923710e+00 1.446390984184365180e+00 2.197581805744833616e+01
-3.580318848407215704e+00 -4.122012198059556098e+00 -4.038684853397660035e+00 1.467923511152845695e+00 2.196929795811044528e+01
-3.536495577053886841e+00 -4.050604138759596573e+00 -3.990547640172828814e+00 1.462894731239688273e+00 2.199381279795148814e+01
-3.574631384768674813e+00 -4.089973944050274923e+00 -4.147589662172112668e+00 1.305096564089865740e+00 2.201530795553863484e+01
-3.515728847388865042e+00 -4.051214747980127484e+00 -4.053001099910570559e+00 1.418152652267193670e+00 2.209412938307156793e+01
-3.538883998458072888e+00 -4.145397214549493725e+00 -4.090839819202551908e+00 1.459743455535938761e+00 2.197694094211721705e+01
-3.544253533813084722e+00 -4.052012089886389390e+00 -4.122831146461851226e+00 1.460370140514062332e+00 2.203307084021129114e+01
-3.536124841198502899e+00 -4.034936222900555869e+00 -4.165583756800616655e+00 1.374253549586211154e+00 2.204106428362455716e+01
-3.562085662710211764e+00 -4.123886948391878526e+00 -4.054427891360701253e+00 1.324579844358157565e+00 2.204934561641336188e+01
-3.520746419591042731e+00 -4.083257451278674566e+00 -4.064337615998677933e+00 1.155557797219156857e+00 2.209439806739287704e+01
-3.520847367233128189e+00 -4.028870080530076336e+00 -4.045922603042240162e+00 1.469162819445462898e+00 2.198865923855063542e+01
-3.539216064251632154e+00 -4.072955034114023043e+00 -4.106336769058895442e+00 1.355306376833347315e+00 2.198052319243339170e+01
-3.541809366495128231e+00 -4.011545993825293976e+00 -4.163859603744056059e+00 1.465893813086721398e+00 2.197520351515625237e+01
-3.511331994327074213e+00 -3.996418330211110259e+00 -4.077290531306003274e+00 1.413398591170906382e+00 2.204074194255761654e+01
-3.563111664669477818e+00 -4.065696207620060676e+00 -4.016693937966953065e+00 1.277046477347759890e+00 2.205052002069586337e+01
-3.521839831041430280e+00 -4.099814676501722488e+00 -3.996570497063643757e+00 1.334318786147786540e+00 2.206498507299065892e+01
-3.570280956536418415e+00 -4.089229805899041281e+00 -4.172390748332465371e+00 1.339477127690403169e+00 2.204264053120012790e+01
-3.590917500206684210e+00 -4.021083742734713695e+00 -4.061246313480626924e+00 1.219122128477990064e+00 2.202322944315299225e+01
-3.506030269548155331e+00 -4.085396103474363549e+00 -4.002239591647338557e+00 1.433849878865508742e+00 2.205175789791293539e+01
-3.550664647999152379e+00 -4.000747950473820147e+00 -4.002627374141455974e+00 1.469092369927043951e+00 2.199712235701825591e+01
-3.559671944199808813e+00 -4.078538682386946945e+00 -4.060321981923314283e+00 1.400569307470178160e+00 2.195348842348085583e+01
-3.538414618514075016e+00 -4.021579948402566274e+00 -3.948623352109425610e+00 1.393908672043636887e+00 2.197736107032113750e+01
-3.538333276988277376e+00 -4.085573101322840905e+00 -4.055513692429537187e+00 1.333964412902476582e+00 2.199539872510450422e+01
-3.585144514440924191e+00 -4.064533057988862552e+00 -4.124717258217134308e+00 1.440874973630262179e+00 2.197792342496731521e+01
-3.529450035314932954e+00 -4.045103523301766479e+00 -4.137884201049509159e+00 1.431368894037802875e+00 2.200036278876390128e+01
-3.566063704311022597e+00 -4.102108930694646105e+00 -4.109521776026404893e+00 1.115589729540361397e+00 2.205097907939265056e+01
