weight logl src1.lognorm src2.lognorm src3.lognorm src1.logkT src1.lognH
0.000000000000000000e+00 -5.021213350776701570e+08 9.904541231732695294e-01 4.049259022496164429e-01 7.597763411297716596e-01 3.546444336945291376e-01 2.209884285795482572e-01
0.000000000000000000e+00 -4.624193961691933870e+08 1.802872416476831718e-01 9.839851039795503018e-01 7.031026352660018075e-01 3.802207193869949764e-01 8.498407420458420347e-02
0.000000000000000000e+00 -3.531572410548762083e+08 9.962639384789579999e-01 2.114927409947456871e-01 3.970385645589676882e-01 5.628244955860325360e-01 2.231515883170681613e-01
0.000000000000000000e+00 -3.519016537187544107e+08 9.120033066170439850e-01 9.859915947724198215e-01 3.946985121269886987e-01 8.179464703272428805e-01 1.024801778897188598e-04
0.000000000000000000e+00 -3.414024430768841505e+08 9.918910146994958099e-01 7.463946242422414556e-01 5.533549016018046718e-02 6.864085954097403075e-01 7.575792263589287145e-03
0.000000000000000000e+00 -2.908307801418702006e+08 9.894924245738455637e-01 7.105462035993084235e-01 1.021426227604638193e-02 5.486110417513362369e-01 2.664600251404593001e-01
0.000000000000000000e+00 -2.871891120948615670e+08 1.238735061257202341e-01 9.858005665399051098e-01 3.763766449108866263e-01 2.790130664305144892e-01 3.254162339015537198e-01
0.000000000000000000e+00 -2.838713220960234404e+08 8.229324477035869778e-01 9.677745770011659809e-01 6.386728771966972973e-01 4.236481044967816967e-01 1.008814869855287899e-01
0.000000000000000000e+00 -2.357924531933436394e+08 9.851781754050699114e-01 7.803366052334415048e-02 8.666013984488929456e-02 4.805126117725457835e-01 3.439020369921387266e-01
0.000000000000000000e+00 -2.284902828278661668e+08 9.728395338189413932e-01 1.350887395691003912e-01 9.057517539397287321e-01 6.160982791050956253e-01 2.034088246927147070e-01
0.000000000000000000e+00 -2.282991345702568293e+08 9.814848763747061611e-01 5.695201390510880035e-01 3.304781144085217059e-01 2.030324655091559904e-01 1.828558863662644862e-01
0.000000000000000000e+00 -2.014929573112304807e+08 3.797869018680598563e-01 9.062687719442029666e-01 9.688275574962604830e-01 3.062078046374900886e-01 2.388046671478899485e-01
0.000000000000000000e+00 -1.716942699628641605e+08 9.627480526742298039e-01 2.348834321401238601e-02 1.868774462689144489e-01 6.283543805956457451e-01 8.990682418673179299e-03
0.000000000000000000e+00 -1.691200611019524336e+08 1.630638345548314216e-01 7.161886493542539700e-01 9.786945092912759936e-01 3.904484828302572375e-01 1.511351087075053501e-01
0.000000000000000000e+00 -1.672220039897883832e+08 9.647866638851989585e-01 3.118057129375519931e-01 1.959441246861582941e-01 3.289839497665456580e-01 3.528538990397124264e-01
0.000000000000000000e+00 -1.602004100432935059e+08 9.582261003503592667e-01 4.759479795812362468e-01 8.561759843416255622e-01 6.340643627988089559e-01 1.131841123560650697e-01
0.000000000000000000e+00 -1.491815468421916664e+08 6.638074748124660474e-01 9.973173762388165553e-01 5.998758989332675373e-02 6.429516909455322837e-01 4.647102257373602052e-01
