src1.lognorm src2.lognorm src3.lognorm pl1.PhoIndex src1.lognH
-4.285061540723633655e+00 -4.796652975338371760e+00 -4.830174020289295989e+00 1.245967918539357733e+00 2.201440101553965434e+01
-4.409715782705175613e+00 -4.927726242204483853e+00 -4.989762779955574601e+00 1.062005882422929481e+00 2.185185532222634919e+01
-4.580973293245566680e+00 -5.018624590190210455e+00 -5.071056492017218531e+00 7.614439676000990254e-01 2.166163689044193319e+01
-4.460229180754627265e+00 -4.979931365789642683e+00 -4.978906369908651541e+00 8.850953164098616099e-01 2.180337796563057395e+01
-4.373892952957262104e+00 -4.879840574909147577e+00 -4.865230073390867105e+00 1.121139646585509908e+00 2.195500992227700721e+01
-4.459739708452430840e+00 -4.995525911936741892e+00 -4.941367468106897753e+00 9.748830462071196301e-01 2.180863457745581968e+01
-4.547554589321497254e+00 -5.064050054909449372e+00 -5.068308308089359393e+00 8.277471179180504457e-01 2.160450622329481973e+01
-4.423420705245934670e+00 -4.913939583833265345e+00 -4.846749575713889868e+00 1.002115001466021837e+00 2.176060013004376259e+01
-4.521447804152908034e+00 -5.037568265447387006e+00 -5.063280914384350240e+00 8.311765180963299748e-01 2.170208942308451583e+01
-4.465636770086826246e+00 -5.023701453959064978e+00 -4.911273581064087068e+00 9.152269070363470149e-01 2.179773840338935642e+01
-4.375517544922066016e+00 -4.951034989254146979e+00 -4.907875008464435140e+00 1.067698654550344628e+00 2.189324142502175619e+01
-4.487132362165464627e+00 -5.051176541313397550e+00 -4.895160010373659887e+00 9.509186654397412397e-01 2.179382937670727216e+01
-4.482224482195540816e+00 -4.995256316964603371e+00 -4.968176141237539589e+00 9.595698968944756935e-01 2.179731922778493924e+01
-4.522912372209901832e+00 -5.007356721305722402e+00 -4.995684842906344514e+00 8.642368264420756674e-01 2.176517477739982809e+01
-4.389938008567649597e+00 -5.000026820359428470e+00 -4.924919919938753665e+00 1.007681732076644465e+00 2.187145387148406783e+01
-4.555655923745195679e+00 -5.075894536456615924e+00 -5.034422045029163684e+00 7.616584801518304637e-01 2.161877539857887953e+01
-4.514188423208965517e+00 -5.030924760855820743e+00 -4.922793452496609490e+00 8.341970902607420690e-01 2.175385233037979305e+01
-4.462086547778060464e+00 -4.992344258855052175e+00 -4.913418682628593714e+00 8.967278848565101157e-01 2.180452588316848406e+01
-4.519900785645426744e+00 -5.048385560898180913e+00 -5.036431612553114334e+00 8.324974966159897072e-01 2.171985620730372801e+01
-4.608777939224097508e+00 -5.152482226143580313e+00 -5.044009144904020303e+00 6.604954744241884335e-01 2.150380225524270017e+01
-4.457819898726086194e+00 -4.974487245307004812e+00 -4.917521403075309827e+00 9.652448743789325825e-01 2.183369058054000433e+01
-4.420920059766495491e+00 -4.931281043909658379e+00 -4.901019941254300960e+00 1.056206137522603505e+00 2.185018976721206130e+01
-4.428896859094179739e+00 -4.957173750959582570e+00 -4.956503334086845847e+00 1.003945334700761194e+00 2.174175723196994880e+01
-4.544921802906145558e+00 -5.056106319181267850e+00 -4.968413778537550840e+00 8.320619188641962261e-01 2.166236770134241496e+01
-4.417822386970170712e+00 -4.986478238977613664e+00 -4.881194711282358156e+00 9.516229492210817043e-01 2.188051927981942413e+01
-4.529851880043825219e+00 -5.113026853443471964e+00 -4.976522649223810824e+00 8.582687610378374465e-01 2.161705182777057743e+01
-4.549895404209575389e+00 -5.020890370389060386e+00 -5.048242845218693375e+00 8.591748631111344459e-01 2.173995113563189108e+01
-4.470740133926122795e+00 -4.956829407661052400e+00 -4.893411220578249399e+00 9.417641570936448048e-01 2.171607177557994106e+01
-4.460446226859239971e+00 -5.008113853291592754e+00 -4.879036998291558014e+00 8.710140433714190777e-01 2.178929650913098115e+01
-4.482472326846203003e+00 -4.968455611167205355e+00 -4.993936251898182022e+00 9.354964385502775315e-01 2.169043123966105568e+01
-4.529006385381954658e+00 -5.019964455263914438e+00 -5.014235324455192711e+00 8.265235547512612690e-01 2.170113785348614499e+01
-4.462504059385347333e+00 -4.967153879461890575e+00 -4.933177594930841181e+00 9.660529397083874592e-01 2.182971249246563517e+01
-4.413053759007720345e+00 -4.953908053929787059e+00 -4.933020290399868557e+00 9.811486557228481509e-01 2.186190852218440739e+01
-4.450537085759568967e+00 -4.985004806940470878e+00 -4.906866357200681428e+00 9.754718945797495877e-01 2.183368326723829611e+01
-4.406153237542973500e+00 -4.931010155337956391e+00 -4.880144332539749108e+00 1.033200198982894058e+00 2.187282593598924763e+01
-4.539524321624526237e+00 -5.099034588857691119e+00 -5.026095147891134651e+00 7.863839620554942123e-01 2.170022547073152452e+01
-4.385024097464311765e+00 -4.893682605882072600e+00 -4.887889773288222273e+00 1.109655441890302185e+00 2.188241414946074315e+01
-4.492796451263241231e+00 -5.015970837713945585e+00 -5.008308957389070670e+00 9.302306480705504477e-01 2.177523927517617608e+01
-4.540484468356400072e+00 -5.057820697500028828e+00 -5.028394588665241471e+00 8.321669661509782934e-01 2.171028246022122232e+01
