name,powlaw_nh,detect_stack_id,obsid,obi,region_id,var_prob_b,ks_prob_b,kp_prob_b,src_cnts_aper90_b,flux_aper90_b,flux_aper90_lolim_b,flux_aper90_hilim_b,src_cnts_aper90_lolim_b,src_cnts_aper90_hilim_b
2CXO J085927.0-434528,183.616,acisfJ0859271m434510_001,6433,0,244,0.99999772127001,0.9999998978290437,0.9999999472202746,6082.4601287333,1.5171247361289e-12,1.4935339789232e-12,1.5407154933346e-12,5987.818306483,6177.1019509836
2CXO J172508.8-341112,88.0815,acisfJ1726017m341446_001,10988,0,250,0.089001499846277,0.901641935939825,0.5747346415518,2174.0827232306,6.5150428874996e-13,6.3351868772364e-13,6.6843191324532e-13,2117.4975688681,2227.5242579063
2CXO J172508.8-341112,88.0815,acisfJ1724433m341212_001,4477,1,266,0.019448618091521,0.008697492883739999,0.055376701288139984,4149.0425747053,1.1203542927826e-12,1.0995686845846e-12,1.1411399009806e-12,4073.7447406041,4224.3404088066
2CXO J085905.6-473041,186.383,acisfJ0859206m473014_001,2556,0,169,0.093726600485731,0.975118298076196,0.989917432110996,6568.3346429769,6.9851049190883e-13,6.8824218058207e-13,7.087788032356e-13,6471.7657646121,6664.9035213417
2CXO J174216.9-283707,155.638,acisfJ1742247m283114_001,8206,0,1,0.99999999719442,0.9999999999998965,0.9999999999997053,608.21580227922,7.4181811242439e-13,7.0402690251438e-13,7.7738630998675e-13,577.25353375491,637.35676089034
2CXO J174216.9-283707,155.638,acisfJ1741541m284039_001,9565,1,15,0.15990046690461,0.89662946502829,0.935456514948982,299.51689725069,3.4053646878287e-13,3.1720871452821e-13,3.6386422303753e-13,279.02916778728,320.00462671409
2CXO J174347.2-314025,25.4147,acisfJ1743460m314108_001,8752,0,1,0.12965008821968,0.49990749523149003,0.39407360494388,114.50538298963,4.6238969643456e-13,4.0793245532582e-13,5.1364357041926e-13,101.81449954841,127.19626643086
2CXO J174347.2-314025,25.4147,acisfJ1744513m314125_001,8763,0,1,0.081129686192009,0.007832715066649953,0.023486214837330044,171.94122309846,6.926073969204e-13,6.1948850241861e-13,7.657262914222e-13,155.66437884022,188.2180673567
2CXO J085932.2-434602,146.155,acisfJ0859271m434510_001,6433,0,242,1.0,1.0,1.0,1636.8864637894,3.9736952500413e-13,3.8493072487378e-13,4.0907663100917e-13,1588.7266827537,1685.0462448251
2CXO J063805.1-801854,1.21527e-07,acisfJ0638293m801452_001,14925,0,2,1.0,0.9999725930811731,0.9999948789722107,537.90518032784,2.7571427703429e-13,2.6089520818194e-13,2.8966163595415e-13,509.01713439142,565.09392944446
2CXO J085928.0-434510,351.532,acisfJ0859271m434510_001,6433,0,97,1.0,1.0,1.0,883.5578953145,2.6217701754305e-13,2.5147800215017e-13,2.722466790893e-13,847.47751577939,917.51589958284
2CXO J173411.3-293117,,acisfJ1733424m292923_001,10021,0,2,0.88197463264762,0.948280173041091,0.918597451294153,30.871424870164,2.7271239941165e-13,2.1175315719022e-13,3.3046326046353e-13,24.050993794197,37.3328858895
2CXO J173411.3-293117,,acisfJ1734463m292959_001,9997,0,13,,,,14.703537702923,2.2862353595593e-13,1.4840475140999e-13,3.0483138127458e-13,9.6138515749878,19.793223830857
2CXO J085926.2-434527,284.668,acisfJ0859271m434510_001,6433,0,245,0.61864352504175,0.988964403423274,0.984700813428226,1035.2710361181,2.2153019288566e-13,2.1311690824474e-13,2.2994347752658e-13,995.91707400618,1074.62499823
2CXO J005806.2-460419,,acisfJ0058071m460435_001,10153,0,3,0.14073529503644,0.79639962900332,0.47279335457771,76.804787078292,2.2004810709153e-13,1.8976289726115e-13,2.5033331692192e-13,66.324229776203,87.285344380381
2CXO J174042.0-280724,,acisfJ1741232m280838_001,8202,0,7,1.0,1.0,1.0,376.63296754127,6.004427267031e-13,5.5926528744449e-13,6.4162016596171e-13,350.79898635865,402.46694872388
2CXO J174042.0-280724,,acisfJ1740415m281352_001,7526,0,25,0.97280788119906,0.7203003321268999,0.975748789168464,16.667170218378,1.4459435949408e-13,1.0121605164586e-13,1.8556276135073e-13,11.494600150606,21.839740286151
2CXO J174042.0-280724,,acisfJ1740363m280227_001,8199,0,63,0.98981729063258,0.33752597402479,0.7496008248786,53.922043695539,1.3216847136653e-13,1.1086204926205e-13,1.5347489347101e-13,45.103718024137,62.740369366942
2CXO J173657.4-285630,,acisfJ1736300m285437_001,9994,0,5,0.19675449573994,0.25421682012984004,0.40851056438769995,17.402180737394,2.1874186478471e-13,1.5419508501217e-13,2.7970271234766e-13,12.181526516176,22.332798612989
2CXO J173657.4-285630,,acisfJ1737339m285509_001,8701,1,10,0.38579043456958,0.50393801767068,0.73601817997165,11.072218320355,1.7506350561969e-13,1.0801790772279e-13,2.421091035166e-13,6.9201364502217,15.224300190488
2CXO J173927.6-272112,,acisfJ1739506m272214_001,10004,0,4,0.031450972467605,0.85040782113012,0.7091250712139601,21.24165827477,1.9241421580506e-13,1.4049291947671e-13,2.4128131823174e-13,15.509782232372,26.636365138204
2CXO J175039.6-302056,,acisfJ1750581m301833_001,13542,0,1,0.19332846436064,0.17515716850681995,0.5047802091286699,17.145752745737,1.8057577969896e-13,1.2764839599409e-13,2.3350316340382e-13,12.120273492676,22.171231998798
2CXO J085902.1-473016,189.958,acisfJ0859206m473014_001,2556,0,204,0.14900065457022,0.903087273040255,0.63005896630892,1125.3998680349,1.6278330538665e-13,1.570213751967e-13,1.6854523557659e-13,1085.5638345422,1165.2359015277
2CXO J085903.2-434834,134.401,acisfJ0859271m434510_001,6433,0,16,0.99956327696729,0.999981118436279,0.9998735785862305,910.95215521156,1.5890236123255e-13,1.5252760825876e-13,1.6527711420634e-13,874.52106414279,947.38324628034
2CXO J175020.7-302652,,acisfJ1750248m303035_001,13543,0,1,0.20157581319615,0.8998486304695,0.82417752655053,48.576090591074,1.604710704045e-13,1.3267214217351e-13,1.882699986355e-13,40.179237255937,56.972943926212
2CXO J175020.7-302652,,acisfJ1749527m301750_001,8766,0,12,,,,40.636993548545,3.8482267824521e-13,3.0870390672418e-13,4.5671262912618e-13,32.509594838836,48.312870107714
2CXO J161701.5-501628,,acisfJ1617152m502328_001,12415,1,5,0.99999999993517,0.9999999999997825,0.9999999999994134,33.735799945286,1.5596447809727e-13,1.2332075012342e-13,1.8860820607111e-13,26.674818561389,40.796781329183
2CXO J174036.5-280840,,acisfJ1740363m280227_001,8199,0,1,0.72045734601931,0.980384527610137,0.959971231856631,111.69903928126,1.6726395621193e-13,1.4882947606213e-13,1.8569843636172e-13,99.385183912392,124.01289465012
2CXO J174036.5-280840,,acisfJ1740415m281352_001,7526,0,8,0.50669986408738,0.5937989107567401,0.84432846757506,15.364656611597,5.5385043517193e-14,3.7895029774921e-14,7.2875057259464e-14,10.512659786882,20.216653436312
2CXO J174036.5-280840,,acisfJ1740080m281229_001,8200,0,16,0.99504615726196,0.9998863527861812,0.9994150459652402,181.6601595074,2.6878206405454e-13,2.445460448462e-13,2.9159243507416e-13,165.28978312798,197.06757257038
2CXO J173249.6-372111,,acisfJ1732532m371142_001,12683,0,5,0.75035435758461,0.913943183765532,0.76205174822705,20.578387371096,9.7600278436773e-14,6.5066852291182e-14,1.2832629201872e-13,14.649021518407,26.507753223785
2CXO J175709.5-272532,,acisfJ1756480m271940_001,8730,0,3,0.76867166417067,0.49454929033535,0.86534684438734,25.541889898219,1.3387069193587e-13,1.0141719086051e-13,1.6632419301124e-13,19.34991658956,31.733863206878
2CXO J175709.5-272532,,acisfJ1757190m273143_001,8740,0,3,0.85453214217455,0.985596563026047,0.959581353176308,17.868140627423,1.1832592911763e-13,8.5349850511074e-14,1.5130200772418e-13,12.888494878797,22.847786376049
2CXO J174237.6-283726,,acisfJ1743106m283727_001,8208,0,38,0.20845314392607,0.65505863053707,0.931226072638446,51.56449730002,1.2859117941093e-13,1.0679377790536e-13,1.5038858091649e-13,42.743831641817,60.385162958223
2CXO J174237.6-283726,,acisfJ1742247m283114_001,8206,0,50,0.11584604165921,0.27683891345569,0.20871977645471995,50.810988542818,9.9815075731044e-14,8.3022247394945e-14,1.1660790406714e-13,42.242161967893,59.379815117742
2CXO J085910.9-434343,585.972,acisfJ0859271m434510_001,6433,0,252,1.0,0.999999999999933,1.0,349.93368809119,1.1530540398151e-13,1.0788576231655e-13,1.2272504564647e-13,327.41380609951,372.45357008287
2CXO J175147.9-301046,,acisfJ1751312m300633_001,13541,0,1,0.34437400074593,0.44826591587693,0.50554879357285,12.961553599308,9.0633942579763e-14,6.0971925008204e-14,1.2029596015132e-13,8.7195906031708,17.203516595445
2CXO J175147.9-301046,,acisfJ1752024m301842_001,13564,0,5,0.80256005847506,0.985073732511066,0.943669545214818,19.489334900157,2.0789011108852e-13,1.4995352275237e-13,2.6582669942466e-13,14.057880911588,24.920788888725
