name,powlaw_nh,detect_stack_id,obsid,obi,region_id,var_prob_b,ks_prob_b,kp_prob_b,src_cnts_aper90_b,flux_aper90_b,flux_aper90_lolim_b,flux_aper90_hilim_b,src_cnts_aper90_lolim_b,src_cnts_aper90_hilim_b
2CXO J085927.0-434528,183.616,acisfJ0859271m434510_001,6433,0,244,0.99999772127001,0.9999998978290437,0.9999999472202746,6082.4601287333,1.5171247361289e-12,1.4935339789232e-12,1.5407154933346e-12,5987.818306483,6177.1019509836
2CXO J174237.6-283726,,acisfJ1743106m283727_001,8208,0,38,0.20845314392607,0.65505863053707,0.931226072638446,51.56449730002,1.2859117941093e-13,1.0679377790536e-13,1.5038858091649e-13,42.743831641817,60.385162958223
2CXO J174237.6-283726,,acisfJ1742247m283114_001,8206,0,50,0.11584604165921,0.27683891345569,0.20871977645471995,50.810988542818,9.9815075731044e-14,8.3022247394945e-14,1.1660790406714e-13,42.242161967893,59.379815117742
2CXO J033532.7-072741,,acisfJ0335326m073151_001,5628,0,4,0.52181293575591,0.9623907512900189,0.907445072815822,96.396306986997,1.1271869260878e-13,9.8786122737424e-14,1.2583169954652e-13,84.405025801388,107.6822186911
2CXO J103143.2+573252,19.6684,acisfJ1032042p573715_001,3345,0,10,0.075964591454061,0.35582982621918,0.15013482699220004,396.73850379986,1.0486965656152e-13,9.8475765690234e-14,1.112635474328e-13,372.66784209099,420.80916550873
2CXO J184316.0-322414,67.6614,acisfJ1843137m321742_001,8958,0,3,0.27859176033707,0.60192625657673,0.78504481377763,56.925068265541,9.4451864967229e-14,7.9176003254831e-14,1.0972772667963e-13,47.832280520679,66.017856010404
2CXO J184316.0-322414,67.6614,acisfJ1843137m321742_001,9955,1,3,0.069499636397439,0.19760328155255003,0.14124430568789004,390.89186795826,8.1376380223662e-14,7.6276347321928e-14,8.6476413125396e-14,366.70099963824,415.08273627828
2CXO J174457.8-290509,,acisfJ1745067m290719_001,7035,0,25,0.27590874940745,0.29150778745516004,0.0693533591894,93.697470027866,8.8766033974013e-14,7.7996831107879e-14,9.9535236840148e-14,82.323425245753,105.07151480998
2CXO J174457.8-290509,,acisfJ1744234m290019_001,2295,0,60,,,,,,,,,
2CXO J174457.8-290509,,acisfJ1745090m290626_001,2293,0,66,,,,,,,,,
2CXO J174457.8-290509,,acisfJ1744217m290116_001,7036,0,123,0.075970810966074,0.79419053362078,0.89548302026679,37.425034542447,8.239202563399e-14,6.5539111299765e-14,9.9244939968215e-14,28.959848157846,45.444684801543
2CXO J174457.8-290509,,acisfJ1744217m290116_001,8567,0,123,0.16413059182092,0.06529642234333,0.24170845706407995,48.668894490248,8.9942913998782e-14,7.3816673319499e-14,1.0606915467807e-13,39.675729204007,57.66205977649
2CXO J174457.8-290509,,acisfJ1743554m291017_001,2268,0,569,,,,,,,,,
2CXO J174457.8-290509,,acisfJ1743518m291114_001,7039,0,573,,,,0.0,1.3917452567528e-13,1.1259062751258e-13,1.6575842383797e-13,0.0,47.170783093231
2CXO J174457.8-290509,,hrcfJ1743521m290027_001,6196,0,1323,,,,,,,,,
2CXO J174457.8-290509,,hrcfJ1743521m290027_001,6197,0,1323,,,,,,,,,
