P_AGN,P_CV,P_HM-STAR,P_HMXB,P_LM-STAR,P_LMXB,P_NS,P_YSO,e_P_AGN,e_P_CV,e_P_HM-STAR,e_P_HMXB,e_P_LM-STAR,e_P_LMXB,e_P_NS,e_P_YSO,Class,Class_prob,Class_prob_e,name,CT,X_name,FGL,ra,dec,r0,significance,Fcsc_s,e_Fcsc_s,Fcsc_m,e_Fcsc_m,Fcsc_h,e_Fcsc_h,flux_aper90_ave_b,e_flux_aper90_ave_b,var_intra_prob,var_inter_prob,MW_MW,MW_counts,match_flag,p_any,p_i,Gmag,BPmag,RPmag,e_Gmag,e_BPmag,e_RPmag,RPlx,PM,epsi,sepsi,ruwe,rgeo,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,W1mag,W2mag,W3mag,e_W1mag,e_W2mag,e_W3mag,r_hat,X_PA,G_ra,G_dec,G_aF,G_bF,G_PA,sep,Fb,HR_hms,popup,shape,color
9.99000999000999e-06,0.1287262737262737,0.0407292707292707,0.0091208791208791,0.0572827172827172,0.5995104895104896,0.0008341658341658,0.1637862137862137,0.0003160697706205,0.063490558345324,0.0287196384442358,0.0108363450307921,0.0309315209941087,0.0941714401496554,0.0032293144053299,0.0687466380978026,LMXB,0.5995104895104896,0.0941714401496554,2CXO J181833.8-134450-1,2.674499235514239,2CXO J181833.8-134450,J1818.0-1339c,274.6411297153285,-13.747278252906051,0.419608884020866,12.070368268698736,2.1835456844537187e-15,4.2797030660449996e-16,5.597080685468201e-15,7.557851982932001e-16,2.316115814891936e-14,2.903134886251464e-15,3.094178451884128e-14,3.030274247830473e-15,0.9999941521965812,,gt,1,1,0.99861324,1.0,18.278177,19.377619,16.936192,0.003971,0.078075,0.017761,1.3425,0.001719,0.0,0.0,0.961,4379.36035,14.369,13.207,12.02,0.051,0.112,,,,,,,,0.9007610268219768,128.50384533631836,274.5187,-13.6527,0.1964,0.159,73.22,0.1519648274096894,3.094178451884128e-14,0.497079661634636,"        cat.addSources([A.marker(274.6411297153285, -13.747278252906051, {popupTitle: '2CXO J181833.8-134450', popupDesc: '274.641130 -13.747278 0.42"" <a target=""_blank"" href=""https://simbad.u-strasbg.fr/simbad/sim-coo?CooDefinedFrames=none&CooEpoch=2000&Coord=274.6411297153285%20-13.747278252906051&submit=submit%20query&Radius.unit=arcsec&CooEqui=2000&CooFrame=FK5&Radius=20"">Simbad</a><br/>Fb=3.1e-14 HR_h(ms)=0.5 P_intra=1.00<br/>1 CP(s)",plus,orange
0.0226642107892107,0.0421528471528471,0.0022052947052947,0.0038611388611388,9.99000999000999e-06,0.0542882117882117,0.8638842407592408,0.0109340659340659,0.0932086246225749,0.0774207627402009,0.0096844236760925,0.0088544733497649,0.0003160697706205,0.0837297683079268,0.1519374839158845,0.020103523282043,NS,0.8638842407592408,0.1519374839158845,2CXO J181839.1-134424-0,3.431504725836005,2CXO J181839.1-134424,J1818.0-1339c,274.66325471963023,-13.740272700643771,0.4065361183821636,10.903044594086522,6.676646474437571e-17,5.0442774493728194e-17,1.0730492484545273e-15,3.7412442554148655e-16,5.0685438173365554e-14,4.913478940445281e-15,5.182525388656447e-14,4.927959908266772e-15,0.76434701759166,,-99,0,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.95978477968641,121.96234017478344,274.5187,-13.6527,0.1964,0.159,73.22,0.165509881257254,5.182525388656445e-14,0.956013116088394,"        cat.addSources([A.marker(274.66325471963023, -13.740272700643771, {popupTitle: '2CXO J181839.1-134424', popupDesc: '274.663255 -13.740273 0.41"" <a target=""_blank"" href=""https://simbad.u-strasbg.fr/simbad/sim-coo?CooDefinedFrames=none&CooEpoch=2000&Coord=274.66325471963023%20-13.740272700643771&submit=submit%20query&Radius.unit=arcsec&CooEqui=2000&CooFrame=FK5&Radius=20"">Simbad</a><br/>Fb=5.2e-14 HR_h(ms)=1.0 P_intra=0.76<br/>0 CP(s)<br/>",plus,magenta
0.0017482517482517,0.8448876123876123,0.0017732267732267,0.0003296703296703,0.0001198801198801,0.0759115884115884,0.0392557442557442,0.0359740259740259,0.0192208365957509,0.1759472750752156,0.0104008423926873,0.0020472441943277,0.001259211811259,0.1185338535000631,0.072735964484363,0.0615083354080999,CV,0.8448876123876123,0.1759472750752156,2CXO J181841.0-134331-0,2.611291350642352,2CXO J181841.0-134331,J1818.0-1339c,274.67079638971313,-13.725586590636722,0.7393048191032144,5.411764705882828,2.5283471836006403e-16,1.549632144787475e-16,9.82985952460098e-16,3.15959770433605e-16,9.099514964399074e-15,2.0482308460539245e-15,1.0335335635219235e-14,2.078242953338425e-15,0.9999999999512956,,-9,0,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.936122768875626,116.27158847614986,274.5187,-13.6527,0.1964,0.159,73.22,0.1647731117257427,1.0335335635219235e-14,0.7608552417767809,"        cat.addSources([A.marker(274.67079638971313, -13.725586590636722, {popupTitle: '2CXO J181841.0-134331', popupDesc: '274.670796 -13.725587 0.74"" <a target=""_blank"" href=""https://simbad.u-strasbg.fr/simbad/sim-coo?CooDefinedFrames=none&CooEpoch=2000&Coord=274.67079638971313%20-13.725586590636722&submit=submit%20query&Radius.unit=arcsec&CooEqui=2000&CooFrame=FK5&Radius=20"">Simbad</a><br/>Fb=1.0e-14 HR_h(ms)=0.8 P_intra=1.00<br/>0 CP(s)<br/>",plus,blue
0.0061055611055611,0.0592307692307692,0.0012137862137862,0.0,0.0002397602397602,0.1259823509823509,0.8045304695304696,0.0026973026973026,0.0134896611084547,0.0955795882618652,0.0056347359964997,0.0,0.0015945085582892,0.1307698810862493,0.1551696791279769,0.0053401575554736,NS,0.8045304695304696,0.1551696791279769,2CXO J111459.1-611707-0,2.373047360217486,2CXO J111459.1-611707,J1115.1-6118,168.74621575452628,-61.28542330819856,0.6321401142742451,6.688229769910308,6.174584949572684e-17,2.2991211965781625e-17,6.77086433568349e-17,2.6598889423536202e-17,4.136331273563895e-16,1.6563511920080066e-16,5.430876202089515e-16,1.6932539519778022e-16,0.18619635506868,1.0,-99,0,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.7259245860372331,328.4528148503565,168.7757,-61.3085,0.0373,0.0332,-30.16,0.0270749066161425,5.430876202089514e-16,0.523264799139577,"        cat.addSources([A.marker(168.74621575452628, -61.28542330819856, {popupTitle: '2CXO J111459.1-611707', popupDesc: '168.746216 -61.285423 0.63"" <a target=""_blank"" href=""https://simbad.u-strasbg.fr/simbad/sim-coo?CooDefinedFrames=none&CooEpoch=2000&Coord=168.74621575452628%20-61.28542330819856&submit=submit%20query&Radius.unit=arcsec&CooEqui=2000&CooFrame=FK5&Radius=20"">Simbad</a><br/>Fb=5.4e-16 HR_h(ms)=0.5 P_intra=0.19<br/>0 CP(s)<br/>",plus,magenta
0.0038261738261738,0.6873276723276723,0.0268081918081918,9.99000999000999e-06,0.0002597402597402,0.1737862137862137,0.1033366633366633,0.0046453546453546,0.0148187635869445,0.1216356301561204,0.0355735459692616,0.0003160697706205,0.0015913728452086,0.1053104944901042,0.0675307747953149,0.0096410114043652,CV,0.6873276723276723,0.1216356301561204,2CXO J111501.7-611751-0,2.262834227030726,2CXO J111501.7-611751,J1115.1-6118,168.75734073167882,-61.29768997767354,0.6606823170591564,6.076923076923178,6.463395446560143e-17,2.4402253798196866e-17,1.1074368163856467e-16,3.882248444506003e-17,4.680543819015072e-16,1.4817434764374686e-16,6.434320180056735e-16,1.5510735826700322e-16,0.999999973288438,1.0,-9,0,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.3751762224348888,320.79435700977155,168.7757,-61.3085,0.0373,0.0332,-30.16,0.0139489365643318,6.434320180056734e-16,0.4548681719391224,"        cat.addSources([A.marker(168.75734073167882, -61.29768997767354, {popupTitle: '2CXO J111501.7-611751', popupDesc: '168.757341 -61.297690 0.66"" <a target=""_blank"" href=""https://simbad.u-strasbg.fr/simbad/sim-coo?CooDefinedFrames=none&CooEpoch=2000&Coord=168.75734073167882%20-61.29768997767354&submit=submit%20query&Radius.unit=arcsec&CooEqui=2000&CooFrame=FK5&Radius=20"">Simbad</a><br/>Fb=6.4e-16 HR_h(ms)=0.5 P_intra=1.00<br/>0 CP(s)<br/>",plus,blue
0.0119480519480519,0.5700599400599401,0.1777322677322677,0.0009890109890109,0.0028121878121878,0.1360939060939061,0.0563936063936063,0.0439710289710289,0.0198934989054539,0.0896281005243132,0.0879613679279275,0.0032742753581333,0.0055325122059233,0.0600252211393441,0.040494825830974,0.0350269918754117,CV,0.5700599400599401,0.0896281005243132,2CXO J111510.3-611640-1,2.209183211971723,2CXO J111510.3-611640,J1115.1-6118,168.79292405638674,-61.277887208854544,0.6155494489272618,10.536509519578846,1.6900356254970764e-16,5.459952225061618e-17,4.212655426252633e-16,8.067844326338656e-17,2.8727825508003385e-15,4.4282585642476044e-16,3.4630516559753096e-15,4.534146646897536e-16,0.999999935823764,1.0,g,1,1,0.98790795,1.0,20.601166,,,0.018326,,,,0.0,0.006241,5.186,,,,,,,,,,,,,,,0.9047128840256136,15.13062610278897,168.7757,-61.3085,0.0373,0.0332,-30.16,0.0317110179178187,3.4630516559753096e-15,0.6591046488397055,"        cat.addSources([A.marker(168.79292405638674, -61.277887208854544, {popupTitle: '2CXO J111510.3-611640', popupDesc: '168.792924 -61.277887 0.62"" <a target=""_blank"" href=""https://simbad.u-strasbg.fr/simbad/sim-coo?CooDefinedFrames=none&CooEpoch=2000&Coord=168.79292405638674%20-61.277887208854544&submit=submit%20query&Radius.unit=arcsec&CooEqui=2000&CooFrame=FK5&Radius=20"">Simbad</a><br/>Fb=3.5e-15 HR_h(ms)=0.7 P_intra=1.00<br/>1 CP(s)",plus,blue
0.0124975024975024,0.0085198135198135,0.0145904095904095,0.0,0.0003396603396603,0.067014652014652,0.8912537462537462,0.0057842157842157,0.0328611661959255,0.0414579260794559,0.024497593104876,0.0,0.0022548870225613,0.083625743023395,0.1069256823614025,0.0106023294897579,NS,0.8912537462537462,0.1069256823614025,2CXO J111513.6-611657-0,4.325546726163997,2CXO J111513.6-611657,J1115.1-6118,168.80675737279526,-61.28262610123477,0.6374959796537195,5.925925925925943,6.971571336368256e-17,2.645698436423516e-17,3.682951933651278e-16,8.237459180488457e-17,4.454513736059837e-16,1.4356925736469763e-16,8.834622803347941e-16,1.676236172408934e-16,0.2046681773937,0.721,-9,0,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.8760971331159587,29.977547249500237,168.7757,-61.3085,0.0373,0.0332,-30.16,0.0298657536446416,8.834622803347941e-16,0.008421940633791,"        cat.addSources([A.marker(168.80675737279526, -61.28262610123477, {popupTitle: '2CXO J111513.6-611657', popupDesc: '168.806757 -61.282626 0.64"" <a target=""_blank"" href=""https://simbad.u-strasbg.fr/simbad/sim-coo?CooDefinedFrames=none&CooEpoch=2000&Coord=168.80675737279526%20-61.28262610123477&submit=submit%20query&Radius.unit=arcsec&CooEqui=2000&CooFrame=FK5&Radius=20"">Simbad</a><br/>Fb=8.8e-16 HR_h(ms)=0.0 P_intra=0.20<br/>0 CP(s)<br/>",plus,magenta
0.5991908091908091,0.0897202797202797,0.0023176823176823,0.1422527472527472,0.0076323676323676,0.0756143856143856,0.0008541458541458,0.0824175824175824,0.1314855298329233,0.0668956028324858,0.005255756560475,0.0786851005905505,0.0141523394281197,0.0876923437527311,0.0030894506461028,0.0605834090370412,AGN,0.5991908091908091,0.1314855298329233,2CXO J085926.8-434933-1,2.174128997079064,2CXO J085926.8-434933,J0859.3-4342,134.86185892822095,-43.82596328198861,0.3911139044460067,13.14940896427199,1.1283172720107249e-16,8.524557040323154e-17,4.31829476233658e-15,7.373748756318505e-16,6.469586670558643e-14,5.569159319519933e-15,6.912699319512407e-14,5.6184093870669645e-15,1.0,,ct,1,1,0.99932575,1.0,,,,,,,,,,,,,16.73,16.528,15.016,,0.226,0.13,13.388,12.908,,0.014,0.014,,0.9151538070272436,167.537857810985,134.8271,-43.7125,0.1276,0.102,-4.9,0.1162065061567207,6.91269931951241e-14,0.8717975052949299,"        cat.addSources([A.marker(134.86185892822095, -43.82596328198861, {popupTitle: '2CXO J085926.8-434933', popupDesc: '134.861859 -43.825963 0.39"" <a target=""_blank"" href=""https://simbad.u-strasbg.fr/simbad/sim-coo?CooDefinedFrames=none&CooEpoch=2000&Coord=134.86185892822095%20-43.82596328198861&submit=submit%20query&Radius.unit=arcsec&CooEqui=2000&CooFrame=FK5&Radius=20"">Simbad</a><br/>Fb=6.9e-14 HR_h(ms)=0.9 P_intra=1.00<br/>1 CP(s)",plus,cyan
0.0237662337662337,0.6584415584415585,0.0374075924075924,0.0348651348651348,0.0035264735264735,0.17003996003996,0.0155294705294705,0.0564235764235764,0.0204829514157823,0.1082740450485195,0.0478277921537018,0.0280928245857691,0.0070036810643795,0.0909266099752894,0.0189359283009674,0.0407277105125785,CV,0.6584415584415585,0.1082740450485195,2CXO J085927.0-434528-1,2.4518071908108108,2CXO J085927.0-434528,J0859.3-4342,134.86260894620565,-43.75780494871906,0.2831432256844584,68.88915232428481,8.896690879224521e-15,1.0852753138174504e-15,1.1049110622394001e-13,3.624197998969997e-15,1.4687453328617145e-12,2.5731906359222324e-14,1.5881331299648788e-12,2.600853011075993e-14,0.9999999472202746,,g,1,1,0.9994166,1.0,18.130289,20.997097,16.169699,0.005979,0.113371,0.023251,3.0058,0.009257,0.002321,50.53,1.744,1580.09277,,,,,,,,,,,,,0.4275594524276256,150.4888656455927,134.8271,-43.7125,0.1276,0.102,-4.9,0.0520654090577204,1.588133129964879e-12,0.849650139713659,"        cat.addSources([A.marker(134.86260894620565, -43.75780494871906, {popupTitle: '2CXO J085927.0-434528', popupDesc: '134.862609 -43.757805 0.28"" <a target=""_blank"" href=""https://simbad.u-strasbg.fr/simbad/sim-coo?CooDefinedFrames=none&CooEpoch=2000&Coord=134.86260894620565%20-43.75780494871906&submit=submit%20query&Radius.unit=arcsec&CooEqui=2000&CooFrame=FK5&Radius=20"">Simbad</a><br/>Fb=1.6e-12 HR_h(ms)=0.8 P_intra=1.00<br/>1 CP(s)",plus,blue
0.0474825174825174,0.059040959040959,0.0047502497502497,0.0,0.0001298701298701,0.058006993006993,0.8265184815184815,0.004070929070929,0.087470314644775,0.1021610460042345,0.0114165477460378,0.0,0.0012973499462816,0.0964453158585161,0.1630685190589891,0.0079803486161924,NS,0.8265184815184815,0.1630685190589891,2CXO J085928.4-434628-0,2.893634886799201,2CXO J085928.4-434628,J0859.3-4342,134.86835893926164,-43.77451050508317,0.3250693560626718,6.837639813873591,2.4017802130771523e-16,1.6627709167457302e-16,2.3296131110158002e-15,5.332849290277001e-16,8.124996206601651e-15,1.6691340449060936e-15,1.0694787338925168e-14,1.760127650657307e-15,0.31144670278582,,-9,0,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.5580092613038194,154.34160256748362,134.8271,-43.7125,0.1276,0.102,-4.9,0.0688024116872016,1.0694787338925168e-14,0.5194310927585435,"        cat.addSources([A.marker(134.86835893926164, -43.77451050508317, {popupTitle: '2CXO J085928.4-434628', popupDesc: '134.868359 -43.774511 0.33"" <a target=""_blank"" href=""https://simbad.u-strasbg.fr/simbad/sim-coo?CooDefinedFrames=none&CooEpoch=2000&Coord=134.86835893926164%20-43.77451050508317&submit=submit%20query&Radius.unit=arcsec&CooEqui=2000&CooFrame=FK5&Radius=20"">Simbad</a><br/>Fb=1.1e-14 HR_h(ms)=0.5 P_intra=0.31<br/>0 CP(s)<br/>",plus,magenta
